"v1200"
"商品ID","バリエーションID","削除設定 ※削除の場合のみ入力","カテゴリーID","【必須】商品名 ※49文字","商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。","商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。","バリエーション（種別1） ※32文字","バリエーション（種別2） ※32文字","税設定 ※「外税」「内税」のいずれかを入力","適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力","税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力","価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力","販売単位ID","【必須】価格 ※半角数字","価格2 ※税率別に価格を指定する場合に入力","原価 ※半角数字","商品コード ※24文字","自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。","バーコード","ポイント付与対象 ※「対象」「対象外」のいずれかを入力","表示/非表示 ※「表示」「非表示」のいずれかを入力","レシート印字設定 ※「印字する」「印字しない」のいずれかを入力","登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力","備考 ※1000文字","旧商品コード ※通常入力しません","分析タグID ※通常入力しません"
"10115","","","0001","小亀コース【4500】","小亀コース【4500】","小亀コース【4500】","","","内税","標準税率","","通常","","4500","","","","","","対象","表示","印字する","印字する","","",""
"10341","","","0001","串かめやコース【5000】","串かめやコース【5000】","串かめやコース【5000】","","","内税","標準税率","","通常","","5000","","","","","","対象","表示","印字する","印字する","","",""
"10048","","","0001","鍋かめやコース【5000】","かめやコース【5000】","かめやコース【5000】","","","内税","標準税率","","通常","","5000","","0","","","","対象","表示","印字する","印字する","","",""
"10056","","","0001","串大亀コース【6000】","大亀コース【6000】","大亀コース【6000】","","","内税","標準税率","","通常","","6000","","0","","","","対象","表示","印字する","印字する","","",""
"10342","","","0001","鍋大亀コース【6000】","鍋大亀コース【6000】","鍋大亀コース【6000】","","","内税","標準税率","","通常","","6000","","","","","","対象","表示","印字する","印字する","","",""
"10081","0002","","0001","飲み放題","飲み放題","飲み放題","飲み放題2H","","内税","標準税率","","通常","","2200","","","","","","対象","表示","印字する","印字する","","",""
"10081","0003","","0001","飲み放題","飲み放題","飲み放題","飲み放題延長1H","","内税","標準税率","","通常","","1100","","","","","","対象","表示","印字する","印字する","","",""
"10127","","","0001","キャンセル分3500","キャンセル分3500","キャンセル分3500","","","内税","標準税率","","通常","","3500","","","","","","対象","表示","印字する","印字する","","",""
"10340","","","0001","キャンセル分4500","キャンセル分4500","キャンセル分4500","","","内税","標準税率","","通常","","4500","","","","","","対象","表示","印字する","印字する","","",""
"10043","0001","","0005","フリードリンク","フリードリンク","フリードリンク","生ビール","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0002","","0005","フリードリンク","フリードリンク","フリードリンク","ノンアルコールビール","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0003","","0005","フリードリンク","フリードリンク","フリードリンク","レモンサワー","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0004","","0005","フリードリンク","フリードリンク","フリードリンク","グレフルサワー","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0005","","0005","フリードリンク","フリードリンク","フリードリンク","ライムサワー","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0006","","0005","フリードリンク","フリードリンク","フリードリンク","カルピスサワー","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0007","","0005","フリードリンク","フリードリンク","フリードリンク","プレーンサワー","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0008","","0005","フリードリンク","フリードリンク","フリードリンク","芋【水割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0009","","0005","フリードリンク","フリードリンク","フリードリンク","芋【ロック】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0010","","0005","フリードリンク","フリードリンク","フリードリンク","芋【ソーダ割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0011","","0005","フリードリンク","フリードリンク","フリードリンク","芋【お湯割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0012","","0005","フリードリンク","フリードリンク","フリードリンク","麦【水割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0013","","0005","フリードリンク","フリードリンク","フリードリンク","麦【ロック】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0014","","0005","フリードリンク","フリードリンク","フリードリンク","麦【ソーダ割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0015","","0005","フリードリンク","フリードリンク","フリードリンク","麦【お湯割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0016","","0005","フリードリンク","フリードリンク","フリードリンク","酎ハイ【水割り】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0017","","0005","フリードリンク","フリードリンク","フリードリンク","ウーロンハイ","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0018","","0005","フリードリンク","フリードリンク","フリードリンク","緑茶ハイ","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0019","","0005","フリードリンク","フリードリンク","フリードリンク","ジャスミンハイ","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0020","","0005","フリードリンク","フリードリンク","フリードリンク","日本酒【冷酒】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
"10043","0021","","0005","フリードリンク","フリードリンク","フリードリンク","日本酒【熱燗】","","外税","標準税率","","通常","","0","","","","","","対象","表示","印字する","印字する","","",""
