ネタメモ：ゾーニング,,
シーン,①セリフを考える（ライティング）,
1,「ゾーニング」も知らんと席のレイアウト決めてる飲食店経営者さん…それ無免許運転してるようなもんですよ,
2,席数は売上やと思てギュウギュウに詰め込んでません？,
3,レジ前とかトイレ前に席あるお店よく見ますけど…ほんまにお客様のこと考えてます？,
4,あれ意識せず席を配置してるだけですよね？,
5,放っといたらなんか落ち着かんから次はええかなって離脱じわじわ起こりますよ,
6,お客様からクレーム出てへんから大丈夫って思ってるなら見逃してるだけかもしれませんよ？,
7,僕も昔文句出てへん＝満足やと思ってました,
8,でも実際は我慢してるお客様って何も言わずに消えるんですよね,
9,その無言の違和感がレイアウトから出てるって気づいた時めちゃくちゃ反省しました,
10,この投稿では、売上に効くレイアウトの考え方です,
11,数字で見えへんから後回しにしてたけど、席配置って隠れた損益分岐点やったんですよね,
12,例えるなら交通整理みたいなもんで通りやすい席、落ち着く席、全部設計で決まってるんです,
13,ゾーニングって、売上を自動で上げる仕組みなんです,
14,昼は速く食べて出れる席、夜はゆっくり会話できる席って分けるだけで変わります,
15,1席減らしただけで回転率も満足度も上がったお店があるくらいなんですよ,
16,空いてても埋まらない席があるなら、それもう赤字ゾーンです。,
17,お客様の足を遠ざけてる席がひとつもないって言い切れますか？ 今、見直すチャンスです,
,,
ネタメモ：限界利益,,
シーン,①セリフを考える（ライティング）,
1,料理さえ美味けりゃ黒字なるって思ってる飲食店、限界利益わかってへんと売れば売るほど赤字になりますよ,
2,味には自信あるのに、なぜかお金が残らん…そんな違和感ありませんか？,
3,SNS頑張って、お客様も増えてる。けど、利益だけが置いてけぼり,
4,それ、料理のせいちゃいます。“数字の構造”です,
5,放っといたら、“働けば働くほど資金ショート”する店、ほんまにあるんです,
6,なんでこんなに働いてんのに貯まらんねん”って感じたこと、ほんまは一度くらいありますよね？,
7,料理は出てるし、ホールも回ってる。なのに…帳簿だけは真っ赤,
8,“自分、経営向いてへんのかな”って本気で思った時期あります,
9,でも違った。“見てへん数字”があっただけやったんです,
10,限界利益って言うたら難しそうやけど、要は“1食売って、店にいくら残るか”の話です,
11,原価率がええ、FLがええ言うても、残らんもんは残らん,
12,“毎日満席やのに、お金はカラッカラ”…それ、限界利益が漏れてる証拠です,
13,限界利益って、ざっくり言うたら、“売上から料理を作るのにかかるお金を引いた分”、つまり“ほんまにお店に残る利益”なんです,
14,"たとえばオムライス800円で、食材原価が300円やったとする
そしたら限界利益は500円。これが1皿あたり“店の武器”になるわけです",
15,こうやって“限界利益”が見えるようになると、“売れてるのに苦しめてる料理”がハッキリ見えてくるんです,
16,僕はこの視点を持ってから、“やっと経営者になれた”って、本気で思えました,
17,この1皿、ほんまにお店の利益残してるか？一回だけでも、数字で見てみてください,
,,
ネタメモ：人時売上高,,
シーン,①セリフを考える（ライティング）,
1,9割の飲食店経営者が失敗してる人件費のかけ方ですが、勘でやってたら、そら潰れますよ,
2,人時売上、知ってます？“時給より売上低い”お店、たくさんあります,
3,"“このくらい居たら回るやろ”って、思考停止のシフトが一番危ない」
",
4,"「正直、それもう経営ちゃいます」
",
5,「忙しいだけで金残らんお店、ほんま多いです」,
6,"“人時売上”って言われても、正直パッと数字出せへん…
スタッフ削ったら回らんし、増やしたら利益消える…て言ってませんよね？",
7,“足りんかったらどうしよ”って、僕もずっと人件費ビビってました,
8,でもほんまは、“数字で考えるクセがなかっただけ”なんですよね,
9,経営って、感覚より構造なんやって、痛い目見てやっと分かりました,
10,「このリールでは、人件費が重たくても利益を守る“人時売上高”の見方と使い方が分かります」,
11,「数字で判断できるようになったら、“人足りるか？”って毎日悩まんで済みます」,
12,「感覚で走る経営って、夜道をライトなしで走ってる車と一緒なんですよ」,
13,"「“人件費は感覚で決めるもんちゃう”って気づけた人から、経営は変わります。
答えは、人時売上高。
この数字を見ずに、“スタッフ多い／少ない”の判断するのは危ないんです。」",
14,"「計算方法はめっちゃシンプルです。
1ヶ月の総売上 ÷ 総労働時間（社員もアルバイトも含めた合計の稼働時間）＝人時売上高」
「たとえば：月商200万円 ÷ 総労働時間400時間 ＝ 人時売上高5,000円。
この数字が、あなたのお店が“1時間でどれだけ稼げてるか”の本質です」",
15,"「僕もこの数字出したとき、正直ゾッとしました。
“これ、最低賃金下回ってるやん…”って。
スタッフの時給より、人時売上が低いってことは…もう経営として成立してないってことなんですよね」",
16,"「“忙しいのに手元にお金残らん…”
それ、あなたがサボってるんじゃなくて、数字が見えてなかっただけです。
答えは、ずっと数字の中にありました」",
17,"「“うちって今、何円なんやろ…”って、
ちょっと怖いけど、計算してみたくなりません？」",
,,
ネタメモ：飲食店は立地で決まる？,,
シーン,①セリフを考える（ライティング）,
1,立地が7割”って言葉、信じて選んだ飲食店ほど潰れてません？」,
2,"“どの物件が正解か分からん…”って、めっちゃ不安になりますよね？」
",
3,"「で、気づいたら“大通り沿い”“家賃高いとこ＝正解”って思い込んでしまう」
",
4,"「でもそれ、ほぼ“見た目採用”です」
",
5,「実際、視認性だけで決めた店の9割が、家賃に追いつかず撤退してます」,
6,「いい立地は高い、安いとこは人けえへん。どっちにしても怖いって思ってません？」,
7,"「出店って怖いから、“せめて人通り多いとこにしとこ”って逃げたくなるんですよね」
",
8,"「でもそれって、実は“場所に経営を任せてる”ってことなんです」
",
9,「僕は今、毎月“立地だけで失敗してるお店”からの相談を受けてます」,
10,"「“立地ええのに潰れた店”って、あなたの周りにも思い当たりませんか？」
",
11,"「この動画を見たあとは、物件を見る目が“感覚→構造”に変わります」
",
12,僕は立地を“集客の地図”って呼んでます。見る力があるかで、経営の難易度が変わるんです」,
13,「立地って、“物件の場所だけ”じゃなくて、“お客様の行動導線”そのものなんです」,
14,「商圏を数字で見れる人は、地図を読める経営者。感覚で選ぶ人は、迷子になります」,
15,「過去に家賃50万の一等地で半年持たなかった人が、次は裏路地で再起して繁盛店に育てました」,
16,「変えたのは“場所”だけじゃなくて、“選び方”なんです,
17,「立地は地図です。道に迷いたくない人は、いつでもこの動画、手元に置いといてください」,
,,
ネタメモ：アルバイトの定着,,
シーン,①セリフを考える（ライティング）,
1,"3ヶ月で半分辞める店、根性や性格のせいにしてたらあきません。定着って、“設計”の話です
",
2,"あの子ええ子やったのに、なんでやろ…”って、また言うてません？
",
3,“若い子は続かん”って、毎回“時代のせい”で終わらせてません？,
4,それ、ただの現実逃避ですわ,
5,このままやと、“誰に教えてもまた辞める”って、現場が教えるの諦めてまいますよ」,
6,甘やかしたら育たん。けど厳しくしたら辞める。…って、どうしたらええねんって悩んでません？」,
7,スタッフが辞めるたびに、“また一からか…”って疲れてません？,
8,ほんまは、“誰でもできるように”仕組み作らなあかんって、もう気づいてますよね？,
9,でも仕組み放置してたら、何回採用しても、ゼロからのやり直しが続くだけです,
10,教えた時間がムダになる…その悩み、今日で終わらせませんか？,
11,辞められるたびに疲弊する店と、教えるたびに戦力が育つ店。その差は、“型”があるかどうか,
12,定着って、料理と一緒。“レシピなしで作る”から、毎回味バラバラなんです,
13,定着って、属人じゃなく“設計”なんです。“誰が教えても回る”ようにするのが経営です,
14,"例えば初出勤3日間で“できること”をレベル制で分けてください
新人も教育者も「見える」から続くんです
",
15,それだけで、“あの子ほんま頼りになるわ”って言われる新人が、月1人は育つようになりました,
16,ええ子はいつも辞める”…それ、店側が辞めさせてたって、気づいた瞬間から変えられます,
17,仕組みがなかったことで、何人逃したか…って振り返る前に動きましょ,
,,
ネタメモ：チェーン店に勝つ方法,,
シーン,①セリフを考える（ライティング）,
1,チェーンに勝とうとしてる時点で、土俵選び間違えてます。値段・スピード・知名度。全てにおいて勝とうとすると、個人店は消耗するだけです,
2,値段もっと下げよか…”って、悩んだこと一回でもありますよね？,
3,“うちももっと早く提供せなアカンかな…”って、チェーンと同じ路線に寄せてません？,
4,"それ、向こうの土俵です
",
5,このままいくと、“安くて普通”な店になって、結局“別にここじゃなくてもええ”って選ばれなくなりますよ,
6,なんか最近、“うち、何屋なんやろ…”って思う瞬間、増えてません？,
7,いや分かりますよ。なんか最近、“何しても埋もれるな…”って、ふっと思う瞬間ありますよね,
8,"ほんまは、“うちの良さって、誰に届いてるんやろ”って、自分でも分からんようになってません？
",
9,"僕も昔そうでした。でもそれ、“良さ”がないんやなくて、“伝え方”がないだけなんですわ
",
10,今日は、“比較されへん店”をどう作るか。ポジション設計の基本、話します,
11,“誰でもええ店”から、“この人に刺さる店”へ。切り替えるだけで選ばれ方が変わります,
12,チェーンは“どこ行っても同じ”が強み。個人店は“ここにしかない”が価値。その違い、ちゃんと設計で作れます,
13,“チェーンに勝つ”んやなくて、“比較されんポジション”をつくるのが経営です,
14,うちは“●●が好きな人の店”って明文化してます。誰に届けるか決めた瞬間、迷わんようになりました,
15,そっから“ここって自分の居場所やな”って言うお客様が増えて、客数より“関係”が回り出したんです,
16,“いい店のはずやのに伝わらん”…って苦しかった日々、全部“誰に届けるか”が曖昧やっただけでした,
17,“どう伝えるか”を決めるだけで、選ばれる理由ってちゃんと作れますよ,
,,
ネタメモ：FL比率,,
シーン,①セリフを考える（ライティング）,
