No,テーマ,シーン名,テロップ内容
1,化粧水のあと、どのくらいで乳液を塗ればいい？,フック（0-5秒）,化粧水のあと、すぐに乳液を重ねていませんか？ちょっと待って！3〜5分のインターバルが美肌の分かれ道なんです
1,化粧水のあと、どのくらいで乳液を塗ればいい？,共感（5-12秒）,せっかちな方もマイペースな方も、実はタイミングで保湿効果が全然違うって気づいていましたか？今回は肌がもっとも水分を欲しがる黄金のタイミングを科学的にお伝えします
1,化粧水のあと、どのくらいで乳液を塗ればいい？,前提知識（12-21秒）,"・角質層は0.02mmの薄いバリア
・化粧水の後は油分でフタが必要
・化粧水がなじむまで数分かかる"
1,化粧水のあと、どのくらいで乳液を塗ればいい？,メイン解説（21-30秒）,"・化粧水の後は3〜5分待つのが理想
・べたつきがなくなったら乳液
・タイミングで保湿効果が変わる"
1,化粧水のあと、どのくらいで乳液を塗ればいい？,解説まとめ（30-32秒）,まとめると、化粧水の浸透を待ってから乳液を塗ることで、保湿効果を最大限に引き出せるということです
1,化粧水のあと、どのくらいで乳液を塗ればいい？,実践（32-44秒）,"・厳密な時間計測は不要
・肌が乾く前に乳液を塗る習慣を
・明日から実践してみてください"
1,化粧水のあと、どのくらいで乳液を塗ればいい？,CTA（42-45秒）,"・保存してスキンケアに活用！
・気になることはコメントで教えてください
・他の疑問もお待ちしています"
2,お風呂上がりすぐに塗らないとダメ？,フック（0-5秒）,実は、お風呂上がりのスキンケアって30分以内なら十分間に合うんですよ
2,お風呂上がりすぐに塗らないとダメ？,共感（5-12秒）,「すぐに塗らなきゃ！」って焦った経験、ありませんか？髪を乾かす間もドキドキしちゃって。でもね、最新の研究では意外な事実が判明したんです
2,お風呂上がりすぐに塗らないとダメ？,前提知識（12-21秒）,"・入浴後は湿度低下で水分が蒸発しやすい
・乾く過程で角質層内部の水分も奪われることがある
・保湿剤は水分蒸発を防ぐバリアとして機能"
2,お風呂上がりすぐに塗らないとダメ？,メイン解説（21-30秒）,"・1分後と1時間後の保湿で水分量に有意差なし
・「すぐに」にこだわりすぎる必要はない
・乾く前に適切にケアすることが大切"
2,お風呂上がりすぐに塗らないとダメ？,解説まとめ（30-32秒）,つまり、「すぐに」という時間にこだわりすぎる必要はなく、肌が完全に乾く前にケアすることが大切なんです
2,お風呂上がりすぐに塗らないとダメ？,実践（32-44秒）,"・お風呂上がり30分以内を目安にケア開始
・髪を乾かし着替え後に落ち着いてスキンケア
・無理せず続けられる流れにする"
2,お風呂上がりすぐに塗らないとダメ？,CTA（42-45秒）,"・保存して今夜から実践
・時間に追われず丁寧なケアを
・ゆとりあるスキンケア習慣に"
3,朝の保湿と夜の保湿はどう違うの？,フック（0-5秒）,朝と夜、同じクリームで済ませている方へ。肌にも体内時計があるって知っていました？
3,朝の保湿と夜の保湿はどう違うの？,共感（5-12秒）,忙しい朝も疲れた夜も、とりあえず同じケアで...という習慣、見直し時かもしれません。実は時間帯によって肌が求めるものが180度違うんです
3,朝の保湿と夜の保湿はどう違うの？,前提知識（12-21秒）,"・肌にもサーカディアンリズムがある
・昼は防御、夜は修復・再生が活発
・水分蒸散量は夕〜夜に多く朝に最小"
3,朝の保湿と夜の保湿はどう違うの？,メイン解説（21-30秒）,"・朝の保湿は「守る」ケア
・夜の保湿は「回復」ケア
・目的に合わせて役割が異なる"
3,朝の保湿と夜の保湿はどう違うの？,解説まとめ（30-32秒）,まとめると、朝はプロテクト、夜はリペアと、それぞれに最適化された保湿が効果的なんです
3,朝の保湿と夜の保湿はどう違うの？,実践（32-44秒）,"・まずは夜の保湿を重点的に
・朝はさっぱり・夜はしっとりを使い分け
・肌のリズムをサポートする選び方を"
3,朝の保湿と夜の保湿はどう違うの？,CTA（42-45秒）,"・保存して朝夜の使い分けを始めよう
・肌リズムに合わせてケア
・変化を実感してみてください"
4,化粧水と美容液って何が違うの？,フック（0-5秒）,さあ、問題です！化粧水と美容液、この2つの違いをパッと答えられますか？
4,化粧水と美容液って何が違うの？,共感（5-12秒）,「どっちも保湿でしょ？」と思ったあなた、惜しい！でも実はそれぞれに特別な使命があるんです。今日はその秘密を解き明かしましょう
4,化粧水と美容液って何が違うの？,前提知識（12-21秒）,"・分子量600以下は角質層を通過しやすい
・化粧水は水分補給が目的の水性基剤
・美容液は高濃度の特定成分で集中ケア"
4,化粧水と美容液って何が違うの？,メイン解説（21-30秒）,"・化粧水は土台作りと次の浸透を助ける
・美容液は悩みに高濃度成分でアプローチ
・役割が明確に異なる"
4,化粧水と美容液って何が違うの？,解説まとめ（30-32秒）,つまり、化粧水は基本の水分補給、美容液は特別なお悩みケアということですね
4,化粧水と美容液って何が違うの？,実践（32-44秒）,"・まずは化粧水で基本の保湿習慣を
・安定したら悩みに合わせて美容液を追加
・段階的に取り入れて失敗しにくく"
4,化粧水と美容液って何が違うの？,CTA（42-45秒）,"・保存して基本を見直そう
・段階的にアイテムを追加
・自分に合うケアを選ぼう"
5,順番を変えると効果はなくなる？,フック（0-5秒）,乳液を先に塗っちゃった！そんな朝の大失敗、実はそこまで悲観することもないんですが...
5,順番を変えると効果はなくなる？,共感（5-12秒）,でも効果は確実に半減しちゃいます。なぜ順番がそんなに大切なのか、その理由を知れば、もう二度と間違えなくなりますよ
5,順番を変えると効果はなくなる？,前提知識（12-21秒）,"・健やかなバリアは水分と油分の適正バランス
・基本は「水っぽいもの→油っぽいもの」
・先に油分だと後の水性アイテムが弾かれる"
5,順番を変えると効果はなくなる？,メイン解説（21-30秒）,"・順番ミスで成分が届きにくく保湿も半減
・効果ゼロではないが最適ではない
・正しい順序が結果を左右する"
5,順番を変えると効果はなくなる？,解説まとめ（30-32秒）,まとめると、正しい順番でこそスキンケアアイテムの効果を最大限に引き出せるということです
5,順番を変えると効果はなくなる？,実践（32-44秒）,"・洗顔→化粧水→美容液→乳液が基本
・まずはこの順序を徹底
・習慣化して忙しい朝でも迷わない"
5,順番を変えると効果はなくなる？,CTA（42-45秒）,"・保存して順番を確認
・明日から意識して使い分け
・効果を最大化しよう"
6,オールインワンで十分なの？,フック（0-5秒）,オールインワンのジャー、これ1つで本当に大丈夫ですか？実は年齢と肌質がすべてを決めるんですよ
6,オールインワンで十分なの？,共感（5-12秒）,時短もコスパも最高！そう思って使っているあなたに、ちょっと考えてほしいことがあるんです。それぞれの機能が薄まっているかもしれないって、気づいていましたか？
6,オールインワンで十分なの？,前提知識（12-21秒）,"・バリア維持には水分と油分のバランスが必要
・30代以降は皮脂・水分保持が低下しやすい
・オールインワンは機能が薄まる可能性"
6,オールインワンで十分なの？,メイン解説（21-30秒）,"・20代や忙しい人には適する場合も
・乾燥・年齢肌には物足りないことがある
・肌質と年齢で選択が変わる"
6,オールインワンで十分なの？,解説まとめ（30-32秒）,つまり、オールインワンで十分かどうかは肌質と年齢、ライフスタイルによって決まるということです
6,オールインワンで十分なの？,実践（32-44秒）,"・まずはオールインワンで習慣化し観察
・物足りなければ個別アイテムを追加
・段階的なアプローチがおすすめ"
6,オールインワンで十分なの？,CTA（42-45秒）,"・保存して選び方の参考に
・必要に応じて見直そう
・今の肌に合うケアを"
7,「アルコールフリー」って本当に肌にいいの？,フック（0-5秒）,みなさん、アルコールフリーの真実を知っていますか？万能ではないんです
7,「アルコールフリー」って本当に肌にいいの？,共感（5-12秒）,「敏感肌ならアルコールフリーでしょ？」って決めつけているなら、ちょっと待ってください。肌質によっては逆効果になることもあるんですよ
7,「アルコールフリー」って本当に肌にいいの？,前提知識（12-21秒）,"・敏感肌はバリア低下で刺激に過敏
・「アルコールフリー」は主にエタノールを指す
・エタノールは乾燥の可能性もあるが殺菌・収れん作用も"
7,「アルコールフリー」って本当に肌にいいの？,メイン解説（21-30秒）,"・敏感・乾燥肌には一般に良い選択
・脂性・ニキビ肌に有効な場合もある
・成分表示で「エタノール」の有無を確認"
7,「アルコールフリー」って本当に肌にいいの？,解説まとめ（30-32秒）,まとめると、アルコールフリーは万能ではなく、自分の肌質に合わせて選ぶことが大切なんです
7,「アルコールフリー」って本当に肌にいいの？,実践（32-44秒）,"・他のアルコール系成分が含まれる場合も
・敏感肌は購入前にパッチテスト
・少量から試して反応を確認"
7,「アルコールフリー」って本当に肌にいいの？,CTA（42-45秒）,"・保存して製品選びに活用
・成分表示を確認する習慣を
・肌質に合わせて賢く選択"
8,敏感肌でも使えるビタミンCってある？,フック（0-5秒）,敏感肌だからビタミンCは無理、そう諦めていませんか？油溶性タイプなら大丈夫ですよ
8,敏感肌でも使えるビタミンCってある？,共感（5-12秒）,刺激が怖い、赤みが出そう、ヒリヒリしそう...そんな不安でビタミンCを諦める気持ち、よくわかります。でも今日お伝えする方法なら、敏感肌でも安心して始められます
8,敏感肌でも使えるビタミンCってある？,前提知識（12-21秒）,"・ビタミンCはコラーゲン合成促進や美白に有効
・純粋ビタミンCは不安定で刺激性が強い
・油溶性誘導体は穏やかで持続性がある"
8,敏感肌でも使えるビタミンCってある？,メイン解説（21-30秒）,"・敏感肌に適するのは油溶性ビタミンC誘導体
・刺激が少なく乾燥・敏感肌におすすめ
・種類と濃度の選択がカギ"
8,敏感肌でも使えるビタミンCってある？,解説まとめ（30-32秒）,つまり、敏感肌でもビタミンCの種類と濃度を選べば安全に使えるということです
8,敏感肌でも使えるビタミンCってある？,実践（32-44秒）,"・低濃度（1-3%）から開始
・夜のスキンケアで使用
・不安なら美容皮膚科で相談"
8,敏感肌でも使えるビタミンCってある？,CTA（42-45秒）,"・保存してビタミンCデビューに
・慎重に始めて効果を実感
・無理せず継続しよう"
9,成分表のどこを見れば安心？,フック（0-5秒）,成分表のカタカナ地獄にお疲れのあなた、上位5成分だけチェックすればOKです
9,成分表のどこを見れば安心？,共感（5-12秒）,全成分を理解しなきゃいけないなんて、無理ですよね？実はポイントを絞れば、サッと見るだけで安全性が判断できるんです
9,成分表のどこを見れば安心？,前提知識（12-21秒）,"・成分表示は多い順、1%以下は順不同
・「1%ライン」で主要と微量を区別
・敏感肌は刺激成分に過敏になりやすい"
9,成分表のどこを見れば安心？,メイン解説（21-30秒）,"・上位5-6成分を重点チェック
・エタノール・香料・合成着色料・パラベンの有無
・主要成分の安全性を重視"
9,成分表のどこを見れば安心？,解説まとめ（30-32秒）,つまり、全成分を覚える必要はなく、上位の主要成分だけチェックすれば十分ということです
9,成分表のどこを見れば安心？,実践（32-44秒）,"・シンプル処方から始める
・不安なら皮膚科専門医に相談
・自分に合う成分を把握しておく"
9,成分表のどこを見れば安心？,CTA（42-45秒）,"・保存して買い物時のチェックに
・安心して選べるように
・成分表示を味方にしよう"
10,マスクでニキビができるのはなぜ？,フック（0-5秒）,もううんざり！マスクをつけるたびにニキビが増えるって、一体なんなんでしょう？
10,マスクでニキビができるのはなぜ？,共感（5-12秒）,マスク生活で肌荒れに悩んでいるのは、あなただけじゃありません。蒸れと摩擦がダブルパンチで肌を痛めつけているんです。今からそのメカニズムを解明します
10,マスクでニキビができるのはなぜ？,前提知識（12-21秒）,"・マスク内は呼気によって高温多湿状態となり、アクネ菌などの細菌が繁殖しやすい環境になります
・また、マスクの着脱や口の動きによる摩擦が角質層を傷つけて、皮膚のバリア機能を低下させます
・蒸れによって皮膚がふやけた状態になると、摩擦に対してより敏感になります"
10,マスクでニキビができるのはなぜ？,メイン解説（21-30秒）,"・蒸れによる細菌繁殖と摩擦による皮膚刺激の両方が同時に起こることで
・毛穴詰まりと炎症が起こりやすくなります"
10,マスクでニキビができるのはなぜ？,解説まとめ（30-32秒）,つまり、マスクニキビは環境要因と物理的刺激の複合的な問題なんです
10,マスクでニキビができるのはなぜ？,実践（32-44秒）,"・対策として肌に優しい素材のマスクを選び
・適切なサイズを使用しましょう
・また"
10,マスクでニキビができるのはなぜ？,CTA（42-45秒）,"・保存してマスクニキビ対策に活用してください
・毎日のちょっとした工夫で改善できますよ"
