2025/10/18 17:51 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"D.オーダーステータス","D.数量","D.価格","D.商品","D.商品カテゴリ1","D.商品カテゴリ2","H.集計対象営業年月日"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/08/01"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/08/01"
"30:キャンセル済","0","0","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","850","00000000170:唐揚げ定食","ランチ","ランチ","2025/08/01"
"20:配膳済","1","850","00000000170:唐揚げ定食","ランチ","ランチ","2025/08/01"
"20:配膳済","1","850","00000000170:唐揚げ定食","ランチ","ランチ","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","630","00000000423:蒸しエビ餃子","フード","逸品料理","2025/08/01"
"20:配膳済","1","680","00000000031:ｱﾎﾞｶﾄﾞ漬鮪のぶつ切り","フード","おつまみ","2025/08/01"
"20:配膳済","1","350","00000000166:コーラ","ドリンク","ソフトドリンク","2025/08/01"
"20:配膳済","1","350","00000000169:マンゴージュース","ドリンク","ソフトドリンク","2025/08/01"
"20:配膳済","1","780","00000000214:エビチャーハン","フード","食事","2025/08/01"
"20:配膳済","1","1280","00000000224:しらすのパスタ","フード","サラダ","2025/08/01"
"20:配膳済","1","890","00000000460:タコとトマトの大葉マリネ","フード","サラダ","2025/08/01"
"20:配膳済","1","350","00000000169:マンゴージュース","ドリンク","ソフトドリンク","2025/08/01"
"20:配膳済","1","350","00000000166:コーラ","ドリンク","ソフトドリンク","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","680","00000000194:イカの一夜干し","フード","焼き物","2025/08/01"
"20:配膳済","1","680","00000000219:よだれ鶏","フード","おつまみ","2025/08/01"
"20:配膳済","1","680","00000000203:モツ煮","フード","逸品料理","2025/08/01"
"20:配膳済","1","890","00000000460:タコとトマトの大葉マリネ","フード","サラダ","2025/08/01"
"20:配膳済","1","450","00000000113:レモンサワー","ドリンク","サワー","2025/08/01"
"20:配膳済","1","450","00000000113:レモンサワー","ドリンク","サワー","2025/08/01"
"20:配膳済","1","880","00000000363:エビマヨ","フード","サラダ","2025/08/01"
"20:配膳済","1","680","00000000185:マグロ","フード","刺身","2025/08/01"
"20:配膳済","1","630","00000000208:手作り小籠包","フード","逸品料理","2025/08/01"
"20:配膳済","1","450","00000000113:レモンサワー","ドリンク","サワー","2025/08/01"
"20:配膳済","1","450","00000000113:レモンサワー","ドリンク","サワー","2025/08/01"
"20:配膳済","1","1580","00000000445:サーモンといくらの冷パスタ","フード","サラダ","2025/08/01"
"20:配膳済","1","450","00000000113:レモンサワー","ドリンク","サワー","2025/08/01"
"20:配膳済","1","450","00000000113:レモンサワー","ドリンク","サワー","2025/08/01"
"20:配膳済","1","3800","00000000408:3800円コース","コース","コース","2025/08/01"
"20:配膳済","1","3800","00000000408:3800円コース","コース","コース","2025/08/01"
"20:配膳済","1","3800","00000000408:3800円コース","コース","コース","2025/08/01"
"20:配膳済","1","3800","00000000408:3800円コース","コース","コース","2025/08/01"
"20:配膳済","1","3800","00000000408:3800円コース","コース","コース","2025/08/01"
"20:配膳済","1","3800","00000000408:3800円コース","コース","コース","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","960","00000000102:メガ角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","960","00000000102:メガ角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","1280","00000000224:しらすのパスタ","フード","サラダ","2025/08/01"
"20:配膳済","1","450","00000000023:梅水晶","フード","おつまみ","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","380","00000000362:お通し","フード","お通し","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","680","00000000211:明太だし巻き卵","フード","逸品料理","2025/08/01"
"20:配膳済","1","590","00000000463:なすの南蛮漬け","フード","サラダ","2025/08/01"
"20:配膳済","1","890","00000000460:タコとトマトの大葉マリネ","フード","サラダ","2025/08/01"
"20:配膳済","1","590","00000000462:砂肝と胡瓜の和物","フード","サラダ","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","560","00000000097:生ビール","ドリンク","ビール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","520","00000000101:角ハイボール","ドリンク","ハイボール","2025/08/01"
"20:配膳済","1","560","00000000057:若鶏唐揚げ","フード","揚げ物","2025/08/01"
"20:配膳済","1","580","00000000063:ｶﾏﾝﾍﾞｰﾙﾁｰｽﾞﾌﾗｲ","フード","揚げ物","2025/08/01"
"20:配膳済","1","1100","00000000461:ニラとアサリ豆板醤炒め","フード","サラダ","2025/08/01"
