商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
コース,コース,4800コース,00000000410,4800,2435,11685800,0,0,0,29,366,340,302,348,359,155,331,205,0,0,0,139200,1756800,1632000,1445600,1672200,1723200,744000,1588800,984000
コース,コース,3800円コース,00000000408,3800,1688,6414400,0,0,0,51,184,186,179,276,262,272,148,130,0,0,0,193800,699200,706800,680200,1048800,995600,1033600,562400,494000
コース,コース,3500円コース,00000000407,3500,1208,4228000,0,0,0,29,115,190,185,136,132,80,257,84,0,0,0,101500,402500,665000,647500,476000,462000,280000,899500,294000
フード,お通し,お通し,00000000362,380,8499,3230520,0,375,406,589,856,869,1007,1007,1094,945,888,463,0,142500,154280,223820,325280,331120,382660,382660,415720,359100,337440,175940
コース,コース,2h飲み放題,00000000354,2000,1145,2289000,0,79,75,51,86,118,124,122,175,128,124,63,0,158000,150000,102000,171000,236000,248000,244000,350000,256000,248000,126000
ドリンク,ビール,生ビール,00000000097,530,4164,2270920,69,237,249,333,315,369,503,465,460,468,413,283,36570,125610,136360,176490,166950,195570,266590,257340,257600,262080,231280,158480
コース,コース,食べ飲み放題,00000000240,3300,473,2205100,6,119,37,52,0,0,0,15,75,24,75,70,19800,392700,122100,172800,0,0,0,87000,435000,139200,435000,401500
ドリンク,ハイボール,角ハイボール,00000000101,520,2798,1454960,22,114,151,206,324,302,286,317,282,281,355,158,11440,59280,78520,107120,168480,157040,148720,164840,146640,146120,184600,82160
コース,コース,6500円コース,00000000411,6500,190,1235000,0,0,0,0,4,42,18,36,19,38,20,13,0,0,0,0,26000,273000,117000,234000,123500,247000,130000,84500
ドリンク,ハイボール,メガ角ハイボール,00000000102,960,830,796800,19,53,16,74,38,136,96,128,98,70,65,37,18240,50880,15360,71040,36480,130560,92160,122880,94080,67200,62400,35520
コース,コース,宴煌コース,00000000241,3800,201,763800,2,127,39,26,7,0,0,0,0,0,0,0,7600,482600,148200,98800,26600,0,0,0,0,0,0,0
コース,コース,4200円コース,00000000409,4200,173,726600,0,0,0,11,101,37,19,5,0,0,0,0,0,0,0,46200,424200,155400,79800,21000,0,0,0,0
コース,コース,旬彩コース,00000000245,4600,156,717600,0,42,62,10,42,0,0,0,0,0,0,0,0,193200,285200,46000,193200,0,0,0,0,0,0,0
ランチ,ランチ,唐揚げ定食,00000000170,850,170,679921,0,0,16,20,19,18,13,19,19,19,16,11,0,0,65168,129150,80640,71073,43453,70670,67061,54896,44500,53310
コース,コース,小籠包食べ放題コース,00000000244,4500,146,657000,0,84,56,6,0,0,0,0,0,0,0,0,0,378000,252000,27000,0,0,0,0,0,0,0,0
ドリンク,サワー,レモンサワー,00000000113,430,1488,654660,27,85,63,80,132,144,166,159,191,168,174,99,11610,36550,27090,34400,56760,61920,71380,70550,85950,75600,78300,44550
フード,逸品料理,手作り小籠包,00000000208,630,904,569520,8,55,55,73,73,79,103,97,114,107,85,55,5040,34650,34650,45990,45990,49770,64890,61110,71820,67410,53550,34650
フード,焼き物,焼鳥七点盛り合わせ,00000000192,950,518,492100,8,10,14,43,41,45,62,72,64,61,68,30,7600,9500,13300,40850,38950,42750,58900,68400,60800,57950,64600,28500
フード,逸品料理,だし巻き卵,00000000211,680,649,441320,2,22,15,17,54,73,90,73,91,88,73,51,1360,14960,10200,11560,36720,49640,61200,49640,61880,59840,49640,34680
コース,コース,1h飲み放題,00000000353,1000,441,441000,0,3,10,67,78,30,42,77,57,27,25,25,0,3000,10000,67000,78000,30000,42000,77000,57000,27000,25000,25000
フード,逸品料理,手作りジャンボ餃子,00000000205,380,1041,395580,8,38,38,67,76,115,127,141,120,123,121,67,3040,14440,14440,25460,28880,43700,48260,53580,45600,46740,45980,25460
コース,コース,贅沢海鮮コース,00000000243,4000,97,388000,0,56,6,35,0,0,0,0,0,0,0,0,0,224000,24000,140000,0,0,0,0,0,0,0,0
ドリンク,ジンソーダ,翠ジンソーダ,00000000110,430,867,380810,5,31,19,93,102,85,104,88,82,115,90,53,2150,13330,8170,39990,43860,36550,44720,39040,36900,51750,40500,23850
フード,サラダ,ズッキーニの唐揚げ,00000000224,680,272,336760,5,13,10,17,10,12,29,31,59,38,34,14,3400,8840,12200,21760,12800,15360,37120,39680,75520,48640,43520,17920
