2025/10/19 10:36 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.伝票処理日","H.曜日","H.客数（合計）","H.伝票金額","H.総商品数","D.商品カテゴリ1","D.商品","D.価格","D.数量"
"No:202500100002709","2025/08/01","2025/08/01 13:19:51","金","2","6600","2","ランチ","00000002567:うな重 梅 定食","3300","1"
"No:202500100002709","2025/08/01","2025/08/01 13:19:51","金","2","6600","2","ランチ","00000002567:うな重 梅 定食","3300","1"
"No:202500100002709","2025/08/01","2025/08/01 12:50:49","金","2","3300","1","ランチ","00000002567:うな重 梅 定食","3300","1"
"No:202500100002709","2025/08/01","2025/08/01 13:19:51","金","2","3300","1","ランチ","00000002567:うな重 梅 定食","3300","1"
"No:202500100002710","2025/08/01","2025/08/01 12:24:17","金","2","3060","4","ランチ","00000002484:豚しゃぶ定食","1200","1"
"No:202500100002710","2025/08/01","2025/08/01 12:24:17","金","2","3060","4","ランチ","00000001786:サバ定食","1200","1"
"No:202500100002710","2025/08/01","2025/08/01 12:24:17","金","2","3060","4","フード","00000001797:サラダ","330","1"
"No:202500100002710","2025/08/01","2025/08/01 12:24:17","金","2","3060","4","フード","00000001797:サラダ","330","1"
"No:202500100002711","2025/08/01","2025/08/01 12:21:46","金","2","2900","2","ランチ","00000002567:うな重 梅 定食","0","0"
"No:202500100002711","2025/08/01","2025/08/01 12:21:46","金","2","2900","2","フード","00000001104:とり天定食","1100","1"
"No:202500100002711","2025/08/01","2025/08/01 12:21:46","金","2","2900","2","フード","00000001102:お刺身定食","1800","1"
"No:202500100002712","2025/08/01","2025/08/01 12:33:26","金","1","1200","1","ランチ","00000001786:サバ定食","1200","1"
"No:202500100002713","2025/08/01","2025/08/01 12:37:23","金","5","6400","5","ランチ","00000003135:チキン南蛮定食","1200","1"
"No:202500100002713","2025/08/01","2025/08/01 12:37:23","金","5","6400","5","ランチ","00000001786:サバ定食","1200","1"
"No:202500100002713","2025/08/01","2025/08/01 12:37:23","金","5","6400","5","ランチ","00000001786:サバ定食","1200","1"
"No:202500100002713","2025/08/01","2025/08/01 12:37:23","金","5","6400","5","ランチ","00000001786:サバ定食","1200","1"
"No:202500100002713","2025/08/01","2025/08/01 12:37:23","金","5","6400","5","ランチ","00000002463:海鮮丼","1600","1"
"No:202500100002714","2025/08/01","2025/08/01 12:55:06","金","2","3000","2","ランチ","00000003311:エビフライ定食","1800","1"
"No:202500100002714","2025/08/01","2025/08/01 12:55:06","金","2","3000","2","ランチ","00000003135:チキン南蛮定食","1200","1"
"No:202500100002715","2025/08/01","2025/08/01 12:49:54","金","1","1200","1","フード","00000001101:しょうが焼き定食","1200","1"
"No:202500100002716","2025/08/01","2025/08/01 12:54:04","金","2","2400","2","ランチ","00000002484:豚しゃぶ定食","1200","1"
"No:202500100002716","2025/08/01","2025/08/01 12:54:04","金","2","2400","2","ランチ","00000003135:チキン南蛮定食","1200","1"
"No:202500100002717","2025/08/01","2025/08/01 13:13:27","金","1","2570","2","ドリンク","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","770","1"
"No:202500100002717","2025/08/01","2025/08/01 13:13:27","金","1","2570","2","フード","00000001735:とんかつ定食","1800","1"
"No:202500100002718","2025/08/01","2025/08/01 13:10:37","金","2","2300","2","ランチ","00000003135:チキン南蛮定食","1200","1"
"No:202500100002718","2025/08/01","2025/08/01 13:10:37","金","2","2300","2","フード","00000001104:とり天定食","0","0"
"No:202500100002718","2025/08/01","2025/08/01 13:10:37","金","2","2300","2","フード","00000001104:とり天定食","1100","1"
"No:202500100002719","2025/08/01","2025/08/01 13:28:42","金","1","1200","1","ランチ","00000003135:チキン南蛮定食","1200","1"
"No:202500100002720","2025/08/01","2025/08/01 13:14:32","金","1","1530","2","ランチ","00000003135:チキン南蛮定食","1200","1"
"No:202500100002720","2025/08/01","2025/08/01 13:14:32","金","1","1530","2","フード","00000000072:自家製冷奴","330","1"
"No:202500100002721","2025/08/01","2025/08/01 13:37:49","金","1","1800","1","フード","00000001103:カキフライ定食","1800","1"
"No:202500100002722","2025/08/01","2025/08/01 13:44:18","金","2","3600","2","フード","00000001103:カキフライ定食","1800","1"
"No:202500100002722","2025/08/01","2025/08/01 13:44:18","金","2","3600","2","フード","00000001735:とんかつ定食","1800","1"
"No:202500100002723","2025/08/01","2025/08/01 19:52:18","金","3","42530","11","コース","00000002619:鰻満喫コース","12000","1"
"No:202500100002723","2025/08/01","2025/08/01 19:52:18","金","3","42530","11","コース","00000002619:鰻満喫コース","12000","1"
"No:202500100002723","2025/08/01","2025/08/01 19:52:18","金","3","42530","11","コース","00000002619:鰻満喫コース","12000","1"
