"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2025/08/31","AMAZON.CO.JP","本人","1回払い","2119","0","2119","2119","0","*"
"2025/08/31","ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","1510","0","1510","1510","0","*"
"2025/08/30","PADDLE.NET* N8N CLOU利用国GB","本人","1回払い","4706","0","4706","4706","0","*"
"","現地利用額　　　　　　　　２６．４００変換レート　１７８．２５８円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","208","0","208","208","0","*"
"","現地利用額　　　　　　　　４４．０００変換レート　　　４．７２８円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","289","0","289","289","0","*"
"","現地利用額　　　　　　　　６１．０００変換レート　　　４．７３８円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","166","0","166","166","0","*"
"","現地利用額　　　　　　　　３５．０００変換レート　　　４．７４３円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","754","0","754","754","0","*"
"","現地利用額　　　　　　　１５９．０００変換レート　　　４．７４３円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","265","0","265","265","0","*"
"","現地利用額　　　　　　　　５６．０００変換レート　　　４．７３３円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","2262","0","2262","2262","0","*"
"","現地利用額　　　　　　　４７７．０００変換レート　　　４．７４３円","","","","","","","",""
"2025/08/30","WWW.GRAB.COM利用国TH","本人","1回払い","241","0","241","241","0","*"
"","現地利用額　　　　　　　　５１．０００変換レート　　　４．７２６円","","","","","","","",""
"2025/08/28","WWW.GRAB.COM利用国TH","本人","1回払い","247","0","247","247","0","*"
"","現地利用額　　　　　　　　５２．０００変換レート　　　４．７５０円","","","","","","","",""
"2025/08/28","WWW.GRAB.COM利用国TH","本人","1回払い","76","0","76","76","0","*"
"","現地利用額　　　　　　　　１６．０００変換レート　　　４．７５０円","","","","","","","",""
"2025/08/28","WWW.GRAB.COM利用国TH","本人","1回払い","138","0","138","138","0","*"
"","現地利用額　　　　　　　　２９．０００変換レート　　　４．７５９円","","","","","","","",""
"2025/08/27","WWW.GRAB.COM利用国TH","本人","1回払い","440","0","440","440","0","*"
"","現地利用額　　　　　　　　９３．０００変換レート　　　４．７３２円","","","","","","","",""
"2025/08/27","WWW.GRAB.COM利用国TH","本人","1回払い","460","0","460","460","0","*"
"","現地利用額　　　　　　　　９７．０００変換レート　　　４．７４３円","","","","","","","",""
"2025/08/27","WWW.GRAB.COM利用国TH","本人","1回払い","208","0","208","208","0","*"
"","現地利用額　　　　　　　　４４．０００変換レート　　　４．７２８円","","","","","","","",""
"2025/08/27","WWW.GRAB.COM利用国TH","本人","1回払い","180","0","180","180","0","*"
"","現地利用額　　　　　　　　３８．０００変換レート　　　４．７３７円","","","","","","","",""
"2025/08/26","WWW.GRAB.COM利用国TH","本人","1回払い","1601","0","1601","1601","0","*"
"","現地利用額　　　　　　　３３８．０００変換レート　　　４．７３７円","","","","","","","",""
"2025/08/26","GRAB* A-89O8JMSWXB2N利用国VN","本人","1回払い","622","0","622","622","0","*"
"","現地利用額　　　　１０７１２０．０００変換レート　　　０．００６円","","","","","","","",""
