"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","支払月","12月支払金額","1月繰越残高","1月以降支払金額"
"2025/11/30","ＶＩＳＡ海外利用　PADDLE.NET* N8N CLOU","本人","1回払い","4965","0","4965","12月","4965","0",""
"2025/11/30","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","12月","10000","0",""
"2025/11/30","ＶＩＳＡ国内利用　VS ﾋﾞ-ｴｲﾄ/NFC","本人","1回払い","10186","0","10186","12月","10186","0",""
"2025/11/30","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ﾀｸｼｰｼｬﾅｲｹｯ","本人","1回払い","3400","0","3400","12月","3400","0",""
"2025/11/29","ＶＩＳＡ国内利用　VS ﾓｽﾊﾞ-ｶﾞ-","本人","1回払い","590","0","590","12月","590","0",""
"2025/11/29","ＶＩＳＡ国内利用　VS EXC･ｼﾌﾞﾔﾐﾔﾏｽｻﾞｶﾃﾝ","本人","1回払い","600","0","600","12月","600","0",""
"2025/11/29","ＶＩＳＡ国内利用　VS ﾄ-ﾖ-ﾍﾞﾝﾃﾞｲﾝｸﾞ ｶ","本人","1回払い","560","0","560","12月","560","0",""
"2025/11/29","ＶＩＳＡ国内利用　VS ﾄﾘﾂﾌﾟ ﾄﾞﾂﾄｺﾑ","本人","1回払い","89170","0","89170","12月","89170","0",""
"2025/11/27","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","6700","0","6700","12月","6700","0",""
"2025/11/27","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","2450","0","2450","12月","2450","0",""
"2025/11/26","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","960","0","960","12月","960","0",""
"2025/11/26","ＶＩＳＡ国内利用　VS GOOGLE GOOGLE ONE","本人","1回払い","2900","0","2900","12月","2900","0",""
"2025/11/24","ＶＩＳＡ海外利用　NOTION LABS, INC.","本人","1回払い","3952","0","3952","12月","3952","0",""
"2025/11/24","ＪＣＢ国内利用　QP  ﾏｸﾄﾞﾅﾙﾄﾞｱｷﾊﾊﾞﾗｴｷ","本人","1回払い","1150","0","1150","12月","1150","0",""
"2025/11/24","ＪＣＢ国内利用　QP  ｻ-ﾃｲﾜﾝｱｲｽｸﾘ-ﾑ","本人","1回払い","420","0","420","12月","420","0",""
"2025/11/24","ＪＣＢ国内利用　QP  ｶｲｶﾂｸﾗﾌﾞ ｵｵﾓﾘ","本人","1回払い","3130","0","3130","12月","3130","0",""
"2025/11/23","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ﾗﾄﾘｴﾋﾛﾜｷｻｶ","本人","1回払い","1130","0","1130","12月","1130","0",""
"2025/11/23","ＶＩＳＡ国内利用　VS ｼﾞｲｽﾞ ﾊﾞ-","本人","1回払い","3740","0","3740","12月","3740","0",""
"2025/11/23","ＪＣＢ国内利用　QP  ﾊﾞ-ｶﾞ-ｷﾝｸﾞ","本人","1回払い","1090","0","1090","12月","1090","0",""
"2025/11/22","ＶＩＳＡ海外利用　MIDJOURNEY INC.","本人","1回払い","1797","0","1797","12月","1797","0",""
"2025/11/22","ＶＩＳＡ海外利用　NOTION LABS, INC.","本人","1回払い","21780","0","21780","12月","21780","0",""
"2025/11/22","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ｷｬﾛﾙ ｺﾞﾀﾝﾀ","本人","1回払い","1309","0","1309","12月","1309","0",""
"2025/11/22","ＪＣＢ国内利用　QP  ﾃﾞﾘﾄﾞﾑｻｼｺｽｷﾞﾃﾝ","本人","1回払い","858","0","858","12月","858","0",""
"2025/11/22","ＪＣＢ国内利用　QP  ﾄﾞﾄ-ﾙｺ-ﾋ-","本人","1回払い","520","0","520","12月","520","0",""
"2025/11/22","ＪＣＢ国内利用　QP  ﾒｲｾｲﾀｸｼ-(ｶ","本人","1回払い","1500","0","1500","12月","1500","0",""
"2025/11/21","ＶＩＳＡ国内利用　VS ﾉｰﾄﾞﾌﾞｲﾋﾟｰｴﾇ","本人","1回払い","1782","0","1782","12月","1782","0",""
"2025/11/21","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","12月","10000","0",""
"2025/11/21","ＶＩＳＡ国内利用　VS ﾁﾔ-ｼﾞｽﾎﾟﾂﾄ","本人","1回払い","330","0","330","12月","330","0",""
"2025/11/21","ＶＩＳＡ海外利用　GENSPARK.AI","本人","1回払い","4499","0","4499","12月","4499","0",""
"2025/11/21","ＶＩＳＡ海外利用　VERCEL INC.","本人","1回払い","3273","0","3273","12月","3273","0",""
"2025/11/21","ＶＩＳＡ国内利用　VS ｺﾞｼﾂｸﾄｳｷﾖｳ","本人","1回払い","35200","0","35200","12月","35200","0",""
"2025/11/21","ＶＩＳＡ国内利用　VS ﾍﾞﾙﾐﾝﾄ","本人","1回払い","6600","0","6600","12月","6600","0",""
"2025/11/21","ＪＣＢ国内利用　QP  ｳｴﾝﾃﾞｲ-ｽﾞﾌｱ-ｽﾄｷﾂ","本人","1回払い","1240","0","1240","12月","1240","0",""
"2025/11/21","ＪＣＢ国内利用　QP  ｺｶｺ-ﾗｼﾞﾊﾝｷｸｲﾂｸﾍﾟ","本人","1回払い","160","0","160","12月","160","0",""
"2025/11/21","ＪＣＢ国内利用　QP  ｳｵﾄﾞﾝﾔﾄﾅﾘｴｷﾕ-ﾄﾂｸ","本人","1回払い","950","0","950","12月","950","0",""
"2025/11/21","楽天トラベル　国内宿泊　        709038","本人","1回払い","12014","0","12014","12月","12014","0",""
"2025/11/20","ＶＩＳＡ海外利用　CURSOR, AI POWERED I","本人","1回払い","3258","0","3258","12月","3258","0",""
"2025/11/20","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ｱｳﾙ","本人","1回払い","2035","0","2035","12月","2035","0",""
"2025/11/20","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ｷﾗﾘ","本人","1回払い","2500","0","2500","12月","2500","0",""
"2025/11/20","ＶＩＳＡ国内利用　VS ｴｲﾁｱｲｴｽﾓﾊﾞｲﾙ","本人","1回払い","284","0","284","12月","284","0",""
"2025/11/20","ＪＣＢ国内利用　QP  ｳｴﾙｼｱﾔﾂｷﾖｸ","本人","1回払い","6466","0","6466","12月","6466","0",""
"2025/11/19","ＶＩＳＡ海外利用　CLAUDE.AI SUBSCRIPTI","本人","1回払い","16141","0","16141","12月","16141","0",""
"2025/11/19","ＶＩＳＡ海外利用　ZOOM.COM 888-799-966","本人","1回払い","2804","0","2804","12月","2804","0",""
"2025/11/19","ＪＣＢ国内利用　QP  ﾛｰｿﾝ","本人","1回払い","859","0","859","12月","859","0",""
"2025/11/18","ＪＣＢ国内利用　QP  ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","777","0","777","12月","777","0",""
"2025/11/18","ＪＣＢ国内利用　QP  ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","1430","0","1430","12月","1430","0",""
"2025/11/18","ＪＣＢ国内利用　QP  ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","1430","0","1430","12月","1430","0",""
"2025/11/18","ＪＣＢ国内利用　QP  ｶﾏｸﾗﾊﾟｽﾀ ﾄﾂｶ-ﾅﾃﾝ","本人","1回払い","2010","0","2010","12月","2010","0",""
"2025/11/16","ＪＣＢ国内利用　QP  ｶﾗｵｹｶﾝ ｳｴﾉﾎﾝﾃﾝ","本人","1回払い","2040","0","2040","12月","2040","0",""
"2025/11/16","ＪＣＢ国内利用　QP  ﾊﾟﾙｺﾔ","本人","1回払い","3800","0","3800","12月","3800","0",""
"2025/11/16","ＪＣＢ国内利用　QP  ﾄﾞﾝｷﾎ-ﾃ ﾄﾂｶﾊﾗｼﾞﾕ","本人","1回払い","1865","0","1865","12月","1865","0",""
"2025/11/16","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","12月","10000","0",""
"2025/11/16","楽天証券投信積立０．５％～","本人","1回払い","48133","0","48133","12月","48133","0",""
"2025/11/15","ＶＩＳＡ国内利用　VS ﾁﾔ-ｼﾞｽﾎﾟﾂﾄ","本人","1回払い","330","0","330","12月","330","0",""
"2025/11/15","ＶＩＳＡ国内利用　VS ﾁﾔ-ｼﾞｽﾎﾟﾂﾄ","本人","1回払い","430","0","430","12月","430","0",""
