ネタメモ：経営者さん、今すぐ実際原価見て！横領にあってる話,
シーン,①セリフを考える（ライティング）
1,横領に合ってる可能性のある飲食店が見落としがちなのが棚卸です
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,これは実話で僕のクライアント様が昔棚卸と実際原価のズレがひどくて監視カメラをつけたところ相当な額やられてたそうです
14,
15,
16,
17,棚卸は経理面でも必要ですが、こうした犯罪防止のためにも今月から棚卸をじっししてください
,
ネタメモ：36協定,
シーン,①セリフを考える（ライティング）
1,労基法違反でスタッフ働かせてる犯罪のオンパレード経営してませんよね？
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,労働時間を守ってあげたいのであれば36協定はちゃんと結んでおいてください
14,
15,
16,
17,"労基に駆け込まれてからではもう手遅れです
雇用を守るためにも36協定の理解をしておきましょう"
,
ネタメモ：バックヤードが汚い店舗は人が育たない,
シーン,①セリフを考える（ライティング）
1,この動画が流れて来た飲食店さん、今すぐバックヤードの確認してください
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,集中力、士気、健康、幸福感、モチベーションこれら全ての低下に繋がります
14,
15,
16,
17,"お店の綺麗さは心の投影です
お客様が見えないところも綺麗に保ちましょう"
,
ネタメモ：正直商品の優劣ではなくストーリーかベネフィット,
シーン,①セリフを考える（ライティング）
1,もういい加減商品の良さで売るのはやめてください！！
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,結局お客様がお店を選ぶ基準はお店のストーリーへの共感か、顧客体験としてのベネフィットのどちらかのみです
14,
15,
16,
17,うちは〇〇のこだわりのお肉が〜とかまだ言ってるのであれば自店の強みの見直すタイミングです
,
ネタメモ：包み隠さずいいます　集客は時間をかけるかお金をかけるかしかできません,
シーン,①セリフを考える（ライティング）
1,包み隠さず言いますが集客は時間をかけるかお金をかけるかでしかできません
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,"お金がないならとにかく文句を言わずに継続
SNSもグルメ媒体もGoogleも全部明日から跳ねることなんかないです"
14,
15,
16,
17,その忍耐力がないのであれば圧倒的な予算を準備してください
,
ネタメモ：友人や子供の写真を載せるな　ユーザーラベリング「このアカウントはこのジャンル」,
シーン,①セリフを考える（ライティング）
1,インスタグラムに友人や子供の写真は絶対に載せたらあかん
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,ユーザーラベリングと言ってインスタ側のAIが「このアカウントは〇〇について発信してるアカウントなんや」って評価を受けて発信先を決めて行きます
14,
15,
16,
17,せっかく集客用に作ったアカウントならプライベートな内容の投稿は一切しないと心に決めてください
,
ネタメモ：収容人数÷4÷４,
シーン,①セリフを考える（ライティング）
1,ホールスタッフの人数何人おけばええねんって悩んでる経営者さんはなんで収容人÷4÷４で計算せえへんのやろ
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,収容人数÷4で理想テーブル数を計算して、その回答から÷4をすると何人で対応するかが計算できます
14,
15,
16,
17,開業時やサービスの人件費が高い時に一度計算してみてください
,
ネタメモ：坪売上,
シーン,①セリフを考える（ライティング）
1,坪売上10万円ない店舗終わります
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,まずは1坪あたりの売上20万円を目指しましょう
14,
15,
16,
17,あくまで一つの指標でしかないですが、売上目標を決める際に参考にしてみてください
,
ネタメモ：開業費用の内訳,
シーン,①セリフを考える（ライティング）
1,これから飲食店の開業を考えてる人、お金で困りたくないなら開業資金の4大分類くらいは知ってますよね？
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,"物件取得費、店舗設備費、運転資金、最後に忘れがちなのがオーナーの生活費
物件取得費、店舗設備費で約8割、運転資金、生活費は2割ほど"
14,
15,
16,
17,より詳細に知りたい、資金の相談したい方は是非DMに「面談希望」と送ってください
,
ネタメモ：厨房面積比率,
シーン,①セリフを考える（ライティング）
1,キッチンの広さが全体広さの2割未満の場合お客様が付かないですよ
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,厨房面積比率の理想は総面積の30％ほどです
14,
15,
16,
17,"狭すぎると提供に時間がかかるし、広すぎると席数が確保できず売り上げが立ちません
気をつけて設計して行きましょう"
,
ネタメモ：スタバの戦略,
シーン,①セリフを考える（ライティング）
1,スタバのギフトもらって有効期限切らしたことある人、まんまとスタバの戦略にハマってます
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,ギフトを使用しなければ、その売り上げは経費のほとんどかからない純利益となり次の店舗の展開や企業成長に充てられます
14,
15,
16,
17,ギフト総額の5％〜10％が使用されずに失効するのでスタバの売り上げから換算すると数十億規模になりますね
,
ネタメモ：撤退ラインは決めておく,
シーン,①セリフを考える（ライティング）
1,本来お店畳まなあかんラインやのにズルズル続けてしまうから借金がでかくなるねん
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,しっかりB/SとP/Lを計画段階から下記出しデッドラインがどこなのかを把握しておきましょう
14,
15,
16,
17,お店開業のタイミングで閉めてしまうのを考えたくないのも分かりますが、最小限のダメージで手を引くのもビジネスの鉄則です
