,1,,ネタメモ：限界利益と粗利の違い,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,まさか限界利益と粗利の違い分からん飲食店オーナーいませんよね？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,定義・目的が明確に異なる、別の利益指標です
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"飲食店経営は「売上を作る業態」ではなく、「固定費を回収する業態」なので
判断軸は「粗利」ではなく「限界利益」に置くべきです"
,,,,
,2,,ネタメモ：PMの重要性,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"夢見てた飲食店が大失敗に終わりたくないなら
たった一人味方に付けるだけなんです"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,飲食店を作るときは、全部を最後まで管理する人を1人決めないと失敗します。
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"プロジェクトマネジメントがあなたの仕事ではないはずです
外部へ依頼して本来集中すべき目の前の仕事に振り切りましょう"
,,,,
,3,,ネタメモ：飲食店の媒体依存からインフルエンサー依存に変わっただけ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,インフルエンサー使ってるお店は今後流行らんくなりますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,グルメ媒体媒体依存からインフルエンサー依存に変わっただけなんです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"集客は飲食店経営において舵みたいなものです
自分のお店の未来を媒体やインフルエンサーに委ねるのはやめましょう"
,,,,
,4,,ネタメモ：輪ゴムの使用は禁止,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,今すぐ輪ゴムをキッチンで使ってる人全部捨ててください
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,日本のHACCP関連の公的資料では衛生管理上の配慮としてキッチン内に持ち込まないようにすることが推奨されている
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,他にもホチキス、クリップ、輪ゴム等の小さく、飛散・落下しやすく、異物混入リスクがあるものは使わないほうがいいです
,,,,
,5,,ネタメモ：キッチン内ではアクション数を減らせ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,キッチンの中ではとにかくアクションを減らさなあかん
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,提供時間の遅れ、調理ミスによるロス、厨房内事故を低減させます
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,調理工程を見直し一個でも省ける作業がないか、動線を変えるだけでスムーズに動けないかを再確認してください
,,,,
,6,,ネタメモ：お通しカット有り？無し？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,お通しカットは有り派ですか？無し派ですか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
