No,処理済み,処理日時,テーマ,カテゴリ,罠（課題）,放置すると,解決策,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,完了,2026-01-17,限界利益と粗利の違い,数字と財務,限界利益と粗利の違いを理解していない,経営判断の軸がブレて固定費回収の意識が薄れる,限界利益を判断軸に置き固定費を回収する意識で経営する,まさか限界利益と粗利の違い分からん飲食店オーナーいませんよね？,「粗利さえ見てたら大丈夫やろ」って思ってません？,売上から原価引いたら利益、それで経営判断終わりにしてません？,それ、飲食経営の本質を見失ってます,このままやと、固定費の回収意識が薄いまま、いつまでも資金繰りに苦しむことになりますよ,「なんで利益出てるはずなのに手元にお金ないんやろ」って悩んでませんか？,分かりますよ、経理の専門用語なんて面倒やし、売上から原価引けばええやろって思う気持ちも,でもほんまは、固定費を回収できてるかどうかが経営の生命線やって知ってましたか？,多くの経営者が、粗利と限界利益の違いを知らんだけで、判断軸がブレ続けてるんです,今日は、なんで「限界利益」が飲食店経営の最重要指標なのかをお伝えします,粗利だけ見てる店と、限界利益で判断する店では、経営の安定感が全然違うんです,例えるなら、家賃と光熱費を払う前に「儲かった」って喜んでるのと同じ状態ですよ,定義・目的が明確に異なる、別の利益指標です,粗利は売上-原価、限界利益は売上-変動費。固定費を引く前か後かで意味が変わります,限界利益で「固定費をいくら回収できたか」を毎月チェックする習慣をつけてください,「粗利だけ見てた…」って気づいた人、今日から視点が変わりますよ,"飲食店経営は「売上を作る業態」ではなく、「固定費を回収する業態」なので判断軸は「粗利」ではなく「限界利益」に置くべきです",例1-5/例SNS-POS
2,完了,2026-01-17,PMの重要性,開業・経営,飲食店開業時にプロジェクトマネージャーを置いていない,全体を統括する人がおらず開業準備がバラバラになる,開業前からPMを決めて全工程を一元管理する,"夢見てた飲食店が大失敗に終わりたくないならたった一人味方に付けるだけなんです",「自分で全部やればええやろ」って抱え込んでません？,内装業者・厨房設備・メニュー開発…全部自分で調整しようとしてません？,それ、開業失敗の典型パターンです,このままやと、工事の遅れ、予算オーバー、オープン延期…全部同時に起こりますよ,「なんでこんなにバタバタするんやろ」って開業準備で疲弊してませんか？,分かりますよ、自分の店やから自分でコントロールしたい気持ちも,でもほんまは、全体を見渡す「司令塔」がおらんと、どこかで必ずほころびが出るって知ってましたか？,多くの経営者が、開業準備で消耗して、肝心のオープン後に力が残ってないんです,今日は、なんで「プロジェクトマネージャー」が開業成功の鍵なのかをお伝えします,PM不在の開業とPMがいる開業では、トラブル発生率が雲泥の差なんです,例えるなら、オーケストラに指揮者がいないのと同じで、全員バラバラに演奏してる状態ですよ,飲食店を作るときは、全部を最後まで管理する人を1人決めないと失敗します,業者との調整、スケジュール管理、予算管理、全部を一元管理できる人が必要です,自分でやるか、信頼できる人に任せるか、どちらにしても「PM」という役割を明確にしてください,「全部自分でやろうとしてた…」って気づいた人、今すぐ体制を見直しましょ,"プロジェクトマネジメントがあなたの仕事ではないはずです。外部へ依頼して本来集中すべき目の前の仕事に振り切りましょう",例エリア-立地/例開業-属人
3,完了,2026-01-17,飲食店の媒体依存からインフルエンサー依存,集客・販促,グルメ媒体からインフルエンサーへ依存先を変えただけ,集客の主導権を外部に握られ続ける,自社の集客力を育て外部依存から脱却する,インフルエンサー使ってるお店は今後流行らんくなりますよ,「今はインフルエンサーの時代やから」って媒体費をインフルエンサー費に変えただけになってません？,食べログ依存からインスタグラマー依存に変わっただけで、本質は同じって気づいてません？,それ、依存先を変えただけで経営体質は何も変わってません,このままやと、インフルエンサーの影響力が落ちた瞬間に、また次の依存先を探す羽目になりますよ,「インフルエンサーに頼んでも一瞬だけで終わる…」って感じてませんか？,分かりますよ、自力で集客するより外部の力を借りた方が楽やし効果も早い気持ちも,でもほんまは、他人任せの集客では永遠に安定せえへんって知ってましたか？,多くの店が、依存先を変えるだけで根本解決から逃げ続けてるんです,今日は、なんで「自社集客力」を育てることが生き残りの条件なのかをお伝えします,外部依存の店と自力集客できる店では、5年後の生存率が全然違うんです,例えるなら、誰かに運転してもらう車と、自分で運転できる車、どっちが自由か分かりますよね,グルメ媒体依存からインフルエンサー依存に変わっただけなんです,SNSもGoogleも口コミも、自分たちでコントロールできる集客チャネルを育ててください,まずは店舗アカウントを本気で運用して、お客様との直接のつながりを作るところから始めましょう,「また依存先変えるとこやった…」って気づいた人、今が脱却のチャンスです,"集客は飲食店経営において舵みたいなものです。自分のお店の未来を媒体やインフルエンサーに委ねるのはやめましょう",例多様/例口コミ-研修
4,完了,2026-01-17,輪ゴムの使用は禁止,衛生管理,キッチン内で輪ゴムを使用している,異物混入リスクが高まりHACCP違反の可能性も,輪ゴム類を排除しクリップや結束バンドに切り替える,今すぐ輪ゴムをキッチンで使ってる人全部捨ててください,「輪ゴムぐらいええやろ」って当たり前に使ってません？,食材の袋を輪ゴムで縛って、そのままキッチンに置いてません？,それ、衛生管理の基本がなってません,このままやと、輪ゴムが料理に混入して、お客様の口に入る大事故につながりますよ,「今まで何も起きてへんから大丈夫」って思ってませんか？,分かりますよ、輪ゴムは便利やし、昔からそうしてきたって気持ちも,でもほんまは、HACCPの観点から見たらキッチン内の輪ゴムは完全にアウトやって知ってましたか？,小さくて飛散しやすい物が、どれだけ異物混入リスクを高めてるか、多くの店が甘く見てるんです,今日は、なんで「輪ゴム排除」がプロのキッチンの常識なのかをお伝えします,輪ゴムを使い続けてる店と、排除した店では、食品事故リスクが全然違うんです,例えるなら、爆弾を抱えながら料理してるようなもんで、いつ爆発するか分からん状態ですよ,日本のHACCP関連の公的資料では衛生管理上の配慮としてキッチン内に持ち込まないようにすることが推奨されている,輪ゴムの代わりに、クリップや結束バンド、シリコンバンドを使ってください,今日の営業終わりに、キッチン内の輪ゴムを全て回収して、別の方法に切り替える準備をしましょう,「輪ゴムぐらい…」って思ってた人、その「ぐらい」が店を潰すんです,"他にもホチキス、クリップ、輪ゴム等の小さく、飛散・落下しやすく、異物混入リスクがあるものは使わないほうがいいです",例新卒-地域/例価値観-立地
5,完了,2026-01-17,キッチン内ではアクション数を減らせ,現場運営,キッチン内の動作数が多く非効率,提供時間の遅れ・調理ミス・事故リスクが増大,動線と工程を見直しアクション数を最小化する,キッチンの中ではとにかくアクションを減らさなあかん,「忙しいから仕方ない」って無駄な動きを放置してません？,冷蔵庫まで10歩、調味料取りに5歩、毎回同じ無駄な動きしてません？,それ、効率の悪さを努力でカバーしてるだけです,このままやと、提供は遅い、ミスは増える、怪我のリスクも高まる悪循環ですよ,「なんでこんなにバタバタしてるのに料理が出えへんのやろ」って感じませんか？,分かりますよ、忙しい時は目の前のことで精一杯で、動線なんて考える余裕ないって気持ちも,でもほんまは、アクション数を減らすだけで劇的に効率が上がるって知ってましたか？,多くのキッチンが、非効率な動きに慣れてしまって、それが当たり前になってるんです,今日は、なんで「アクション数削減」がキッチン効率化の最重要ポイントなのかをお伝えします,アクション数が多いキッチンと最適化されたキッチンでは、同じメニューでも提供時間が全然違うんです,例えるなら、毎回遠回りして目的地に行くのと、最短ルートで行くの、どっちが早いか明らかですよね,提供時間の遅れ、調理ミスによるロス、厨房内事故を低減させます,一つの作業で必要な物が全て手の届く範囲にあるか、動線を見直してください,まずは一番よく作るメニューの工程を分解して、無駄な歩数やアクションを洗い出すところから始めましょう,「効率悪いのは分かってたけど…」って人、今日見直せば明日から変わります,"調理工程を見直し一個でも省ける作業がないか、動線を変えるだけでスムーズに動けないかを再確認してください",例AI活用/例こだわり財務
6,完了,2026-01-17,お通しカット有り？無し？,顧客体験,お通しカットの方針が曖昧でトラブルになる,会計時に揉めて口コミ評価が下がる,お通しの説明を徹底しコミュニケーションで解決する,お通しカットは有り派ですか？無し派ですか？,「お通し出してるけど、たまに文句言われる…」って悩んでません？,お通しの説明もせずに出して、会計でトラブルになってません？,それ、お通しの問題やなくてコミュニケーションの問題です,このままやと、お通しトラブルが口コミに書かれて、見込み客を失い続けますよ,「お通しカットって言われると対応に困る…」って感じませんか？,分かりますよ、お通しは店の文化やし、そこでお金もらわんと困るって気持ちも,でもほんまは、事前にちゃんと説明してたらトラブルにならへんって知ってましたか？,多くの店が、説明不足のまま出して、後から揉めるパターンを繰り返してるんです,今日は、なんで「お通しの説明」がトラブル予防の決め手なのかをお伝えします,説明なしで出す店と、しっかり伝える店では、クレーム発生率が雲泥の差なんです,例えるなら、値札のない商品を買わされるのと、価格を確認してから買うの、どっちが納得できるか分かりますよね,そもそもお客様としっかりコミュニケーションを取っていたらトラブルにはなりません,「本日のお通し○○円になります」と必ず最初に伝えて、お客様に選択肢を与えてください,スタッフ全員がお通しの説明をできるように、トークスクリプトを作っておきましょう,「説明せずに出してた…」って気づいた人、明日から一言添えるだけで変わります,"お会計時に揉めるのはちゃんと説明がなかったり、お通しがお金取れるようなクオリティじゃない証拠です",例誕生日水曜/例立地選び
7,完了,2026-01-17,社長の仕事は「こなす」ではなく「積み上げる」,経営者哲学,社長が現場の「こなす」仕事に追われている,未来への投資ができず成長が止まる,社長業として「積み上げる」仕事に時間を使う,「こなす」仕事から「積み上げる」仕事に切り替えた瞬間から社長業です,「今日も忙しかった」って毎日同じこと繰り返してません？,仕込み、調理、洗い場…全部自分でやらないと気が済まなくなってません？,それ、社長の仕事やなくて作業員の仕事です,このままやと、毎日は回るけど店は成長せえへん、ずっと同じ場所で足踏み状態ですよ,「忙しいのに売上が上がらへん…」って疑問に思いませんか？,分かりますよ、現場が回らんかったら意味ないし、自分がやった方が早いって気持ちも,でもほんまは、社長が現場に埋もれてる間は店は絶対に成長せえへんって知ってましたか？,多くの経営者が、「こなす」ことに満足して、「積み上げる」ことを後回しにしてるんです,今日は、なんで「社長業」と「現場作業」を分けることが成長の条件なのかをお伝えします,現場に埋もれる社長と、未来に投資する社長では、3年後の店の姿が全然違うんです,例えるなら、毎日水を汲むのに忙しくて、井戸を掘る時間がない状態ですよ,どこまで行ってもお店の一番の評価はどれだけ利益を残したかです,マーケティング、人材育成、仕組み作り…これらの「積み上げる」仕事に週の半分は使ってください,まずは自分の仕事を「今日やらなあかん仕事」と「未来のための仕事」に分けてみましょう,「毎日こなすだけやった…」って気づいた人、今日から意識を変えましょ,"今目の前の仕事をこなしているのでは集客に時間が使えません。社長は未来の利益を今作るために日々コツコツと積み上げる仕事をしてください",例凡事徹底/例エンゲージメント
8,完了,2026-01-17,脳内優先順位が1位じゃないと存在してないのと同じ,ブランド設計,お客様の脳内で1位を取れていない,選択肢の中から外れて来店につながらない,特定領域で1位を目指すポジショニングを取る,"日本一高い山は富士山、では二番目に高い山を答えられますか？",「2位でも十分やろ」って思ってません？,「色々ある中の一つ」として認識されてることに安心してません？,それ、存在してないのと同じです,このままやと、お客様が「○○食べたい」って思った時に、あなたの店は選択肢にすら入りませんよ,「なんでうちを選んでくれへんのやろ…」って悩んでませんか？,分かりますよ、1位を取るなんて大手や有名店には勝てへんって思う気持ちも,でもほんまは、「狭い領域での1位」なら誰でも取れるって知ってましたか？,多くの店が、「万人受け」を目指して、結果的に誰の記憶にも残らへん存在になってるんです,今日は、なんで「脳内1位」がお客様に選ばれる絶対条件なのかをお伝えします,2位以下の店と1位の店では、来店動機の強さが全然違うんです,例えるなら、日本一高い山は富士山、でも2位は北岳って誰も覚えてないのと同じです,脳内優先順位が1位じゃないと存在してないのと同じです,「このエリアで○○といえばうちの店」というポジションを一つ作ってください,まずは「何で1位を取るか」を決めて、そこに全力を注ぎましょう,「万人受け狙ってた…」って気づいた人、今日から絞り込みましょ,そのジャンル、そのエリアであなたのお店が一番最初に名前が出るくらい本気で外部露出して行きましょう,例マクドナルド/例ネット統一
9,完了,2026-01-17,キッチン内でのタバコ,法令遵守,キッチン内でスタッフがタバコを吸っている,改正健康増進法違反で行政指導・罰則のリスク,キッチン内禁煙を徹底し喫煙場所を分離する,"キッチン内でタバコ吸ってるお店、それ違法ですよ",「休憩中にちょっとだけ…」ってキッチンで吸ってません？,換気扇の下なら大丈夫やろって思ってません？,それ、完全にアウトです,このままやと、保健所の指導が入って、最悪営業停止になりますよ,「昔からこうやってきた」って慣習で続けてませんか？,分かりますよ、喫煙場所がないとスタッフも困るって気持ちも,でもほんまは、2020年の法改正で屋内喫煙は原則禁止になってるって知ってましたか？,多くの飲食店が、法改正を知らんまま、違法状態で営業し続けてるんです,今日は、なんで「キッチン禁煙」が法的義務なのかをお伝えします,禁煙対応してる店としてない店では、行政リスクが雲泥の差なんです,例えるなら、シートベルトせずに運転してるようなもんで、見つかったら一発アウトですよ,改正健康増進法に基づく原則屋内禁煙の規定に反する可能性が高く、行政指導・罰則の対象となり得ます,店舗外に喫煙スペースを設けるか、休憩時間に外で吸うルールを作ってください,今日の営業後に、スタッフ全員に「キッチン内禁煙」を伝えて、喫煙場所を明確にしましょう,「知らんかった…」って人、今日知れてラッキーです,"キッチン内での喫煙は法的・衛生的リスクが高く、お店を守る意味でも禁止すべきです。今日からルール化し喫煙場所を分離してください",例POP意味/例こだわり財務
10,完了,2026-01-17,物の配置は常時・随時・一時に分ける,現場運営,キッチン内の物の配置に理論がない,動線が悪く作業効率が落ちスペースも無駄になる,物を常時・随時・一時に分類し適切な場所に配置する,物の配置に理論のない店舗から潰れていきますよ,「使う時に探せばええやろ」って、物の場所が曖昧になってません？,よく使う道具と滅多に使わん道具が同じ場所に置いてません？,それ、毎日何分も無駄にしてます,このままやと、作業効率が上がらんまま、スタッフも疲弊して品質も落ちますよ,「キッチンが狭い…」って不満に思ってませんか？,分かりますよ、忙しいと片付けが後回しになるし、とりあえず置いとこってなる気持ちも,でもほんまは、物の配置一つで作業効率が倍になるって知ってましたか？,多くのキッチンが、理論なしに物を置いて、それが当たり前になってるんです,今日は、なんで「物の分類」がキッチン効率化の基本中の基本なのかをお伝えします,物がごちゃごちゃのキッチンと整理されたキッチンでは、作業スピードが全然違うんです,例えるなら、必要な本が見つからない本棚と、ジャンル分けされた本棚、どっちが使いやすいか明らかですよね,"全ての物を「常時・随時・一時」に分けてみてください。それぞれ手の届く範囲・1〜2歩で届く範囲・バックヤードに振り分けるとキッチンがスリムになります",毎日使う物は手の届く範囲、週に数回は1〜2歩、月に1回以下はバックヤードへ,今日の営業後に、キッチンの物を全部出して、使用頻度で分類してみましょう,「なんとなく置いてた…」って気づいた人、整理するだけで見違えますよ,この動画を見終わったら一度キッチンを見渡して無駄がないか教えてください,例職場哲学/例物価高対応
