タイトル,投稿日,訪問日,レビュアー名,総合評価,料理・味,サービス,雰囲気,CP,酒・ドリンク,金額_夜,金額_昼,いいね数,口コミ本文
コスパ最高のコース,'26/01/14,'26/01,かなぞうグルメ,4.5,4.5,4.5,4.5,4.5,4.5,"￥8,000～￥9,999",－,21,"新橋と銀座の真ん中くらいに新しくできた割烹のお店✨高級感があって、エントランスには盆栽がありました！暖簾をくぐるとまた立派な盆栽があって、空間もとっても素敵！入口は20年、店内は60年ものだそうです✨和モダンの空間は大人で接待とか特別な日にもピッタリでした。今回いただいたのは⭐︎3時間飲み放題付き　10品　¥9,800・濃胡麻豆腐に雲丹とろり胡麻豆腐はかなり濃厚でなめらか！雲丹の旨味も堪能できて最初から至福・八寸季節の前菜を楽しめます！蟹味噌入り蟹ほぐしもずく添えや、塩銀杏イチョウ、翡翠茄子、鰹のたたきをいただけました。どちらも美味しくてお酒にも合います✨・白子と根セロリの昆布だし和え昆布だしをかけてくれる1品白子もぷりぷり、根セロリの優しい香が他にないメニューでした・黒毛和牛ユッケユッケがあまり得意ではないのですが、レア感も絶妙で苦手な方でも食べられる美味しさです！柔らかくて噛むたびに旨味がとけだします・松坂牛 しゃぶしゃぶお出汁が美味しい！たっぷりの野菜ととろける松坂牛を1人5枚堪能できましたつけだれのポン酢がまた美味しくて、最後まで薄まることなく美味しくいただきます。・カラスミそば削りたてのカラスミの香りと塩気で最高！お出汁にくぐらせていただくんですが感動の1品でした✨・金目鯛の煮付けふわふわの金目鯛で優しい旨味がたまらない1品・朧昆布おむすび昆布がふんわりたっぷり乗っていて絶品でした少し冷めていたけど美味しかったです・菊華椀菊花が綺麗なお吸い物でしっかりした処理もされているとろける大根が2つ入っています✨締めにぴったりの沁みわたる美味しさでした・抹茶わらび餅黒蜜かけもちもちでたまらない美味しさでした！飲み放題コースにほうじ茶か緑茶があるので、一緒に飲むのがオススメです✨お酒の種類もかなり豊富で料理も大満足！この内容で1万円内は破格だと思います。"
,'26/01/14,'25/11,masisoyo_5,3.0,3.5,3.5,4.0,3.0,3.5,－,－,1,お店のロゴの感じから､今どきのお店なのかなって思ってたけど...モダンで落ち着いた大人居酒屋。料理は創作和食でどれもおいしかったんだけど...とくにおすすめなのが､柚子胡椒でいただく和牛ヒレカツサンド。お肉がほんと柔らかくて美味！一口サイズにしてあるのポイント高い。天草大王の唐揚げは､柔らかくてジューシー！！こりゃお酒が進む｡ひとりで2本余裕でぺろり。最後の和牛すき焼きはスタッフの方が丁寧に焼いてくれてこれまたうまあ。お肉と野菜のポーションもちょうどよい◎お酒は変わり種から日本酒･ワインもあるし料理もこだわりがあって､銀座にありそうでないお店！今日は雰囲気いい所で飲みたい･ゆっくりしたいおいしい料理とおいしいお酒を楽しみたい...とかデートにもかなりぴったりです。
内容・内装・サービスに対して価格設定がバグすぎる,'26/01/14,'26/01,ann_s522,4.6,4.5,5.0,5.0,4.5,4.0,"￥6,000～￥7,999",－,59,"最近新しくオープンした別天地銀座さんへ家族で初訪問！入った瞬間の和な感じが素敵すぎて早くも今年忘れられない一軒でした。盆栽が飾ってあったり和の要素がありながらも現代的なシックな感じで、今までにないしゃぶしゃぶ料理屋さんのなかで過去一イチ好きな内装かも。テーブルごとに1人ずつ備え付けのIHがあり、自分のペースで楽しめました。--☑︎order—【別天地コース お品書き】（特に気に入ったお品を⭐️つけています）春、⭐️先付 胡麻豆腐雲丹弍、八寸前菜盛り合わせ（⭐️鰹の出汁の揚げ茄子、かに味噌もずく、揚げ銀杏、鰹のたたき)参、白子と根セロリの昆布だし和え肆、黒毛和牛ユッケ（上にマイクロハーブ）伍、⭐️松坂牛（サーロイン）のしゃぶしゃぶ陸、⭐️カラスミ蕎麦しゃぶ漆、金目鯛の煮付け捌、⭐️昆布おにぎり玖、⭐️菊花椀捨、⭐️甘味抹茶わらび餅黒蜜--お料理は先付から甘味まで全体の流れがよく、和牛・魚・野菜それぞれの良さがきちんと伝わる内容でした。お野菜は全て京野菜で、お豆腐、紅芯大根、九条ネギ、きんたけ人参など豊富で栄養たっぷり。先付の胡麻豆腐雲丹から完成度が高く、なめらかさと雲丹のコクで一気に心を掴まれる。八寸は鰹出汁の揚げ茄子やかに味噌もずくなど、出汁の使い方がとにかく上手。白子×根セロリの昆布だし和えは上品で、黒毛和牛ユッケはマイクロハーブが効いて後味が軽い。松坂牛サーロインのしゃぶしゃぶは脂が甘く、京野菜との相性も抜群。特に京野菜を使った料理はやさしい味わいで、素材の良さを感じられます。カラスミ蕎麦しゃぶ、金目鯛の煮付けまで抜かりなく、最後は抹茶わらび餅とお茶で締め。落ち着いた雰囲気で、会食や大切な人との食事にも使いやすい一軒だと思います。しかも子連れOkなのが嬉しい◎すぐに広まりそうなので、早めに伺うことをおすすめします。ご馳走さまでした！お店情報……………………………………………………………【別天地 銀座】住所：東京都中央区銀座7-6-10アソルティ銀座花椿通りビル 4Fアクセス：銀座駅 徒歩約5分電話番号：050-5597-4420定休日：不定休金額目安：15,000円前後〜……………………………………………………………୨୧ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ୨୧気になったら【保存】して、銀座和食の候補に入れておいてね✨୨୧ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ┈ ୨୧"
松阪牛を味わうことができた！,'26/01/14,'26/01,crazy_collection71,3.8,3.8,3.8,3.9,3.8,3.8,"￥8,000～￥9,999",－,15,今回いただいたもの☆【お料理のみコース】■濃胡麻豆腐に雲丹とろり■八寸■白子と根セロリの昆布だし和え■黒毛和牛 マイクロハーブユッケ■松阪牛 しゃぶしゃぶ■カラスミの余香そば■金目鯛の煮付け■朧昆布のやさしいおむすび■菊華椀■抹茶わらび餅黒蜜かけ＋黒烏龍茶＋無糖紅茶別天地さんは和を取り入れた落ち着いた空間の中で松阪牛のしゃぶしゃぶをはじめとした和食を味わうことができる幅広いシーンで利用可能な使い勝手の良いお店。今回いただいたのは先付からデザートまで全10品で構成されているお料理のみコース。まず最初に提供された濃胡麻豆腐に雲丹とろりは口当たりが良く、気に入った！八寸の内容は蟹味噌入り蟹ほぐしもずく添え、塩銀杏、翡翠茄子、鰹のたたき。蟹味噌入り蟹ほぐしもずく添えは珍しい組み合わせで新しい発見があった。白子と根セロリの昆布だし和えは食べ応えのある白子で満足度が高かった！黒毛和牛のマイクロハーブユッケはしっとりとしていて、噛めば噛むほど旨みが感じられた。そして松阪牛のしゃぶしゃぶは金時人参や紅芯大根などのお野菜と一緒に提供され、ポン酢ダレに付けていただいた。お肉はとても柔らかく、お野菜は新鮮で美味しかった！カラスミの余香そばはスタッフさんが目の前でカラスミを削って提供してくれた。カラスミがアクセントになって良かった。金目鯛の煮付けは味が染み込んでいて、上品な味わいだった。〆の朧昆布のやさしいおむすびは朧昆布がたっぷりとかかっており、量もちょうど良かった。スタッフさんはテキパキとされていたし、広々とした空間で快適に過ごすことができた。
松坂牛のしゃぶしゃぶとすき焼きコースが9800円！？,'26/01/13,'26/01,RUPINENEHIDE,3.7,3.5,3.5,3.7,3.7,3.6,"￥8,000～￥9,999",－,19,"2025年11月25日OPENした出汁と旬の味わいを丁寧に重ねた割烹の味を気軽にいただける別天地さんにて。松坂牛のしゃぶしゃぶとすき焼きの1人1つの専用鍋でいただける飲み放題付きのコース 9,800円━━━━━━━━━━━━━━━①先付 胡麻豆腐雲丹②八寸前菜盛り合わせ③白子と根セロリの昆布だし和え④黒毛和牛ユッケ⑤松坂牛のしゃぶしゃぶ⑥カラスミ蕎麦しゃぶ⑦金目鯛の煮付け⑧朧昆布おにぎり⑨菊花椀⑩甘味 抹茶わらび餅黒蜜かけ━━━━━━━━━━━━━━━最初に来たのは胡麻豆腐雲丹。濃厚な胡麻豆腐のなめらかさに、雲丹のとろりとした旨味がたまらない。前菜盛り合わせは翡翠茄子塩銀杏蟹味噌入り蟹ほぐしもずく添え鰹のたたき白子と根セロリの昆布だし和えはとろける白子に、根セロリのほのかな香りがして良かったです。黒毛和牛ユッケは松坂牛の甘く上品で濃厚な旨みが卵黄が絡み至福のひと口。そしてメインの松坂牛のしゃぶしゃぶはお店名物の逸品。きめ細かい霜降りの美しさととろけるような柔らかさ、濃厚な旨みと甘み、湯気にくぐらせた瞬間に花開く松坂牛の香りが最高でした。締めにはカラスミの余香そば削りたてのカラスミが、芳醇な塩気が麺にまとわり、喉を通るたびに香りが抜けていく一杯。金目鯛の煮付け とろ照り旨煮はふっくらと火を入れた濃厚な脂のりをした金目鯛に、甘辛い煮汁がじんわり染みた照りのある煮汁が絡み合う。とろけるような食感と深い旨味がありました。朧昆布のやさしいおむすびは温かいご飯に昆布がふわふわと優しい味わいで美味しい。口の中でほどける塩味と旨味にふわっとした食感に豊かな風味がして美味しかったです。わらび餅は抹茶の豊かな風味とほろ苦さがあって美味しかったです。飲んだものは・生ビール・日置ハイボール・酢橘シークワサーサワー・ゆず山椒ハイボール・六のハイボール・仙禽料理と相性の良い日本酒とワインも豊富にあり。ウイスキー人気で頼まれる方多いそうですよ。今回オススメ、人気のウイスキーいただいたのですがどれも香りが良く、奥深い余韻が広がり美味しかったです。3時間飲み放題付きのコースもあって銀座で飲み放題で10,000円でできるとかすごい。高級感溢れる雰囲気があり会食や接待にぴったり。ソファテーブルや窓際の席は人気なので事前の予約が必要です。本物の盆栽を置かれていて素敵。家で白檀のお香をたくことがあるので、入り口入ると白檀のお香をたかれていて好感が持てました。"
和モダンなおしゃれ雰囲気の中で極上な松坂牛のしゃぶしゃぶを◎,'26/01/11,'26/01,mimi_cafe.gurume,4.0,,,,,,"￥8,000～￥9,999",－,9,"2025年11月にオープンした松坂牛のしゃぶしゃぶとすき焼きを楽しめるとのことで、冬にぴったりなしゃぶしゃぶをいただいてきました〜◎和モダンな雰囲気がとても落ち着いて、ソファ席の卓上には4つのIHがあり、自分専用のお鍋があるのが嬉しいところ！お鍋と思えないおしゃれなデザイン！デートにも使える仕様◎今回いただいたのは3時間飲み放題付きコース | 全10品 ¥9,800❃コース内容❃・濃胡麻豆腐に雲丹とろり/白子・八寸 海と山のほぐれ味(蟹味噌入り蟹ほぐしもずく添え、塩銀杏イチョウ添え、翡翠茄子、鰹のたたき)・白子と根セロリの昆布だし和え・松坂牛 マイクロハーブユッケ(この日はメニュー変わってチャーシューに近いものだったかも)・松坂牛 しゃぶしゃぶ・カラスミの余香そば・金目鯛の煮付け とろ照り旨煮・朧昆布のやさしいおむすび・菊華椀（きっかわん）余白の一口・抹茶わらび餅黒蜜かけ❃感想❃旬の白子がたっぷりといただけて大満足◎量感が女性には多めではある、、！松坂牛はサシがしっかりと入っていたけど、しゃぶしゃぶしてお肉の旨みを堪能できるのが嬉しいところ〜！そしてお野菜がとても美味しい！！はじめにネギを入れて出汁をとり、えのきや白菜、ピンクの大根(紅しぐれ？)、金時人参などがあり、お野菜の種類も豊富で嬉しいところ◎お蕎麦は目の前でカラスミをかけていただきました(素手なのがちょっと気になるけれども)旨みたっぷりのスープでいただくお蕎麦は美味しかった〜！その後ほどよく味が染みた金目鯛の煮付けと朧昆布のおむすびがきて、こちらも大満足なお味食べログではすきやきが販売未定って書かれていたけど、すきやきも魅力的すぎる、、！またお伺いしたいと思えるお店でした◎美味しいもの記録️『@mimi_cafe.gurume 』❃ 別天地☑︎銀座——————————————◾︎新橋駅　徒歩5分▪︎銀座駅　徒歩8分▪︎ 東京都中央区銀座7-6-10 アソルティ銀座花椿通りビル 4F▪︎予約可◾︎ 17:00 - 23:00——————————————#別天地#東京グルメ#東京ディナー#新橋グルメ#新橋ディナー"
,'26/01/11,'26/01,Team Tabearuki,4.2,,,,,,－,－,3,霜降りの松阪牛と金目鯛を味わえます。上質な空間と選び抜かれた銘酒、旬な食材を職人が最良の状態に仕上げる。銀座７丁目のビルの４階は銀座の喧騒を忘れさてくれます。ゆっくりとした食事会におすすめです。コース内容・濃胡麻豆腐に雲丹とろり・八寸 海と山のほぐれ味・白子と根セロリの昆布だし和え・松坂牛 マイクロハーブユッケ・松坂牛 しゃぶしゃぶ・カラスミの余香そば・金目鯛の煮付け とろ照り旨煮・朧昆布のやさしいおむすび・菊華椀 余白の一口・抹茶わらび餅黒蜜かけ
飲み放題コース1万円以下！絶品松坂牛しゃぶをリーズナブルに♡,'26/01/08,'26/01,gourmet_diary,4.5,,,,,,"￥8,000～￥9,999",－,145,昨年11月末にオープンしたばかり！しゃぶしゃぶをメインにセンスある逸品和食が楽しめるお店です。モダンな内装の店内で、向かい合わせの2名席と4名用のソファ席を完備していて、デートでも会食でも利用しやすいつくりでした。今回は、コースをいただきました！▼全10品 7800円！①濃胡麻豆腐に雲丹とろり濃厚な胡麻豆腐に雲丹の旨味が重なる贅沢な一品からコーススタート！②八寸 海と山のほぐれ味季節を感じる前菜が少しずつ！日本酒も進みます◎・蟹味噌入り蟹ほぐしもずく添え・塩銀杏イチョウ添え・翡翠茄子・鰹のたたき③白子と根セロリの昆布だし和え個人的に大好きな白子にテンションup！！根セロリのほのかな香りと相性の良い一品。④松坂牛 マイクロハーブユッケお肉にもしっかり味がついていて松坂牛の濃密な旨味がたまらない！ほのかに香るハーブの盛り付けも上品。⑤松坂牛 しゃぶしゃぶお店自慢の逸品だそう、お肉が柔らかくて料亭クオリティでした◎お野菜もたっぷりで、アラカルトでも特にこの冬の時期には、マストオーダー！⑥カラスミの余香そば削りたてのカラスミの芳醇な塩気がアクセントに！⑦金目鯛の煮付け とろ照り旨煮ふっくらと火入れされた金目鯛には、煮汁の味わいがしっかり染み込んでこちらも本当に美味しかったです！⑧朧昆布のやさしいおむすびコースの〆でおむすびは珍しいのでなんだかほっこり。⑦の金目鯛の煮付けのお汁に、少し浸して食べても◎⑨菊華椀（きっかわん）余白の一口菊花を模した椀の蓋は、コースの最後にピッタリ。⑩抹茶わらび餅黒蜜かけぷるぷるのわらび餅に、たっぷりの黒蜜が！温かい緑茶と共にいただきました♪年始にピッタリの贅沢なコース！3時間の飲み放題をつけても9800円とこの立地とこのお料理のクオリティでは、破格だと思います◎お酒の種類も豊富で...ビール、ウィスキー、サワー、ジン、焼酎はもちろん、日本酒は、全国各地のものを...黒龍・新政・田酒・など格の良いお鮨屋さんなどで見かけるプレミア限定酒も取りそえろているのがお酒好きには嬉しい！！松坂牛や金目鯛には贅沢にプレミア限定酒を♡色鮮やかなおちょこを選べるのも素敵！立地、空間、お料理、お酒...そして接客全てのクオリティが高く年始早々に素敵なお店に出会えました♪また季節を変えてお伺いしたいです！
銀座の和モダン割烹,'26/01/08,'25/12,りりすけ【グルメ日記】,3.5,3.0,3.0,4.0,3.5,4.0,"￥10,000～￥14,999",－,55,◆銀座・居酒屋◆銀座にNew openした和モダンな居酒屋に行ってきました。オープンしたばかりですが平日から混雑しており人気店です。アラカルトの注文もできるようですが、今回はコース利用しまして、ボリューム満点しゃぶしゃぶのコースを頂きました！...『先付　胡麻豆腐雲丹』・もちもち感が美味しい胡麻豆腐！それだけでも十分美味しいのに、なんと雲丹まで添えられており豪華で嬉しい♡『白子と根セロリの昆布出汁和え』・クリーミーな白子に合わせるのは上品味付けのとろみのある昆布出汁。昆布出汁と根セロリはよくかき混ぜて頂きます。『松坂牛のしゃぶしゃぶ』・待ってました、このコースのメインのしゃぶしゃぶです！しっかり国産牛で豪華です、サシもしっかり入っていますが脂っこすぎ無いのが嬉しいです。お野菜も普段馴染みのないような変わった食材等もあり、見た目も鮮やかで目からも楽しめました。そして1人1鍋あり自分専用なのも嬉しいポイントです◎...先付から始まり、お肉もお魚も頂いて〆は蕎麦もおにぎりもありお腹いっぱい◎デザートもあり大満足コースでした〜ご馳走様でした！【order】〜国産和牛しゃぶしゃぶコース〜・先付　胡麻豆腐雲丹・八寸　前菜盛り合わせ・白子と根セロリの昆布出汁和え・黒毛和牛ユッケ・松坂牛のしゃぶしゃぶ・カラスミ蕎麦しゃぶ・金目鯛の煮付け・朧昆布おにぎり・菊花椀・甘味　抹茶わらび餅黒蜜かけ
,'26/01/05,'26/01,やっぱり肉でしょ,4.0,4.0,4.0,4.0,4.0,4.0,"￥8,000～￥9,999",－,14,"銀座駅から徒歩5分『別天地 銀座』に伺いました2025年11月20日にオープンした新しいお店めちゃくちゃ豪華な内装です！！【 3時間飲み放題付きコース | 全10品 / 9,800円 】●濃胡麻豆腐に雲丹とろり胡麻豆腐のなめらかさに雲丹のとろりとした旨味●八寸 海と山のほぐれ味季節の恵みを小さな器に散りばめた五感を温める前菜・蟹味噌入り海蘊酢・揚げ銀杏・翡翠茄子・鰹のたたき●白子と根セロリの昆布だし和えとろける白子に根セロリのほのかな香り●松阪牛　マイクロハーブユッケ松坂牛の濃密な旨味と卵黄の組み合わせ●松阪牛　しゃぶしゃぶ湯気にくぐらせた瞬間に花開く松坂牛の香り！●カラスミの余香そば削りたてのカラスミの芳醇な塩気が最高！●金目鯛の煮付け とろ照り旨煮ふっくらと火を入れた金目鯛●朧昆布のおにぎり口の中でほどける塩味と旨味が抜群！●菊華椀菊花を模した椀の蓋を開けるととてもよい香り！●抹茶わらび餅黒蜜上品な甘さのわらび餅！以上のコースに3時間の飲み放題が付いて9,800円しかも銀座のど真ん中でこのコスパはヤバい！とにかく松阪牛のしゃぶしゃぶが美味しい！お肉のボリュームもハンパない！！！凄い銘柄の日本酒も沢山飲めて大満足ですカウンター席とテーブル席があり接待等にも使い勝手が良さそうですまた近いうちに伺います！！"
