商品カテゴリ①,商品カテゴリ②,商品名,カテゴリ①内のシェア,商品単価,累計売上個数,累計売上,2025-11売上個数,2025-11売上金額,2025-12売上個数,2025-12売上金額
"Aコース","(未分類)","A",0.00%,0,36,0,36,0,0,0
"Bコース","(未分類)","B",0.00%,0,10,0,10,0,0,0
"ウィスキー・ジン・リキュール","(未分類)","角",82.60%,750,44,33000,0,0,42,31500
"ウィスキー・ジン・リキュール","(未分類)","桜島みかん　ソーダ割り（クラフトジン）",14.89%,850,7,5950,0,0,5,4250
"ウィスキー・ジン・リキュール","(未分類)","ゆず山椒　トニック割り（クラフトリキュール）",2.50%,1000,1,1000,0,0,1,1000
"お茶割り","(未分類)","ジャスミン茶割り",17.81%,650,3,1950,0,0,3,1950
"お茶割り","(未分類)","宝山玉茜×知覧にっぽん紅茶",16.44%,900,2,1800,2,1800,0,0
"お茶割り","(未分類)","とうもろこしひげ茶割り",14.61%,800,2,1600,0,0,2,1600
"お茶割り","(未分類)","濃い緑茶割り",12.42%,680,2,1360,0,0,2,1360
"お茶割り","(未分類)","黒烏龍茶割り",12.42%,680,2,1360,0,0,2,1360
"お茶割り","(未分類)","ROKU×無糖紅茶",7.31%,800,1,800,0,0,0,0
"お茶割り","(未分類)","知覧にっぽん紅茶割り（加糖）",6.85%,750,1,750,0,0,1,750
"お茶割り","(未分類)","（酒！）黒烏龍茶割り",6.21%,680,1,680,0,0,0,0
"お茶割り","(未分類)","茉莉花（お茶酒） ×ジャスミン茶",5.94%,650,1,650,0,0,1,650
"コース・プラン","(未分類)","別天地コース",51.58%,4900,6,29400,6,29400,0,0
"コース・プラン","(未分類)","【Aコース】",26.32%,5000,3,15000,3,15000,0,0
"コース・プラン","(未分類)","【Bコース】",11.58%,6600,1,6600,1,6600,0,0
"コース・プラン","(未分類)","コース用飲み放題",10.53%,1000,6,6000,6,6000,0,0
"サービス","(未分類)","プレート",100.00%,3000,2,6000,0,0,2,6000
"サービス","(未分類)","お冷",0.00%,0,40,0,0,0,35,0
"サービス","(未分類)","お箸",0.00%,0,2,0,0,0,2,0
"サービス","(未分類)","取り皿",0.00%,0,4,0,0,0,4,0
"サワー","(未分類)","別天地瀬戸内レモンサワー",54.16%,814,22,17920,1,700,14,11480
"サワー","(未分類)","別天地すだちサワー",28.71%,862,11,9500,1,700,10,8800
"サワー","(未分類)","別天地シークワーサーサワー",17.14%,808,7,5670,1,750,4,3280
"しゃぶしゃぶ","(未分類)","黒毛和牛のしゃぶしゃぶ（1人前）",69.72%,4781,34,157500,0,0,19,90000
"しゃぶしゃぶ","(未分類)","追加　黒毛和牛（大２枚）",27.89%,3000,21,63000,0,0,15,45000
"しゃぶしゃぶ","(未分類)","追加　野菜＆きのこ",2.39%,1800,3,5400,0,0,1,1800
"しゃぶしゃぶセット","(未分類)","★しゃぶしゃぶセット 5480",0.00%,0,54,0,0,0,46,0
"ソフトドリンク","(未分類)","黒烏龍茶",14.89%,530,14,7420,0,0,8,4240
"ソフトドリンク","(未分類)","濃い緑茶",12.76%,530,12,6360,0,0,12,6360
"ソフトドリンク","(未分類)","加賀棒ほうじ茶",12.04%,600,10,6000,0,0,10,6000
"ソフトドリンク","(未分類)","甘口　ウィルキンソンジンジャーエール瓶",10.43%,520,10,5200,5,2700,5,2500
"ソフトドリンク","(未分類)","辛口　ウィルキンソンジンジャーエール瓶",10.03%,500,10,5000,0,0,9,4500
"ソフトドリンク","(未分類)","とうもろこしひげ茶",8.85%,630,7,4410,0,0,3,1890
"ソフトドリンク","(未分類)","コカ・コーラ　瓶",7.83%,557,7,3900,1,600,6,3300
"ソフトドリンク","(未分類)","ジャスミン茶",7.83%,550,7,3900,4,2400,1,500
"ソフトドリンク","(未分類)","コカ・コーラジュガーゼロ　瓶",5.52%,550,5,2750,0,0,1,550
"ソフトドリンク","(未分類)","宇治抹茶",4.21%,700,3,2100,0,0,3,2100
"ソフトドリンク","(未分類)","知覧にっぽん紅茶（加糖）",3.61%,600,3,1800,0,0,3,1800
"ソフトドリンク","(未分類)","無糖紅茶",2.01%,500,2,1000,0,0,2,1000
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","ゆず山椒　ソーダ割り（クラフトリキュール）",20.58%,900,22,19800,1,900,20,18000
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","ニッカフロンティア",14.86%,718,20,14300,4,2720,9,6820
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","知多",14.55%,1000,14,14000,0,0,14,14000
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","白州",14.45%,1733,8,13900,0,0,8,13900
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","山崎",5.30%,1700,3,5100,0,0,3,5100
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","山崎12年",5.20%,2500,2,5000,0,0,2,5000
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","ROKU　ソーダ割り（クラフトジン）",4.99%,800,6,4800,0,0,6,4800
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","Maker's Mark",4.99%,800,6,4800,0,0,2,1600
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","チルグリーン/スパイシー＆シトラス　ソーダ割り",4.68%,750,6,4500,0,0,6,4500
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","碧",4.01%,965,4,3860,0,0,4,3860
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","チルグリーン/ビター＆トロピカル　ソーダ割り",2.34%,750,3,2250,1,750,2,1500
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","響",2.18%,2100,1,2100,0,0,1,2100
"ハイボール・ジンハイ・ジャパニーズウィスキー","(未分類)","日置（クラフトウィスキー）",1.87%,900,2,1800,0,0,2,1800
"ビール・ノンアルコール","(未分類)","アサヒスーパードライ（生ビール）",78.43%,748,233,174050,14,9800,197,147750
"ビール・ノンアルコール","(未分類)","赤星（サッポロラガー） 中瓶",10.88%,1150,21,24150,0,0,17,19550
"ビール・ノンアルコール","(未分類)","ハートランド 中瓶",8.65%,1200,16,19200,0,0,11,13200
"ビール・ノンアルコール","(未分類)","アサヒドライZERO小瓶（ノンアルコール）",2.04%,664,7,4520,3,1800,3,2040
"プレ","(未分類)","本日の魚",0.00%,0,16,0,16,0,0,0
"プレ","(未分類)","和牛ユッケ風",0.00%,0,16,0,16,0,0,0
"プレ","(未分類)","牛ヒレカツサンド",0.00%,0,3,0,3,0,0,0
"プレ","(未分類)","黒毛和牛のすき焼き",0.00%,0,3,0,3,0,0,0
"プレ","(未分類)","八寸 前菜おまかせ盛合せ (1人前)",0.00%,0,19,0,19,0,0,0
"プレ","(未分類)","金目鯛の煮付け",0.00%,0,3,0,3,0,0,0
"プレ","(未分類)","名物 和牛イチボユッケ風",0.00%,0,3,0,3,0,0,0
"プレ","(未分類)","カニほぐし　太もずく",0.00%,0,3,0,3,0,0,0
"プレ","(未分類)","季節の土鍋ご飯",0.00%,0,3,0,3,0,0,0
"プレ","(未分類)","からすみ蕎麦",0.00%,0,16,0,16,0,0,0
"プレ","(未分類)","黒毛和牛のしゃぶしゃぶ",0.00%,0,16,0,16,0,0,0
