年月,平均,標準偏差,営業日数,年月_str
2024-01,75.15789473684211,39.238959038597706,19,2024-01
2024-02,56.827586206896555,24.062521191852998,29,2024-02
2024-03,43.774193548387096,17.706325945678955,31,2024-03
2024-04,53.93333333333333,17.391899290173576,30,2024-04
2024-05,54.32258064516129,22.326945001909234,31,2024-05
2024-06,55.7,27.08244118778171,30,2024-06
2024-07,60.61290322580645,20.719841407621566,31,2024-07
2024-08,54.483870967741936,25.54195368113924,31,2024-08
2024-09,53.93333333333333,23.60732401451797,30,2024-09
2024-10,53.774193548387096,21.420721552458424,31,2024-10
2024-11,46.7,15.21149746646969,30,2024-11
2024-12,41.2,14.937571237746738,30,2024-12
2025-01,39.23076923076923,12.365460581175913,26,2025-01
2025-02,35.370370370370374,16.820656138643134,27,2025-02
2025-03,2.0,,1,2025-03
2025-04,93.43333333333334,20.532032724893362,30,2025-04
2025-05,71.25806451612904,19.297612532703766,31,2025-05
2025-06,65.875,18.23213411221282,8,2025-06
2025-07,65.2,23.399675800878246,30,2025-07
2025-08,55.38709677419355,21.416002458216205,31,2025-08
2025-09,61.09090909090909,14.902569579994587,22,2025-09
2025-10,65.96774193548387,18.58580797448731,31,2025-10
2025-11,62.96666666666667,20.175921691262435,30,2025-11
2025-12,66.36363636363636,16.845362381564655,22,2025-12
2026-01,59.1875,13.41252524073425,16,2026-01
