month,category,customers,sales_total,items_total,sales_per_customer,items_per_customer,avg_price_per_item
2024-01,麺,3973.0,3622120.0,4025,911.68,1.0131,899.91
2024-01,しるそば,3973.0,0.0,18,0.0,0.0045,0.0
2024-01,ごちめし,3973.0,116760.0,874,29.39,0.22,133.59
2024-01,TOドリンク,3973.0,87770.0,213,22.09,0.0536,412.07
2024-01,無料,3973.0,0.0,93,0.0,0.0234,0.0
2024-01,TOトッピング,3973.0,126340.0,827,31.8,0.2082,152.77
2024-01,持ち帰り容器,3973.0,28.0,4,0.01,0.001,7.0
2024-02,麺,4212.0,2928950.0,2925,695.38,0.6944,1001.35
2024-02,ごちめし,4212.0,81300.0,554,19.3,0.1315,146.75
2024-02,TOトッピング,4212.0,180700.0,983,42.9,0.2334,183.83
2024-02,無料,4212.0,0.0,125,0.0,0.0297,0.0
2024-02,TOドリンク,4212.0,88780.0,223,21.08,0.0529,398.12
2024-02,持ち帰り容器,4212.0,56.0,2,0.01,0.0005,28.0
2024-02,しるそば,4212.0,1166600.0,1321,276.97,0.3136,883.12
2024-03,麺,3806.0,2747430.0,2690,721.87,0.7068,1021.35
2024-03,TOトッピング,3806.0,160860.0,796,42.26,0.2091,202.09
2024-03,TOドリンク,3806.0,165860.0,384,43.58,0.1009,431.93
2024-03,ごちめし,3806.0,64320.0,452,16.9,0.1188,142.3
2024-03,しるそば,3806.0,1022700.0,1090,268.71,0.2864,938.26
2024-03,無料,3806.0,0.0,82,0.0,0.0215,0.0
2024-03,持ち帰り容器,3806.0,28.0,1,0.01,0.0003,28.0
2024-04,麺,4493.0,3201320.0,3764,712.51,0.8377,850.51
2024-04,TOトッピング,4493.0,168310.0,934,37.46,0.2079,180.2
2024-04,無料,4493.0,0.0,257,0.0,0.0572,0.0
2024-04,しるそば,4493.0,951900.0,1016,211.86,0.2261,936.91
2024-04,ごちめし,4493.0,98860.0,677,22.0,0.1507,146.03
2024-04,TOドリンク,4493.0,206930.0,438,46.06,0.0975,472.44
2024-04,持ち帰り容器,4493.0,56.0,2,0.01,0.0004,28.0
2024-05,しるそば,4738.0,1005650.0,1073,212.25,0.2265,937.23
2024-05,麺,4738.0,3393130.0,4043,716.15,0.8533,839.26
2024-05,無料,4738.0,0.0,390,0.0,0.0823,0.0
2024-05,TOトッピング,4738.0,161820.0,901,34.15,0.1902,179.6
2024-05,ごちめし,4738.0,94000.0,667,19.84,0.1408,140.93
2024-05,TOドリンク,4738.0,223600.0,516,47.19,0.1089,433.33
2024-05,持ち帰り容器,4738.0,28.0,1,0.01,0.0002,28.0
2024-06,TOトッピング,4153.0,142260.0,740,34.25,0.1782,192.24
2024-06,麺,4153.0,3714140.0,4302,894.33,1.0359,863.35
2024-06,無料,4153.0,0.0,347,0.0,0.0836,0.0
2024-06,ごちめし,4153.0,84580.0,587,20.37,0.1413,144.09
2024-06,しるそば,4153.0,180900.0,191,43.56,0.046,947.12
2024-06,TOドリンク,4153.0,195920.0,466,47.18,0.1122,420.43
2024-07,麺,5076.0,4025060.0,4671,792.96,0.9202,861.71
2024-07,無料,5076.0,0.0,403,0.0,0.0794,0.0
2024-07,TOトッピング,5076.0,157900.0,855,31.11,0.1684,184.68
2024-07,ごちめし,5076.0,104980.0,722,20.68,0.1422,145.4
2024-07,しるそば,5076.0,692800.0,750,136.49,0.1478,923.73
