month_num,category,delta_sales_per_customer,volume_effect,price_effect,sales_per_customer_2024,sales_per_customer_2025
1,麺,256.08,-19.6,275.62,911.68,1167.76
1,無料,0.0,-0.0,0.0,0.0,0.0
1,しるそば,0.0,-0.0,0.0,0.0,0.0
1,TOトッピング,-0.32,7.5,-7.83,31.8,31.48
1,TOドリンク,10.16,10.52,-0.34,22.09,32.25
1,ごちめし,-4.41,-7.6,3.19,29.39,24.98
1,持ち帰り容器,-0.01,-0.0,-0.0,0.01,0.0
2,麺,524.76,339.17,185.65,695.38,1220.14
2,無料,0.0,-0.0,0.0,0.0,0.0
2,しるそば,-276.97,-138.47,-138.47,276.97,0.0
2,TOトッピング,-12.82,0.36,-13.19,42.9,30.08
2,TOドリンク,25.13,24.28,0.88,21.08,46.21
2,ごちめし,0.21,-0.68,0.88,19.3,19.51
2,その他,0.31,0.16,0.16,0.0,0.31
2,持ち帰り容器,-0.01,-0.01,-0.01,0.01,0.0
3,無料,0.0,-0.0,0.0,0.0,0.0
3,ソフトドリンク,0.0,0.0,0.0,0.0,0.0
3,しるそば,-268.71,-134.36,-134.36,268.71,0.0
3,定食,0.0,0.0,0.0,0.0,0.0
3,単品,0.0,0.0,0.0,0.0,0.0
3,期間限定フェア,0.0,0.0,0.0,0.0,0.0
3,OPEN,0.0,0.0,0.0,0.0,0.0
3,トッピング,0.0,0.0,0.0,0.0,0.0
3,TOトッピング,-42.26,12.55,-54.81,42.26,0.0
3,ごちめし,-16.9,-8.45,-8.45,16.9,0.0
3,セット,0.0,0.0,0.0,0.0,0.0
3,アラカルト,0.0,0.0,0.0,0.0,0.0
3,持ち帰り容器,-0.01,-0.0,-0.0,0.01,0.0
3,麺,-721.87,-360.95,-360.95,721.87,0.0
3,追い肉,0.0,0.0,0.0,0.0,0.0
3,TOドリンク,-43.58,-21.79,-21.79,43.58,0.0
3,アルコール,0.0,0.0,0.0,0.0,0.0
4,無料,0.0,-0.0,0.0,0.0,0.0
4,ソフトドリンク,2.57,1.29,1.29,0.0,2.57
4,しるそば,-211.86,-105.92,-105.92,211.86,0.0
4,定食,1063.47,531.75,531.75,0.0,1063.47
4,単品,3.57,1.78,1.78,0.0,3.57
4,OPEN,212.16,106.06,106.06,0.0,212.16
4,トッピング,7.21,3.6,3.6,0.0,7.21
4,TOトッピング,-37.4,-22.37,-15.03,37.46,0.06
4,ごちめし,-22.0,-11.0,-11.0,22.0,0.0
4,その他,0.46,0.22,0.22,0.0,0.46
4,セット,11.01,5.51,5.51,0.0,11.01
4,アラカルト,41.12,20.56,20.56,0.0,41.12
4,持ち帰り容器,-0.01,-0.01,-0.01,0.01,0.0
4,麺,-712.51,-356.24,-356.24,712.51,0.0
4,追い肉,8.93,4.46,4.46,0.0,8.93
4,TOドリンク,-46.06,-23.03,-23.03,46.06,0.0
4,アルコール,64.41,32.2,32.2,0.0,64.41
5,無料,0.0,-0.0,0.0,0.0,0.0
5,ソフトドリンク,1.75,0.88,0.88,0.0,1.75
5,しるそば,-212.25,-106.14,-106.14,212.25,0.0
5,定食,1231.43,615.74,615.74,0.0,1231.43
5,単品,3.75,1.88,1.88,0.0,3.75
5,期間限定フェア,104.6,52.31,52.31,0.0,104.6
5,トッピング,6.83,3.42,3.42,0.0,6.83
5,TOトッピング,-33.26,-44.46,11.19,34.15,0.89
5,ごちめし,-19.84,-9.92,-9.92,19.84,0.0
5,その他,1.43,0.71,0.71,0.0,1.43
5,セット,12.95,6.47,6.47,0.0,12.95
5,アラカルト,44.16,22.08,22.08,0.0,44.16
5,持ち帰り容器,-0.01,-0.0,-0.0,0.01,0.0
5,麺,-716.15,-358.07,-358.07,716.15,0.0
5,追い肉,16.88,8.45,8.45,0.0,16.88
5,TOドリンク,-45.76,-66.04,20.3,47.19,1.43
5,アルコール,72.07,36.04,36.04,0.0,72.07
6,無料,0.0,-0.0,0.0,0.0,0.0
6,ソフトドリンク,1.68,0.84,0.84,0.0,1.68
6,しるそば,-43.56,-21.78,-21.78,43.56,0.0
6,定食,1347.78,673.91,673.91,0.0,1347.78
6,単品,2.75,1.37,1.37,0.0,2.75
6,トッピング,6.79,3.39,3.39,0.0,6.79
6,TOトッピング,-32.82,-53.95,21.13,34.25,1.43
6,ごちめし,-20.37,-10.18,-10.18,20.37,0.0
6,その他,1.48,0.74,0.74,0.0,1.48
6,セット,13.71,6.86,6.86,0.0,13.71
6,アラカルト,50.24,25.13,25.13,0.0,50.24
6,麺,-894.33,-447.17,-447.17,894.33,0.0
6,追い肉,22.77,11.39,11.39,0.0,22.77
6,TOドリンク,-44.49,-66.39,21.94,47.18,2.69
6,アルコール,63.83,31.91,31.91,0.0,63.83
7,無料,0.0,-0.0,0.0,0.0,0.0
7,ソフトドリンク,4.86,2.43,2.43,0.0,4.86
7,しるそば,-136.49,-68.26,-68.26,136.49,0.0
7,定食,1266.54,633.26,633.26,0.0,1266.54
7,単品,3.5,1.75,1.75,0.0,3.5
7,期間限定フェア,66.55,33.27,33.27,0.0,66.55
7,トッピング,9.42,4.71,4.71,0.0,9.42
7,TOトッピング,-14.56,-1.3,-13.25,31.11,16.55
7,ごちめし,-20.68,-10.34,-10.34,20.68,0.0
7,その他,0.96,0.48,0.48,0.0,0.96
7,セット,13.13,6.56,6.56,0.0,13.13
7,アラカルト,46.22,23.11,23.11,0.0,46.22
7,麺,-792.96,-396.47,-396.47,792.96,0.0
7,追い肉,16.41,8.2,8.2,0.0,16.41
7,TOドリンク,-41.69,-62.14,20.44,42.92,1.23
7,かき氷,-18.91,-9.46,-9.46,18.91,0.0
7,アルコール,59.07,29.53,29.53,0.0,59.07
8,無料,0.0,-0.0,0.0,0.0,0.0
8,ソフトドリンク,6.85,3.42,3.42,0.0,6.85
8,しるそば,-123.82,-61.9,-61.9,123.82,0.0
8,定食,1318.18,659.08,659.08,0.0,1318.18
8,単品,3.72,1.86,1.86,0.0,3.72
8,期間限定フェア,31.73,15.88,15.88,0.0,31.73
8,トッピング,10.13,5.07,5.07,0.0,10.13
8,TOトッピング,-26.99,-39.13,12.16,31.33,4.34
8,ごちめし,-27.37,-13.68,-13.68,27.37,0.0
8,その他,0.28,0.14,0.14,0.0,0.28
8,セット,12.88,6.44,6.44,0.0,12.88
8,アラカルト,69.59,34.8,34.8,0.0,69.59
8,麺,-794.16,-397.07,-397.07,794.16,0.0
8,追い肉,10.1,5.05,5.05,0.0,10.1
8,TOドリンク,-34.29,-50.78,16.49,35.09,0.8
8,かき氷,-35.54,-17.78,-17.78,35.54,0.0
8,アルコール,73.42,36.72,36.72,0.0,73.42
9,無料,0.0,-0.0,0.0,0.0,0.0
9,ソフトドリンク,3.5,1.75,1.75,0.0,3.5
9,しるそば,-140.63,-70.31,-70.31,140.63,0.0
9,定食,1234.49,617.25,617.25,0.0,1234.49
9,単品,3.49,1.75,1.75,0.0,3.49
9,期間限定フェア,102.44,51.25,51.25,0.0,102.44
9,トッピング,9.19,4.59,4.59,0.0,9.19
9,TOトッピング,-27.6,-42.69,15.1,30.07,2.47
9,ごちめし,-29.89,-14.95,-14.95,29.89,0.0
9,その他,2.85,1.42,1.42,0.0,2.85
9,セット,18.65,9.32,9.32,0.0,18.65
9,アラカルト,69.49,34.75,34.75,0.0,69.49
9,麺,-786.25,-393.12,-393.12,786.25,0.0
9,追い肉,10.81,5.41,5.41,0.0,10.81
9,TOドリンク,-40.32,-60.95,20.65,41.27,0.95
9,かき氷,-18.01,-8.99,-8.99,18.01,0.0
9,アルコール,83.42,41.72,41.72,0.0,83.42
10,無料,0.0,-0.0,0.0,0.0,0.0
10,ソフトドリンク,3.14,1.57,1.57,0.0,3.14
10,しるそば,-159.41,-79.7,-79.7,159.41,0.0
10,定食,1222.25,611.14,611.14,0.0,1222.25
10,単品,2.58,1.29,1.29,0.0,2.58
10,期間限定フェア,145.67,72.85,72.85,0.0,145.67
10,トッピング,9.24,4.62,4.62,0.0,9.24
10,TOトッピング,-32.18,-52.24,20.05,35.45,3.27
10,ごちめし,-33.31,-16.65,-16.65,33.31,0.0
10,その他,1.7,0.85,0.85,0.0,1.7
10,セット,22.32,11.16,11.16,0.0,22.32
10,アラカルト,52.73,26.38,26.38,0.0,52.73
10,持ち帰り容器,-0.01,-0.0,-0.0,0.01,0.0
10,麺,-798.93,-399.46,-399.46,798.93,0.0
10,追い肉,9.98,4.99,4.99,0.0,9.98
10,TOドリンク,-49.73,-70.11,20.41,51.06,1.33
10,アルコール,64.23,32.11,32.11,0.0,64.23
11,無料,0.0,-0.0,0.0,0.0,0.0
11,ソフトドリンク,2.68,1.34,1.34,0.0,2.68
11,しるそば,-54.43,-27.22,-27.22,54.43,0.0
11,定食,1150.07,575.01,575.01,0.0,1150.07
11,単品,19.78,9.89,9.89,0.0,19.78
11,期間限定フェア,247.09,123.52,123.52,0.0,247.09
11,トッピング,9.96,4.98,4.98,0.0,9.96
11,TOトッピング,-31.44,-63.99,32.57,34.02,2.58
11,ごちめし,-30.45,-15.23,-15.23,30.45,0.0
11,その他,0.44,0.22,0.22,0.0,0.44
11,セット,21.98,10.99,10.99,0.0,21.98
11,アラカルト,56.79,28.4,28.4,0.0,56.79
11,麺,-1062.1,-531.07,-531.07,1062.1,0.0
11,追い肉,9.97,4.99,4.99,0.0,9.97
