month,customers,sales_total,avg_spend_per_customer
2024-01,3973.0,4376573.0,1101.58
2024-02,4212.0,4914543.0,1166.8
2024-03,3806.0,4589880.0,1205.96
2024-04,4493.0,5112607.0,1137.9
2024-05,4738.0,5395860.0,1138.85
2024-06,4153.0,4789857.0,1153.35
2024-07,5076.0,5857400.0,1153.94
2024-08,4727.0,5466685.0,1156.48
2024-09,4443.0,5142135.0,1157.36
2024-10,4663.0,5577417.0,1196.1
2024-11,3859.0,5217672.0,1352.08
2024-12,3231.0,4619493.0,1429.74
2025-01,2776.0,3847544.0,1386.0
2025-02,3228.0,4688578.0,1452.47
2025-03,12.0,0.0,0.0
2025-04,9443.0,14795601.0,1566.83
2025-05,7280.0,12038196.0,1653.6
2025-06,1783.0,2985389.0,1674.36
2025-07,6498.0,10804203.0,1662.7
2025-08,6030.0,10283309.0,1705.36
2025-09,4229.0,7203290.0,1703.31
2025-10,6611.0,11221670.0,1697.42
2025-11,6316.0,11130053.0,1762.2
2025-12,4384.0,8324337.0,1898.8
2026-01,3142.0,5456266.0,1736.56
