月,時間グループ,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間順
1,11時前,18.0,6.555555555555555,,,,0
1,11時台,19.0,26.894736842105264,26.0,9.26923076923077,-17.625506072874494,1
1,12時台,19.0,38.578947368421055,26.0,24.346153846153847,-14.232793522267208,2
1,13時台,20.0,29.3,26.0,14.461538461538462,-14.838461538461539,3
1,14時台,20.0,18.15,26.0,7.8076923076923075,-10.342307692307692,4
1,15時台,17.0,12.352941176470589,25.0,4.72,-7.632941176470589,5
1,16時台,19.0,9.947368421052632,24.0,3.7916666666666665,-6.155701754385966,6
1,17時台,17.0,10.588235294117647,20.0,4.95,-5.638235294117647,7
1,18時台,18.0,14.722222222222221,26.0,5.653846153846154,-9.068376068376068,8
1,19時台,18.0,18.555555555555557,26.0,9.73076923076923,-8.824786324786327,9
1,20時台,16.0,16.375,26.0,9.461538461538462,-6.913461538461538,10
1,21時台,16.0,13.5,25.0,9.56,-3.9399999999999995,11
1,22時以降,3.0,2.0,20.0,6.5,4.5,12
2,11時前,27.0,4.888888888888889,,,,0
2,11時台,29.0,18.82758620689655,27.0,11.592592592592593,-7.234993614303958,1
2,12時台,29.0,30.517241379310345,27.0,21.14814814814815,-9.369093231162196,2
2,13時台,29.0,19.896551724137932,27.0,13.555555555555555,-6.340996168582377,3
2,14時台,29.0,11.827586206896552,27.0,8.555555555555555,-3.2720306513409962,4
2,15時台,29.0,6.931034482758621,24.0,5.958333333333333,-0.972701149425288,5
2,16時台,26.0,5.0,26.0,4.653846153846154,-0.3461538461538458,6
2,17時台,28.0,5.928571428571429,25.0,5.72,-0.20857142857142907,7
2,18時台,28.0,12.5,27.0,8.148148148148149,-4.351851851851851,8
2,19時台,28.0,11.5,27.0,10.518518518518519,-0.981481481481481,9
2,20時台,28.0,11.285714285714286,26.0,13.461538461538462,2.175824175824175,10
2,21時台,28.0,8.607142857142858,27.0,10.814814814814815,2.2076719576719572,11
2,22時以降,2.0,1.5,21.0,9.238095238095237,7.738095238095237,12
3,11時台,31.0,11.806451612903226,,,,1
3,12時台,31.0,27.06451612903226,,,,2
3,13時台,31.0,13.96774193548387,2.0,3.5,-10.46774193548387,3
3,14時台,31.0,8.419354838709678,,,,4
3,15時台,31.0,4.838709677419355,,,,5
3,16時台,29.0,3.586206896551724,,,,6
3,17時台,29.0,4.724137931034483,,,,7
3,18時台,30.0,9.066666666666666,1.0,5.0,-4.066666666666666,8
3,19時台,31.0,13.32258064516129,,,,9
3,20時台,31.0,11.419354838709678,,,,10
3,21時台,31.0,9.451612903225806,,,,11
3,22時以降,26.0,7.076923076923077,,,,12
4,11時前,1.0,3.0,1.0,2.0,-1.0,0
4,11時台,30.0,15.633333333333333,30.0,41.03333333333333,25.4,1
4,12時台,30.0,32.03333333333333,30.0,44.8,12.766666666666666,2
4,13時台,30.0,17.533333333333335,30.0,37.93333333333333,20.399999999999995,3
4,14時台,30.0,10.8,30.0,25.066666666666666,14.266666666666666,4
4,15時台,29.0,6.448275862068965,30.0,17.0,10.551724137931036,5
4,16時台,29.0,4.206896551724138,30.0,13.366666666666667,9.159770114942528,6
4,17時台,28.0,5.607142857142857,30.0,16.666666666666668,11.05952380952381,7
4,18時台,29.0,10.551724137931034,30.0,30.3,19.748275862068965,8
4,19時台,30.0,16.266666666666666,30.0,38.36666666666667,22.1,9
4,20時台,30.0,13.933333333333334,30.0,32.333333333333336,18.400000000000002,10
4,21時台,30.0,10.9,30.0,17.833333333333332,6.933333333333332,11
4,22時以降,28.0,7.321428571428571,,,,12
5,11時台,31.0,16.096774193548388,31.0,27.741935483870968,11.64516129032258,1
5,12時台,31.0,30.64516129032258,31.0,36.67741935483871,6.032258064516132,2
