date,daypart,total_sales,total_customers,slip_count,avg_unit_price,avg_customers_per_slip,alcohol_ratio,topping_ratio,soft_drink_ratio,unique_products,items_per_slip,peak_concentration,weekday,weekday_name,is_weekend,sales_category
2026-01-05,Lunch,165160,121,78,1364.9586776859503,1.5512820512820513,0.015015742310486802,0.001210946960523129,0.004722693146040203,27,1.7692307692307692,0.39252845725357227,0,Monday,0,Middle
2026-01-06,Lunch,170660,118,91,1446.2711864406779,1.2967032967032968,0.005273643501699285,0.004101722723543888,0.00685573655220907,35,1.6923076923076923,0.3751318410875425,1,Tuesday,0,Middle
2026-01-07,Lunch,157730,105,80,1502.1904761904761,1.3125,0.03017815253914918,0.0006339948012426298,0.0016483864832308375,45,1.8125,0.2672288087237685,2,Wednesday,0,Middle
2026-01-08,Lunch,179720,119,98,1510.2521008403362,1.2142857142857142,0.010015579790785666,0.0005564210994880925,0.0,28,1.510204081632653,0.29290006677053193,3,Thursday,0,Middle
2026-01-09,Lunch,163720,108,101,1515.9259259259259,1.0693069306930694,0.013559736134864402,0.0,0.002382115807476179,35,1.3663366336633664,0.31004153432689957,4,Friday,0,Middle
2026-01-10,Lunch,170780,109,83,1566.788990825688,1.3132530120481927,0.03413748682515517,0.005269937931842136,0.012940625365967911,44,1.963855421686747,0.27269001053987585,5,Saturday,1,Middle
2026-01-11,Lunch,112100,70,54,1601.4285714285713,1.2962962962962963,0.018108831400535236,0.0044603033006244425,0.017395182872435324,36,2.0,0.23336306868867082,6,Sunday,1,Low
2026-01-12,Lunch,124090,76,50,1632.7631578947369,1.52,0.01748730759932307,0.006446933677169796,0.017809654283181563,39,2.42,0.1295833669111129,0,Monday,0,Low
2026-01-13,Lunch,114510,76,64,1506.7105263157894,1.1875,0.029080429656798534,0.0017465723517596716,0.0056763601432189325,32,1.484375,0.2239105754955899,1,Tuesday,0,Low
2026-01-14,Lunch,140840,94,75,1498.2978723404256,1.2533333333333334,0.009869355296790684,0.0035501278046009654,0.005538199375177506,35,1.6666666666666667,0.44270093723374043,2,Wednesday,0,Middle
2026-01-15,Lunch,143270,98,80,1461.938775510204,1.225,0.015006630836881413,0.0006979828296223913,0.002722133035527326,27,1.425,0.3968730369232917,3,Thursday,0,Middle
2026-01-16,Lunch,165320,113,85,1463.0088495575221,1.3294117647058823,0.013851923542221147,0.0012097749818533753,0.007077183643842245,35,1.6705882352941177,0.3117590128236148,4,Friday,0,Middle
2026-01-17,Lunch,170420,105,77,1623.047619047619,1.3636363636363635,0.03409224269451942,0.006454641474005399,0.01601924656730431,40,2.142857142857143,0.15590893087665766,5,Saturday,1,Middle
2026-01-18,Lunch,155700,103,72,1511.6504854368932,1.4305555555555556,0.008927424534360951,0.002569043031470777,0.015028901734104046,44,1.9861111111111112,0.26242774566473986,6,Sunday,1,Middle
2026-01-19,Lunch,162670,103,84,1579.3203883495146,1.2261904761904763,0.01954877973812012,0.0018442245035962378,0.003196655806233479,34,1.6785714285714286,0.301961025388824,0,Monday,0,Middle
2026-01-20,Lunch,126380,89,71,1420.0,1.2535211267605635,0.015350530147175186,0.0023737933217281215,0.005143218863744263,34,1.647887323943662,0.37181516062668146,1,Tuesday,0,Low
2025-10-01,Lunch,164770,113,84,1458.141592920354,1.3452380952380953,0.004855252776597682,0.0018207197912241306,0.0,38,1.7619047619047619,0.2902834253808339,2,Wednesday,0,Middle
2025-10-02,Lunch,168710,115,98,1467.0434782608695,1.1734693877551021,0.012743761484203663,0.004149131646019797,0.0014818327307213562,37,1.5408163265306123,0.4110011261928753,3,Thursday,0,Middle
2025-10-03,Lunch,188790,131,100,1441.145038167939,1.31,0.019386620054028286,0.002118756290057736,0.0,39,1.62,0.3920758514751841,4,Friday,0,High
2025-10-04,Lunch,131710,86,67,1531.5116279069769,1.2835820895522387,0.04616202262546504,0.010629413104547871,0.0,47,2.1492537313432836,0.19725153746868118,5,Saturday,1,Low
2025-10-05,Lunch,109370,73,58,1498.2191780821918,1.2586206896551724,0.013623479930511108,0.007314620096918716,0.0,36,1.8275862068965518,0.31644875194294597,6,Sunday,1,Low
2025-10-06,Lunch,140740,102,85,1379.8039215686274,1.2,0.007389512576381981,0.0071053005542134435,0.0017763251385533609,38,1.588235294117647,0.37693619440102316,0,Monday,0,Middle
2025-10-07,Lunch,181320,122,106,1486.2295081967213,1.150943396226415,0.019247738804323847,0.00827266710787558,0.0,40,1.6320754716981132,0.28088462386940216,1,Tuesday,0,Middle
2025-10-08,Lunch,149200,102,95,1462.7450980392157,1.0736842105263158,0.011327077747989276,0.002680965147453083,0.001675603217158177,33,1.3473684210526315,0.2703083109919571,2,Wednesday,0,Middle
2025-10-09,Lunch,206890,149,127,1388.523489932886,1.1732283464566928,0.002851756972304123,0.0038667891149886413,0.0,37,1.4881889763779528,0.3353956208613273,3,Thursday,0,High
2025-10-10,Lunch,155790,109,91,1429.2660550458716,1.1978021978021978,0.008665511265164644,0.005777007510109763,0.0,38,1.5494505494505495,0.2747288015918865,4,Friday,0,Middle
2025-10-11,Lunch,103530,65,56,1592.7692307692307,1.1607142857142858,0.031681638172510386,0.008693132425383946,0.0024147590070510965,37,1.8571428571428572,0.26881097266492804,5,Saturday,1,Low
2025-10-12,Lunch,124260,80,57,1553.25,1.4035087719298245,0.02993722839208112,0.008852406244970223,0.0,38,2.3333333333333335,0.22082729760180267,6,Sunday,1,Low
2025-10-13,Lunch,122750,79,60,1553.7974683544303,1.3166666666666667,0.026232179226069248,0.007331975560081467,0.002036659877800407,45,2.1666666666666665,0.2640325865580448,0,Monday,0,Low
2025-10-14,Lunch,164490,115,91,1430.3478260869565,1.2637362637362637,0.005714633108395647,0.0024317587695300625,0.0,35,1.5274725274725274,0.3059152532068819,1,Tuesday,0,Middle
2025-10-15,Lunch,175720,124,97,1417.0967741935483,1.2783505154639174,0.007682676986114273,0.002845435920783064,0.0,46,1.7525773195876289,0.2490894605053494,2,Wednesday,0,Middle
2025-10-16,Lunch,152440,106,93,1438.1132075471698,1.1397849462365592,0.01771188664392548,0.005247966413014957,0.0,36,1.5483870967741935,0.3437418000524797,3,Thursday,0,Middle
2025-10-17,Lunch,197050,142,118,1387.6760563380283,1.2033898305084745,0.005836082212636387,0.0030449124587668104,0.0038061405734585133,43,1.5169491525423728,0.31545293072824154,4,Friday,0,High
2025-10-18,Lunch,126940,83,66,1529.3975903614457,1.2575757575757576,0.043091224200409645,0.005514416259650229,0.0,44,1.9393939393939394,0.1786670868126674,5,Saturday,1,Low
2025-10-19,Lunch,113580,73,58,1555.890410958904,1.2586206896551724,0.0612783940834654,0.00792393026941363,0.0,41,2.1379310344827585,0.3599225215706991,6,Sunday,1,Low
2025-10-20,Lunch,149130,108,86,1380.8333333333333,1.255813953488372,0.014685174009253671,0.0020116676725005027,0.0,39,1.5930232558139534,0.3189163816804131,0,Monday,0,Middle
2025-10-21,Lunch,160610,113,96,1421.3274336283187,1.1770833333333333,0.0028018180686134116,0.007471514849635764,0.004669696781022352,41,1.6145833333333333,0.35545731897142147,1,Tuesday,0,Middle
2025-10-22,Lunch,153110,104,89,1472.2115384615386,1.1685393258426966,0.011756253673829273,0.001959375612304879,0.0,38,1.550561797752809,0.38828293383841683,2,Wednesday,0,Middle
2025-10-23,Lunch,144930,106,85,1367.2641509433963,1.2470588235294118,0.01876768094942386,0.004484923756296143,0.0,37,1.6352941176470588,0.3861864348306079,3,Thursday,0,Middle
2025-10-24,Lunch,192590,130,96,1481.4615384615386,1.3541666666666667,0.008775118126590166,0.003894283192273742,0.0,41,1.8229166666666667,0.3420738356093255,4,Friday,0,High
2025-10-25,Lunch,167170,111,87,1506.036036036036,1.2758620689655173,0.017227971525991505,0.005383741101872346,0.0014954836394089849,50,1.7816091954022988,0.26631572650595203,5,Saturday,1,Middle
2025-10-26,Lunch,128070,87,67,1472.0689655172414,1.2985074626865671,0.03911923167018037,0.007027406886858749,0.0,42,1.955223880597015,0.35301007261653783,6,Sunday,1,Low
2025-10-27,Lunch,175240,123,96,1424.7154471544716,1.28125,0.014209084683862132,0.0025679068705774938,0.012839534352887469,48,1.84375,0.3222437799589135,0,Monday,0,Middle
2025-10-28,Lunch,175060,124,101,1411.774193548387,1.2277227722772277,0.018736433222895008,0.0022849308808408544,0.0014280818005255342,48,1.7623762376237624,0.3467953844396207,1,Tuesday,0,Middle
2025-10-29,Lunch,228760,164,138,1394.878048780488,1.1884057971014492,0.017354432593110685,0.0030599755201958386,0.0,43,1.536231884057971,0.27771463542577374,2,Wednesday,0,High
2025-10-30,Lunch,175860,126,93,1395.7142857142858,1.3548387096774193,0.003354941430683498,0.005686341407938132,0.0,42,1.7956989247311828,0.32264301148640967,3,Thursday,0,Middle
