date,total_sales,slip_count,total_customers,segment,period,daypart,avg_spend_per_customer,weekday,weekday_name
2025-04-01,280200,197,238,After_Lunch,After,Lunch,1177.310924369748,1,Tuesday
2025-04-02,287890,221,242,After_Lunch,After,Lunch,1189.6280991735537,2,Wednesday
2025-04-03,278120,214,239,After_Lunch,After,Lunch,1163.6820083682007,3,Thursday
2025-04-04,313270,224,272,After_Lunch,After,Lunch,1151.7279411764705,4,Friday
2025-04-05,215860,112,153,After_Lunch,After,Lunch,1410.8496732026144,5,Saturday
2025-04-06,200260,98,141,After_Lunch,After,Lunch,1420.2836879432625,6,Sunday
2025-04-07,231730,151,173,After_Lunch,After,Lunch,1339.4797687861271,0,Monday
2025-04-08,251110,156,185,After_Lunch,After,Lunch,1357.3513513513512,1,Tuesday
2025-04-09,222990,158,167,After_Lunch,After,Lunch,1335.2694610778442,2,Wednesday
2025-04-10,249910,163,182,After_Lunch,After,Lunch,1373.131868131868,3,Thursday
2025-04-11,264710,151,186,After_Lunch,After,Lunch,1423.1720430107528,4,Friday
2025-04-12,173070,94,119,After_Lunch,After,Lunch,1454.3697478991596,5,Saturday
2025-04-13,130760,62,84,After_Lunch,After,Lunch,1556.6666666666667,6,Sunday
2025-04-14,239260,145,174,After_Lunch,After,Lunch,1375.057471264368,0,Monday
2025-04-15,220740,139,163,After_Lunch,After,Lunch,1354.2331288343557,1,Tuesday
2025-04-16,236280,153,172,After_Lunch,After,Lunch,1373.7209302325582,2,Wednesday
2025-04-17,203910,132,148,After_Lunch,After,Lunch,1377.7702702702702,3,Thursday
2025-04-18,226280,138,160,After_Lunch,After,Lunch,1414.25,4,Friday
2025-04-19,220270,114,152,After_Lunch,After,Lunch,1449.1447368421052,5,Saturday
2025-04-20,178880,97,119,After_Lunch,After,Lunch,1503.1932773109243,6,Sunday
2025-04-21,190960,121,140,After_Lunch,After,Lunch,1364.0,0,Monday
2025-04-22,209710,140,153,After_Lunch,After,Lunch,1370.6535947712418,1,Tuesday
2025-04-23,181920,118,132,After_Lunch,After,Lunch,1378.1818181818182,2,Wednesday
2025-04-24,216980,147,162,After_Lunch,After,Lunch,1339.3827160493827,3,Thursday
2025-04-25,257450,155,182,After_Lunch,After,Lunch,1414.5604395604396,4,Friday
2025-04-26,228620,114,154,After_Lunch,After,Lunch,1484.5454545454545,5,Saturday
2025-04-27,180540,88,120,After_Lunch,After,Lunch,1504.5,6,Sunday
2025-04-28,226810,147,164,After_Lunch,After,Lunch,1382.9878048780488,0,Monday
2025-04-29,175680,92,117,After_Lunch,After,Lunch,1501.5384615384614,1,Tuesday
2025-04-30,249980,154,184,After_Lunch,After,Lunch,1358.5869565217392,2,Wednesday
2025-05-01,218320,124,163,After_Lunch,After,Lunch,1339.3865030674847,3,Thursday
2025-05-02,193730,117,141,After_Lunch,After,Lunch,1373.9716312056737,4,Friday
2025-05-03,170340,83,111,After_Lunch,After,Lunch,1534.5945945945946,5,Saturday
2025-05-04,149630,78,97,After_Lunch,After,Lunch,1542.5773195876288,6,Sunday
2025-05-05,166520,80,112,After_Lunch,After,Lunch,1486.7857142857142,0,Monday
2025-05-06,107750,61,73,After_Lunch,After,Lunch,1476.027397260274,1,Tuesday
2025-05-07,158190,93,114,After_Lunch,After,Lunch,1387.6315789473683,2,Wednesday
2025-05-08,185620,114,134,After_Lunch,After,Lunch,1385.2238805970148,3,Thursday
2025-05-09,205590,135,158,After_Lunch,After,Lunch,1301.2025316455697,4,Friday
2025-05-10,183350,88,117,After_Lunch,After,Lunch,1567.094017094017,5,Saturday
2025-05-11,155630,76,102,After_Lunch,After,Lunch,1525.7843137254902,6,Sunday
2025-05-12,147910,90,101,After_Lunch,After,Lunch,1464.4554455445545,0,Monday
2025-05-13,188380,116,131,After_Lunch,After,Lunch,1438.0152671755725,1,Tuesday
2025-05-14,215520,143,149,After_Lunch,After,Lunch,1446.4429530201342,2,Wednesday
2025-05-15,186000,114,135,After_Lunch,After,Lunch,1377.7777777777778,3,Thursday
2025-05-16,168680,104,118,After_Lunch,After,Lunch,1429.4915254237287,4,Friday
2025-05-17,150730,76,98,After_Lunch,After,Lunch,1538.061224489796,5,Saturday
2025-05-18,149560,73,98,After_Lunch,After,Lunch,1526.1224489795918,6,Sunday
2025-05-19,159420,109,125,After_Lunch,After,Lunch,1275.36,0,Monday
2025-05-20,156130,101,115,After_Lunch,After,Lunch,1357.6521739130435,1,Tuesday
2025-05-21,197150,123,139,After_Lunch,After,Lunch,1418.3453237410072,2,Wednesday
2025-05-22,215630,114,152,After_Lunch,After,Lunch,1418.6184210526317,3,Thursday
2025-05-23,223120,124,147,After_Lunch,After,Lunch,1517.8231292517007,4,Friday
2025-05-24,121150,68,80,After_Lunch,After,Lunch,1514.375,5,Saturday
