曜日,月,件数,平均,標準偏差,分散
月,1,1175,27.250070921985813,11.9440969742967,142.66145253140357
月,2,667,26.875162418790605,11.097419429944562,123.1527180041111
月,3,438,30.384208523592083,13.118060641586355,172.08351499633704
月,4,1535,27.526536373507057,10.859071493800924,117.91943370747983
月,5,1180,29.2246186440678,13.114773179849584,171.99727555890198
月,6,729,29.377617741197987,12.592422278895135,158.56909885001454
月,7,1185,28.33014064697609,11.896838476921815,141.53476574596735
月,8,1074,29.40147423960273,12.079132343787752,145.90543817873936
月,9,1064,27.91829573934837,11.697329412064798,136.8275153743562
月,10,1042,27.885780550223927,13.018148601577005,169.47219301274134
月,11,974,27.97854209445585,11.19399339110903,125.30548804019266
月,12,963,26.428245067497407,9.713638896929627,94.35478061994421
火,1,1401,26.65198667618368,10.510443569445062,110.46942402648907
火,2,927,27.788367493707298,11.989792842965986,143.7551324172384
火,3,378,28.321869488536155,11.050165103261074,122.10614880932883
火,4,1876,28.27531094527363,10.401639346201478,108.19410108844669
火,5,1249,28.79190018681612,12.586776005018098,158.42693020049936
火,6,639,28.602295252999475,10.315638857266807,106.41240503355282
火,7,1575,28.36703703703704,9.635943068061598,92.85139881092438
火,8,1293,28.2433745810776,11.25667817373621,126.7128035070692
火,9,1002,27.4269128409847,10.124074203749002,102.496878483016
火,10,1343,27.44446512782328,9.468166392705678,89.64617483996125
火,11,1132,26.787249705535924,10.555938614685695,111.42784003701254
火,12,861,28.415292295780098,13.89279609422188,193.00978331562675
水,1,1359,26.24935001226392,10.665979675090261,113.76312242943855
水,2,893,28.259443822321764,12.681253933350144,160.8142013221085
水,3,432,29.784645061728398,13.570399669122985,184.1557471797332
水,4,1855,27.30581311769991,9.347020173740239,87.36678612830701
水,5,1454,28.79869325997249,11.256893557716523,126.71765256975976
水,6,799,27.891677096370465,10.609123841524228,112.55350868479779
水,7,1627,28.560663798401965,11.496585250274501,132.17147241682923
水,8,1223,29.606323248841647,13.32261170432752,177.49198262428462
水,9,1068,28.46157927590512,10.877999220643394,118.33086704431828
水,10,1629,27.988080622058526,10.197275988780866,103.98443759136681
水,11,1224,28.16395697167756,11.061506568122166,122.3569275566098
水,12,892,27.698355754858,12.69218540804612,161.09157043221884
木,1,1238,26.27976575121163,10.201570684675914,104.07204443443902
木,2,1105,28.95262443438914,12.409427344853606,153.9938870272004
木,3,471,29.095187544232132,11.721481429802155,137.39312690919678
木,4,1649,28.460622599555286,11.647707108948333,135.66908089584552
木,5,1755,28.532716049382714,10.894942469338895,118.6997714102043
木,6,748,28.919451871657753,10.717276087453502,114.86000673470265
木,7,1756,28.384842444950646,11.532748234058506,133.00428183017956
木,8,1356,28.42385693215339,10.755468193826117,115.68009606840523
木,9,1107,28.406007226738936,11.388193829874835,129.69095870679928
木,10,1673,28.60601713488743,11.619126596293043,135.00410286068436
木,11,1227,27.03807389296387,9.976648007612578,99.53350546780001
木,12,869,26.963233601841196,11.032841024433884,121.72358107043132
金,1,1240,27.415188172043013,10.923903045757124,119.33165775310177
金,2,999,28.03288288288288,13.646054056920288,186.21479132439066
金,3,655,29.3952417302799,11.06148862433205,122.35653058622734
金,4,1701,27.803057025279248,10.752249747658734,115.61087463602732
金,5,1705,29.107810361681327,12.895602559182008,166.29656536438156
金,6,753,30.35666223992917,13.10948416843736,171.85857516250977
金,7,1151,28.756197509412104,11.842747682383056,140.25067266858923
金,8,1484,28.2358153638814,12.627620863118755,159.45680866267207
金,9,1142,27.728998832457677,11.441262901293303,130.90249677651045
金,10,1538,28.658983528391854,12.772351869138419,163.13297226908364
金,11,1314,27.705441400304412,11.573186153975998,133.93863775458175
金,12,1003,28.87741774675972,12.295242374263326,151.17298504188045
土,1,724,27.946040515653777,11.416440049477101,130.33510340330471
土,2,605,27.784903581267216,12.409658815299373,153.99963191213746
土,3,329,30.039412360688956,12.530896242058544,157.02336062923695
土,4,1193,28.838055322715846,11.002719672582408,121.05984019343192
土,5,1073,28.214616340478408,9.925888879388697,98.52327004597223
土,6,506,30.169762845849803,14.582442208276637,212.647620757728
土,7,848,28.601945754716983,13.35861963538797,178.45271856297302
土,8,1104,29.32590579710145,11.139989793747462,124.09937260479764
土,9,763,28.647051114023593,12.308497834983164,151.49911895378523
土,10,857,27.819933877868536,11.479199961597644,131.77203175834336
土,11,1078,29.230658627087198,12.604660283302422,158.8774608574615
土,12,654,28.81169724770642,12.029421826296833,144.7069894749866
日,1,656,27.616996951219512,11.620845838011553,135.04405799083042
日,2,622,28.039496248660235,14.421546525359657,207.98100418311319
日,3,372,29.525,11.655252823887567,135.8449183887391
日,4,1052,29.248637515842837,11.06331883866548,122.39702372597053
日,5,918,29.249146695715325,11.576547541684384,134.01645298487875
日,6,597,28.60614182021217,11.078667015873704,122.73686284860796
日,7,810,29.920946502057614,11.145417867486714,124.2203394408921
日,8,845,30.319349112426035,14.132171413562371,199.7182688623095
日,9,683,29.983186920449,11.881447177962881,141.1687870427221
日,10,794,30.326070528967257,14.79373363500409,218.85455486345134
日,11,921,29.421498371335506,12.046942873920973,145.1288326075153
日,12,642,28.199247144340603,10.333356518057952,106.77825692929078
