年月,客数,売上,組数,営業日数,売上/営業日,客数/営業日,組数/営業日,客単価,組単価,日付
2024-01,3973,4376573,3497,17.0,257445.4705882353,233.7058823529412,205.7058823529412,1101.5789076264787,1251.5221618530168,2024-01-01
2024-02,4212,4914543,3538,29.0,169467.0,145.24137931034483,122.0,1166.795584045584,1389.0737704918033,2024-02-01
2024-03,3806,4589880,3089,31.0,148060.64516129033,122.7741935483871,99.64516129032258,1205.9590120861797,1485.8789252185172,2024-03-01
2024-04,4493,5112607,3511,30.0,170420.23333333334,149.76666666666668,117.03333333333333,1137.9049632762074,1456.168328111649,2024-04-01
2024-05,4738,5395860,3779,31.0,174060.0,152.83870967741936,121.90322580645162,1138.8476150274378,1427.8539296110082,2024-05-01
2024-06,4153,4789857,3477,30.0,159661.9,138.43333333333334,115.9,1153.3486636166626,1377.5832614322692,2024-06-01
2024-07,5076,5857400,3999,31.0,188948.38709677418,163.74193548387098,129.0,1153.9401103230891,1464.7161790447612,2024-07-01
2024-08,4727,5466685,3736,31.0,176344.67741935485,152.48387096774192,120.51612903225806,1156.4808546646923,1463.245449678801,2024-08-01
2024-09,4443,5142135,3540,30.0,171404.5,148.1,118.0,1157.356515867657,1452.5805084745762,2024-09-01
2024-10,4663,5577417,3728,31.0,179916.67741935485,150.41935483870967,120.25806451612904,1196.1005790263778,1496.0882510729614,2024-10-01
2024-11,3859,5217672,3059,30.0,173922.4,128.63333333333333,101.96666666666667,1352.0787768852035,1705.6789800588429,2024-11-01
2024-12,3231,4619493,2531,30.0,153983.1,107.7,84.36666666666666,1429.7409470752089,1825.165152113789,2024-12-01
2025-01,2776,3847544,2140,26.0,147982.46153846153,106.76923076923077,82.3076923076923,1386.0028818443805,1797.917757009346,2025-01-01
2025-02,3228,4688578,2340,27.0,173651.03703703705,119.55555555555556,86.66666666666667,1452.4714993804214,2003.665811965812,2025-02-01
2025-03,12,0,12,,,,,0.0,0.0,2025-03-01
2025-04,9443,14795601,7452,30.0,493186.7,314.76666666666665,248.4,1566.83268029228,1985.4537037037037,2025-04-01
2025-05,7280,12038196,5645,31.0,388328.9032258064,234.83870967741936,182.09677419354838,1653.5983516483516,2132.5413640389725,2025-05-01
2025-06,1783,2985389,1338,8.0,373173.625,222.875,167.25,1674.3628715647785,2231.2324364723468,2025-06-01
2025-07,6498,10804203,5031,30.0,360140.1,216.6,167.7,1662.6966759002771,2147.525939177102,2025-07-01
2025-08,6030,10283309,4682,31.0,331719.6451612903,194.51612903225808,151.03225806451613,1705.3580431177445,2196.3496369073046,2025-08-01
2025-09,4229,7203290,3320,22.0,327422.2727272727,192.22727272727272,150.9090909090909,1703.3081106644597,2169.6656626506024,2025-09-01
2025-10,6611,11221670,5190,31.0,361989.3548387097,213.25806451612902,167.41935483870967,1697.4239903191651,2162.1714836223505,2025-10-01
2025-11,6316,11130053,4871,30.0,371001.76666666666,210.53333333333333,162.36666666666667,1762.1996516782774,2284.962636009033,2025-11-01
2025-12,4384,8324337,3405,22.0,378378.95454545453,199.27272727272728,154.77272727272728,1898.7994981751824,2444.739207048458,2025-12-01
2026-01,3142,5456266,2375,16.0,341016.625,196.375,148.4375,1736.5582431572248,2297.3751578947367,2026-01-01
