年月,客数,売上,組数,営業日数,売上/営業日,客数/営業日,組数/営業日,客単価,組単価,日付
2024-01,5882,8725828,4914,29,300890.6206896552,202.82758620689654,169.44827586206895,1483.4797687861271,1775.7077737077736,2024-01-01
2024-02,5584,8861016,4556,29,305552.275862069,192.55172413793105,157.10344827586206,1586.8581661891117,1944.9113257243196,2024-02-01
2024-03,6516,9799789,5446,31,316122.22580645164,210.19354838709677,175.67741935483872,1503.957796193984,1799.447117150202,2024-03-01
2024-04,5926,9023495,4931,30,300783.1666666667,197.53333333333333,164.36666666666667,1522.6957475531556,1829.952342324072,2024-04-01
2024-05,6162,9084393,5084,31,293044.93548387097,198.7741935483871,164.0,1474.2604673807205,1786.8593627065302,2024-05-01
2024-06,3021,4583213,2493,15,305547.5333333333,201.4,166.2,1517.117841774247,1838.432811873245,2024-06-01
2024-07,6077,9499216,5084,31,306426.32258064515,196.03225806451613,164.0,1563.1423399703801,1868.4531864673486,2024-07-01
2024-08,6306,9803334,5118,31,316236.5806451613,203.41935483870967,165.09677419354838,1554.604186489058,1915.461899179367,2024-08-01
2024-09,1603,2486702,1356,9,276300.22222222225,178.11111111111111,150.66666666666666,1551.280099812851,1833.8510324483775,2024-09-01
2025-01,5610,9358726,4412,29,322714.6896551724,193.44827586206895,152.13793103448276,1668.2221033868093,2121.198096101541,2025-01-01
2025-02,5154,8534064,4019,28,304788.0,184.07142857142858,143.53571428571428,1655.813736903376,2123.4297088828066,2025-02-01
2025-03,5285,8759950,4130,31,282579.03225806454,170.48387096774192,133.2258064516129,1657.5118259224218,2121.053268765133,2025-03-01
2025-04,6371,10640740,5117,30,354691.3333333333,212.36666666666667,170.56666666666666,1670.183644639774,2079.4879812390072,2025-04-01
2025-05,6198,10873754,4892,31,350766.2580645161,199.93548387096774,157.80645161290323,1754.3972249112617,2222.7624693376943,2025-05-01
2025-06,4470,7720085,3545,24,321670.2083333333,186.25,147.70833333333334,1727.0883668903803,2177.7390691114247,2025-06-01
2025-07,5837,9924141,4553,31,320133.5806451613,188.29032258064515,146.8709677419355,1700.2126092170636,2179.692730068087,2025-07-01
2025-08,5825,10234302,4608,31,330138.77419354836,187.90322580645162,148.6451612903226,1756.9617167381975,2220.9856770833335,2025-08-01
2025-09,4866,8464889,3862,28,302317.46428571426,173.78571428571428,137.92857142857142,1739.5990546650225,2191.84075608493,2025-09-01
2025-10,5478,9534716,4362,31,307571.48387096776,176.70967741935485,140.70967741935485,1740.5469149324572,2185.858780375974,2025-10-01
2025-11,5644,10352534,4477,30,345084.4666666667,188.13333333333333,149.23333333333332,1834.2547838412474,2312.381952200134,2025-11-01
2025-12,5221,10032284,4101,31,323622.06451612903,168.41935483870967,132.29032258064515,1921.525378280023,2446.3018775908313,2025-12-01
2026-01,4418,8013990,3479,26,308230.3846153846,169.92307692307693,133.80769230769232,1813.9406971480307,2303.5326243173326,2026-01-01
