年月,日付,売上差,客数要因寄与,客単価要因寄与,検算,前月売上,当月売上,前月客数,当月客数,前月客単価,当月客単価
2024-02,2024-02-01,135188,-457480.35231131053,592668.3523113104,135187.99999999983,8725828,8861016,5882,5584,1483.4797687861271,1586.8581661891117
2024-03,2024-03-01,938773,1440320.2384705227,-501547.23847052245,938773.0000000002,8861016,9799789,5584,6516,1586.8581661891117,1503.957796193984
2024-04,2024-04-01,-776294,-892862.7954054062,116568.79540540637,-776293.9999999998,9799789,9023495,6516,5926,1503.957796193984,1522.6957475531556
2024-05,2024-05-01,60898,353640.8333621974,-292742.83336219785,60897.999999999534,9023495,9084393,5926,6162,1522.6957475531556,1474.2604673807205
2024-06,2024-06-01,-4501180,-4697959.634527877,196779.6345278768,-4501180.0,9084393,4583213,6162,3021,1474.2604673807205,1517.117841774247
2024-07,2024-07-01,4916003,4706637.55770579,209365.44229420996,4916003.0,4583213,9499216,3021,6077,1517.117841774247,1563.1423399703801
2024-08,2024-08-01,304118,356981.9772796057,-52863.97727960559,304118.0000000001,9499216,9803334,6077,6306,1563.1423399703801,1554.604186489058
2024-09,2024-09-01,-7316632,-7303486.899238939,-13145.100761061041,-7316632.0,9803334,2486702,6306,1603,1554.604186489058,1551.280099812851
2025-01,2025-01-01,6872024,6450272.66411052,421751.3358894808,6872024.000000001,2486702,9358726,1603,5610,1551.280099812851,1668.2221033868093
2025-02,2025-02-01,-824662,-757880.1715861622,-66781.82841383846,-824662.0000000007,9358726,8534064,5610,5154,1668.2221033868093,1655.813736903376
2025-03,2025-03-01,225886,217022.82436508973,8863.175634910272,225886.0,8534064,8759950,5154,5285,1655.813736903376,1657.5118259224218
2025-04,2025-04-01,1880790,1806938.6405152723,73851.35948472835,1880790.0000000007,8759950,10640740,5285,6371,1657.5118259224218,1670.183644639774
2025-05,2025-05-01,233014,-296226.2452161646,529240.2452161643,233013.99999999965,10640740,10873754,6371,6198,1670.183644639774,1754.3972249112617
2025-06,2025-06-01,-3153669,-3008003.5513166185,-145665.4486833815,-3153669.0,10873754,7720085,6198,4470,1754.3972249112617,1727.0883668903803
2025-07,2025-07-01,2204056,2342560.2171694376,-138504.21716943753,2204056.0,7720085,9924141,4470,5837,1727.0883668903803,1700.2126092170636
2025-08,2025-08-01,310161,-20743.04595573157,330904.0459557322,310161.0000000006,9924141,10234302,5837,5825,1700.2126092170636,1756.9617167381975
2025-09,2025-09-01,-1769413,-1676600.8898878442,-92812.1101121569,-1769413.0000000012,10234302,8464889,5825,4866,1756.9617167381975,1739.5990546650225
2025-10,2025-10-01,1069827,1064924.6666968288,4902.333303171931,1069827.0000000007,8464889,9534716,4866,5478,1739.5990546650225,1740.5469149324572
2025-11,2025-11-01,817818,296708.5409982175,521109.45900178264,817818.0000000001,9534716,10352534,5478,5644,1740.5469149324572,1834.2547838412474
2025-12,2025-12-01,-320250,-794347.5042886486,474097.50428864826,-320250.00000000035,10352534,10032284,5644,5221,1834.2547838412474,1921.525378280023
2026-01,2026-01-01,-2018294,-1499789.6292843637,-518504.3707156368,-2018294.0000000005,10032284,8013990,5221,4418,1921.525378280023,1813.9406971480307
