年月,日付,売上差/営業日,客数要因寄与,客単価要因寄与,検算,前月売上/営業日,当月売上/営業日,前月客数/営業日,当月客数/営業日,前月客単価,当月客単価,前月営業日数,当月営業日数
2024-02,2024-02-01,4661.655172413797,-15775.18456245895,20436.83973487277,4661.655172413821,300890.6206896552,305552.275862069,202.82758620689654,192.55172413793105,1483.4797687861271,1586.8581661891117,29,29
2024-03,2024-03-01,10569.94994438265,27263.815997439295,-16693.866053056667,10569.949944382628,305552.275862069,316122.22580645164,192.55172413793105,210.19354838709677,1586.8581661891117,1503.957796193984,29,31
2024-04,2024-04-01,-15339.05913978495,-19159.042378536993,3819.983238752061,-15339.059139784931,316122.22580645164,300783.1666666667,210.19354838709677,197.53333333333333,1503.957796193984,1522.6957475531556,31,30
2024-05,2024-05-01,-7738.231182795716,1859.4018666847937,-9597.633049480495,-7738.231182795702,300783.1666666667,293044.93548387097,197.53333333333333,198.7741935483871,1522.6957475531556,1474.2604673807205,30,31
2024-06,2024-06-01,12502.597849462356,3927.3902316970048,8575.207617765376,12502.597849462381,293044.93548387097,305547.5333333333,198.7741935483871,201.4,1474.2604673807205,1517.117841774247,31,15
2024-07,2024-07-01,878.7892473118263,-8267.020874875912,9145.810122187735,878.7892473118227,305547.5333333333,306426.32258064515,201.4,196.03225806451613,1517.117841774247,1563.1423399703801,15,31
2024-08,2024-08-01,9810.258064516122,11515.547654180811,-1705.2895896646965,9810.258064516114,306426.32258064515,316236.5806451613,196.03225806451613,203.41935483870967,1563.1423399703801,1554.604186489058,31,31
2024-09,2024-09-01,-39936.358422939025,-39302.2382537236,-634.120169215446,-39936.35842293904,316236.5806451613,276300.22222222225,203.41935483870967,178.11111111111111,1554.604186489058,1551.280099812851,31,9
2025-01,2025-01-01,46414.46743295016,24689.017853272468,21725.449579677697,46414.467432950165,276300.22222222225,322714.6896551724,178.11111111111111,193.44827586206895,1551.280099812851,1668.2221033868093,9,29
2025-02,2025-02-01,-17926.689655172406,-15584.488231508254,-2342.201423664144,-17926.6896551724,322714.6896551724,304788.0,193.44827586206895,184.07142857142858,1668.2221033868093,1655.813736903376,29,28
2025-03,2025-03-01,-22208.967741935456,-22510.000972331527,301.03323039600434,-22208.96774193552,304788.0,282579.03225806454,184.07142857142858,170.48387096774192,1655.813736903376,1657.5118259224218,28,31
2025-04,2025-04-01,72112.30107526877,69686.59477089686,2425.706304372017,72112.30107526887,282579.03225806454,354691.3333333333,170.48387096774192,212.36666666666667,1657.5118259224218,1670.183644639774,31,30
2025-05,2025-05-01,-3925.0752688171924,-21285.79539402126,17360.720125204036,-3925.075268817225,354691.3333333333,350766.2580645161,212.36666666666667,199.93548387096774,1670.183644639774,1754.3972249112617,30,31
2025-06,2025-06-01,-29096.049731182808,-23822.90745680398,-5273.142274378824,-29096.049731182804,350766.2580645161,321670.2083333333,199.93548387096774,186.25,1754.3972249112617,1727.0883668903803,31,24
2025-07,2025-07-01,-1536.6276881720405,3496.399786109596,-5033.02747428164,-1536.6276881720441,321670.2083333333,320133.5806451613,186.25,188.29032258064515,1727.0883668903803,1700.2126092170636,24,31
2025-08,2025-08-01,10005.193548387091,-669.1305147009994,10674.324063088134,10005.193548387135,320133.5806451613,330138.77419354836,188.29032258064515,187.90322580645162,1700.2126092170636,1756.9617167381975,31,31
2025-09,2025-09-01,-27821.309907834104,-24681.3684866216,-3139.941421212555,-27821.309907834155,330138.77419354836,302317.46428571426,187.90322580645162,173.78571428571428,1756.9617167381975,1739.5990546650225,31,28
2025-10,2025-10-01,5254.019585253496,5087.909257395422,166.11032785808695,5254.019585253509,302317.46428571426,307571.48387096776,173.78571428571428,176.70967741935485,1739.5990546650225,1740.5469149324572,28,31
2025-11,2025-11-01,37512.98279569892,20418.652283748273,17094.33051195063,37512.9827956989,307571.48387096776,345084.4666666667,176.70967741935485,188.13333333333333,1740.5469149324572,1834.2547838412474,31,30
2025-12,2025-12-01,-21462.402150537644,-37020.68467329644,15558.282522758785,-21462.402150537655,345084.4666666667,323622.06451612903,188.13333333333333,168.41935483870967,1834.2547838412474,1921.525378280023,30,31
2026-01,2026-01-01,-15391.679900744406,2808.5514165129466,-18200.231317257334,-15391.679900744388,323622.06451612903,308230.3846153846,168.41935483870967,169.92307692307693,1921.525378280023,1813.9406971480307,31,26
