年,月,営業日数,総客数,営業日当たり客数
2024,1,29,5882,202.82758620689654
2024,2,29,5584,192.55172413793105
2024,3,31,6516,210.19354838709677
2024,4,30,5926,197.53333333333333
2024,5,31,6162,198.7741935483871
2024,6,15,3021,201.4
2024,7,31,6077,196.03225806451613
2024,8,31,6306,203.41935483870967
2024,9,9,1603,178.11111111111111
2025,1,29,5610,193.44827586206895
2025,2,28,5154,184.07142857142858
2025,3,31,5285,170.48387096774192
2025,4,30,6371,212.36666666666667
2025,5,31,6198,199.93548387096774
2025,6,24,4470,186.25
2025,7,31,5837,188.29032258064515
2025,8,31,5825,187.90322580645162
2025,9,28,4866,173.78571428571428
2025,10,31,5478,176.70967741935485
2025,11,30,5644,188.13333333333333
2025,12,31,5221,168.41935483870967
2026,1,26,4418,169.92307692307693
