月,曜日,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,曜日順
1,月,4.0,175.0,4,161.5,-13.5,0
1,火,4.0,166.25,4,130.5,-35.75,1
1,水,5.0,175.2,4,170.75,-4.449999999999989,2
1,木,4.0,179.0,4,154.5,-24.5,3
1,金,4.0,189.0,5,196.8,7.800000000000011,4
1,土,4.0,266.25,4,258.25,-8.0,5
1,日,4.0,276.0,4,281.0,5.0,6
2,月,4.0,159.25,4,168.5,9.25,0
2,火,4.0,152.75,4,162.25,9.5,1
2,水,4.0,136.0,4,152.5,16.5,2
2,木,5.0,218.2,4,139.0,-79.19999999999999,3
2,金,4.0,193.75,4,170.25,-23.5,4
2,土,4.0,258.75,4,245.25,-13.5,5
2,日,4.0,222.75,4,250.75,28.0,6
3,月,4.0,147.0,5,136.4,-10.599999999999994,0
3,火,4.0,130.5,4,124.0,-6.5,1
3,水,4.0,174.25,4,141.0,-33.25,2
3,木,4.0,144.25,4,154.0,9.75,3
3,金,5.0,221.8,4,154.0,-67.80000000000001,4
3,土,5.0,304.6,5,229.8,-74.80000000000001,5
3,日,5.0,300.0,5,232.4,-67.6,6
4,月,5.0,192.8,4,168.75,-24.05000000000001,0
4,火,5.0,165.0,5,207.0,42.0,1
4,水,4.0,141.75,5,187.4,45.650000000000006,2
4,木,4.0,165.25,4,174.0,8.75,3
4,金,4.0,229.0,4,193.25,-35.75,4
4,土,4.0,241.25,4,301.0,59.75,5
4,日,4.0,257.0,4,262.75,5.75,6
5,月,4.0,174.5,4,196.5,22.0,0
5,火,4.0,139.0,4,153.0,14.0,1
5,水,5.0,169.8,4,140.25,-29.55000000000001,2
5,木,5.0,193.2,5,181.2,-12.0,3
5,金,5.0,199.2,5,191.4,-7.799999999999983,4
5,土,4.0,245.75,5,252.8,7.050000000000011,5
5,日,4.0,278.5,4,278.0,-0.5,6
6,月,2.0,156.5,4,160.5,4.0,0
6,火,2.0,172.0,4,109.0,-63.0,1
6,水,2.0,171.5,3,149.0,-22.5,2
6,木,2.0,151.5,3,176.0,24.5,3
6,金,2.0,214.5,3,185.0,-29.5,4
6,土,3.0,252.33333333333334,3,242.33333333333334,-10.0,5
6,日,2.0,266.0,4,283.75,17.75,6
7,月,5.0,189.0,4,162.5,-26.5,0
7,火,5.0,171.0,5,162.8,-8.199999999999989,1
7,水,5.0,163.6,5,166.4,2.8000000000000114,2
7,木,4.0,160.25,5,155.0,-5.25,3
7,金,4.0,212.25,4,187.0,-25.25,4
7,土,4.0,242.25,4,265.0,22.75,5
7,日,4.0,250.0,4,239.5,-10.5,6
8,月,4.0,207.0,4,154.25,-52.75,0
8,火,4.0,170.0,4,163.0,-7.0,1
8,水,4.0,172.0,4,154.0,-18.0,2
8,木,5.0,193.8,4,140.0,-53.80000000000001,3
8,金,5.0,185.8,5,206.2,20.399999999999977,4
8,土,5.0,262.4,5,242.4,-19.99999999999997,5
8,日,4.0,225.0,5,227.4,2.4000000000000057,6
9,月,2.0,85.5,4,166.75,81.25,0
9,火,1.0,148.0,4,185.0,37.0,1
9,水,1.0,169.0,4,136.0,-33.0,2
9,木,1.0,150.0,4,121.5,-28.5,3
9,金,1.0,197.0,4,181.25,-15.75,4
9,土,1.0,258.0,4,232.25,-25.75,5
9,日,2.0,255.0,4,193.75,-61.25,6
10,月,,,4,148.0,,0
10,火,,,4,127.25,,1
10,水,,,5,149.8,,2
10,木,,,5,162.2,,3
10,金,,,5,165.4,,4
10,土,,,4,223.0,,5
10,日,,,4,274.5,,6
11,月,,,4,186.5,,0
11,火,,,4,118.0,,1
11,水,,,4,138.0,,2
11,木,,,4,137.25,,3
11,金,,,4,154.0,,4
11,土,,,5,276.8,,5
11,日,,,5,265.0,,6
12,月,,,5,172.6,,0
12,火,,,5,171.8,,1
12,水,,,5,115.0,,2
12,木,,,4,127.5,,3
12,金,,,4,170.25,,4
12,土,,,4,211.25,,5
12,日,,,4,222.0,,6
