月,時間帯,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間帯順
1,ランチ(11-15時),29.0,86.55172413793103,29.0,81.75862068965517,-4.793103448275858,0
1,アイドル(15-17時),29.0,22.137931034482758,29.0,20.06896551724138,-2.0689655172413772,1
1,ディナー(17-22時),29.0,93.62068965517241,29.0,91.41379310344827,-2.2068965517241423,2
1,その他,6.0,2.5,1.0,6.0,3.5,3
2,ランチ(11-15時),29.0,77.58620689655173,28.0,76.07142857142857,-1.5147783251231601,0
2,アイドル(15-17時),29.0,17.482758620689655,28.0,19.5,2.017241379310345,1
2,ディナー(17-22時),29.0,97.37931034482759,28.0,88.35714285714286,-9.022167487684726,2
2,その他,3.0,1.0,2.0,2.0,1.0,3
3,ランチ(11-15時),31.0,87.29032258064517,31.0,67.45161290322581,-19.83870967741936,0
3,アイドル(15-17時),31.0,20.322580645161292,31.0,17.451612903225808,-2.870967741935484,1
3,ディナー(17-22時),31.0,102.35483870967742,31.0,85.45161290322581,-16.903225806451616,2
3,その他,6.0,1.1666666666666667,2.0,2.0,0.8333333333333333,3
4,ランチ(11-15時),30.0,80.4,30.0,81.86666666666666,1.4666666666666544,0
4,アイドル(15-17時),30.0,18.033333333333335,30.0,23.0,4.966666666666665,1
4,ディナー(17-22時),30.0,98.9,30.0,107.36666666666666,8.466666666666654,2
4,その他,5.0,1.2,4.0,1.0,-0.19999999999999996,3
5,ランチ(11-15時),31.0,80.38709677419355,31.0,75.16129032258064,-5.225806451612911,0
5,アイドル(15-17時),31.0,19.548387096774192,31.0,21.548387096774192,2.0,1
5,ディナー(17-22時),31.0,98.48387096774194,31.0,103.16129032258064,4.677419354838705,2
5,その他,7.0,1.5714285714285714,1.0,2.0,0.4285714285714286,3
6,ランチ(11-15時),15.0,82.6,24.0,75.16666666666667,-7.433333333333323,0
6,アイドル(15-17時),15.0,20.333333333333332,23.0,18.304347826086957,-2.028985507246375,1
6,ディナー(17-22時),15.0,98.13333333333334,23.0,97.6086956521739,-0.5246376811594331,2
6,その他,3.0,1.6666666666666667,,,,3
7,ランチ(11-15時),31.0,78.3225806451613,31.0,74.16129032258064,-4.161290322580655,0
7,アイドル(15-17時),31.0,19.387096774193548,31.0,17.483870967741936,-1.903225806451612,1
7,ディナー(17-22時),31.0,98.2258064516129,31.0,96.41935483870968,-1.806451612903217,2
7,その他,3.0,1.0,3.0,2.3333333333333335,1.3333333333333335,3
8,ランチ(11-15時),31.0,77.41935483870968,31.0,69.93548387096774,-7.483870967741936,0
8,アイドル(15-17時),31.0,21.06451612903226,31.0,20.225806451612904,-0.8387096774193559,1
8,ディナー(17-22時),31.0,103.64516129032258,31.0,97.70967741935483,-5.935483870967744,2
8,その他,4.0,10.0,1.0,1.0,-9.0,3
9,ランチ(11-15時),9.0,76.33333333333333,28.0,67.85714285714286,-8.476190476190467,0
9,アイドル(15-17時),8.0,22.0,27.0,19.0,-3.0,1
9,ディナー(17-22時),8.0,92.25,27.0,90.66666666666667,-1.5833333333333286,2
9,その他,2.0,1.0,3.0,1.6666666666666667,0.6666666666666667,3
10,ランチ(11-15時),,,31.0,68.87096774193549,,0
10,アイドル(15-17時),,,31.0,15.580645161290322,,1
10,ディナー(17-22時),,,31.0,92.25806451612904,,2
11,ランチ(11-15時),,,30.0,74.63333333333334,,0
11,アイドル(15-17時),,,30.0,20.966666666666665,,1
11,ディナー(17-22時),,,30.0,92.43333333333334,,2
11,その他,,,2.0,1.5,,3
12,ランチ(11-15時),,,31.0,64.38709677419355,,0
12,アイドル(15-17時),,,31.0,16.387096774193548,,1
12,ディナー(17-22時),,,30.0,90.53333333333333,,2
12,その他,,,1.0,1.0,,3
