月,時間グループ,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間順
1,11時前,3.0,3.3333333333333335,1.0,6.0,2.6666666666666665,0
1,11時台,29.0,20.103448275862068,29.0,19.20689655172414,-0.8965517241379288,1
1,12時台,29.0,27.344827586206897,29.0,26.137931034482758,-1.2068965517241388,2
1,13時台,29.0,23.482758620689655,29.0,22.103448275862068,-1.3793103448275872,3
1,14時台,29.0,15.620689655172415,29.0,14.310344827586206,-1.3103448275862082,4
1,15時台,29.0,10.551724137931034,29.0,9.89655172413793,-0.6551724137931032,5
1,16時台,29.0,11.586206896551724,28.0,10.535714285714286,-1.0504926108374377,6
1,17時台,29.0,15.10344827586207,29.0,14.10344827586207,-1.0,7
1,18時台,29.0,23.689655172413794,29.0,23.310344827586206,-0.3793103448275872,8
1,19時台,29.0,23.17241379310345,29.0,22.103448275862068,-1.0689655172413808,9
1,20時台,29.0,20.06896551724138,29.0,19.96551724137931,-0.10344827586207117,10
1,21時台,29.0,11.586206896551724,29.0,11.931034482758621,0.3448275862068968,11
1,22時以降,3.0,1.6666666666666667,,,,12
2,11時前,2.0,1.0,2.0,2.0,1.0,0
2,11時台,29.0,19.137931034482758,28.0,19.678571428571427,0.540640394088669,1
2,12時台,29.0,25.93103448275862,28.0,23.785714285714285,-2.1453201970443345,2
2,13時台,29.0,19.413793103448278,28.0,19.071428571428573,-0.3423645320197046,3
2,14時台,29.0,13.10344827586207,28.0,13.535714285714286,0.4322660098522171,4
2,15時台,29.0,9.137931034482758,28.0,10.142857142857142,1.0049261083743843,5
2,16時台,29.0,8.344827586206897,28.0,9.357142857142858,1.0123152709359609,6
2,17時台,29.0,14.551724137931034,28.0,12.857142857142858,-1.6945812807881762,7
2,18時台,29.0,23.586206896551722,28.0,21.535714285714285,-2.0504926108374377,8
2,19時台,29.0,26.17241379310345,28.0,23.928571428571427,-2.2438423645320213,9
2,20時台,29.0,19.310344827586206,28.0,19.071428571428573,-0.23891625615763346,10
2,21時台,28.0,14.25,28.0,10.964285714285714,-3.2857142857142865,11
2,22時以降,1.0,1.0,,,,12
3,11時前,3.0,1.0,2.0,2.0,1.0,0
3,11時台,31.0,23.032258064516128,31.0,16.06451612903226,-6.967741935483868,1
3,12時台,31.0,27.35483870967742,31.0,21.032258064516128,-6.322580645161292,2
3,13時台,31.0,21.548387096774192,31.0,17.419354838709676,-4.129032258064516,3
3,14時台,31.0,15.35483870967742,31.0,12.935483870967742,-2.419354838709678,4
3,15時台,31.0,9.96774193548387,30.0,9.6,-0.36774193548387046,5
3,16時台,31.0,10.35483870967742,31.0,8.161290322580646,-2.193548387096774,6
3,17時台,31.0,14.290322580645162,31.0,12.03225806451613,-2.258064516129032,7
3,18時台,31.0,25.322580645161292,31.0,21.677419354838708,-3.6451612903225836,8
3,19時台,31.0,26.64516129032258,31.0,24.225806451612904,-2.419354838709676,9
3,20時台,31.0,21.129032258064516,31.0,18.096774193548388,-3.032258064516128,10
3,21時台,31.0,14.96774193548387,31.0,9.419354838709678,-5.548387096774192,11
3,22時以降,3.0,1.3333333333333333,,,,12
4,11時前,,,3.0,1.0,,0
4,11時台,30.0,18.866666666666667,30.0,19.333333333333332,0.466666666666665,1
4,12時台,30.0,28.7,30.0,27.2,-1.5,2
4,13時台,30.0,19.0,30.0,20.766666666666666,1.7666666666666657,3
4,14時台,30.0,13.833333333333334,30.0,14.566666666666666,0.7333333333333325,4
4,15時台,30.0,9.6,30.0,12.033333333333333,2.4333333333333336,5
4,16時台,28.0,9.035714285714286,30.0,10.966666666666667,1.9309523809523803,6
4,17時台,30.0,13.333333333333334,30.0,15.433333333333334,2.0999999999999996,7
4,18時台,30.0,25.566666666666666,30.0,26.266666666666666,0.6999999999999993,8
4,19時台,30.0,26.133333333333333,30.0,30.0,3.866666666666667,9
4,20時台,30.0,20.8,30.0,24.566666666666666,3.7666666666666657,10
4,21時台,30.0,13.066666666666666,30.0,11.1,-1.9666666666666668,11
4,22時以降,5.0,1.2,1.0,1.0,-0.19999999999999996,12
5,11時前,4.0,1.5,1.0,2.0,0.5,0
5,11時台,31.0,18.903225806451612,31.0,16.93548387096774,-1.9677419354838719,1
5,12時台,31.0,27.225806451612904,31.0,24.096774193548388,-3.129032258064516,2
5,13時台,31.0,20.516129032258064,31.0,19.06451612903226,-1.4516129032258043,3
5,14時台,31.0,13.741935483870968,31.0,15.064516129032258,1.32258064516129,4
5,15時台,31.0,10.580645161290322,31.0,10.548387096774194,-0.032258064516128115,5
5,16時台,30.0,9.266666666666667,31.0,11.0,1.7333333333333325,6
5,17時台,31.0,13.64516129032258,31.0,16.096774193548388,2.451612903225808,7
