date,total_sales,slip_count,total_customers,segment,period,daypart,avg_spend_per_customer,weekday,weekday_name
2025-10-01,132890,69,81,After_Dinner,After,Dinner,1640.6172839506173,2,Wednesday
2025-10-02,131820,67,84,After_Dinner,After,Dinner,1569.2857142857142,3,Thursday
2025-10-03,163060,85,100,After_Dinner,After,Dinner,1630.6,4,Friday
2025-10-04,197510,87,119,After_Dinner,After,Dinner,1659.7478991596638,5,Saturday
2025-10-05,210700,98,122,After_Dinner,After,Dinner,1727.049180327869,6,Sunday
2025-10-06,98990,53,62,After_Dinner,After,Dinner,1596.6129032258063,0,Monday
2025-10-07,118280,66,79,After_Dinner,After,Dinner,1497.2151898734178,1,Tuesday
2025-10-08,165390,73,98,After_Dinner,After,Dinner,1687.6530612244899,2,Wednesday
2025-10-09,178570,93,114,After_Dinner,After,Dinner,1566.4035087719299,3,Thursday
2025-10-10,210230,103,125,After_Dinner,After,Dinner,1681.84,4,Friday
2025-10-11,186750,83,110,After_Dinner,After,Dinner,1697.7272727272727,5,Saturday
2025-10-12,217200,87,128,After_Dinner,After,Dinner,1696.875,6,Sunday
2025-10-13,193530,94,117,After_Dinner,After,Dinner,1654.1025641025642,0,Monday
2025-10-14,74690,40,49,After_Dinner,After,Dinner,1524.2857142857142,1,Tuesday
2025-10-15,93450,48,60,After_Dinner,After,Dinner,1557.5,2,Wednesday
2025-10-16,124940,58,75,After_Dinner,After,Dinner,1665.8666666666666,3,Thursday
2025-10-17,174380,90,113,After_Dinner,After,Dinner,1543.1858407079646,4,Friday
2025-10-18,184610,82,111,After_Dinner,After,Dinner,1663.1531531531532,5,Saturday
2025-10-19,278890,134,175,After_Dinner,After,Dinner,1593.6571428571428,6,Sunday
2025-10-20,139360,69,86,After_Dinner,After,Dinner,1620.4651162790697,0,Monday
2025-10-21,125310,58,77,After_Dinner,After,Dinner,1627.4025974025974,1,Tuesday
2025-10-22,100180,53,63,After_Dinner,After,Dinner,1590.1587301587301,2,Wednesday
2025-10-23,161890,73,100,After_Dinner,After,Dinner,1618.9,3,Thursday
2025-10-24,178040,82,99,After_Dinner,After,Dinner,1798.3838383838383,4,Friday
2025-10-25,189830,94,119,After_Dinner,After,Dinner,1595.2100840336134,5,Saturday
2025-10-26,170180,91,106,After_Dinner,After,Dinner,1605.4716981132076,6,Sunday
2025-10-27,134970,65,83,After_Dinner,After,Dinner,1626.144578313253,0,Monday
2025-10-28,154620,81,96,After_Dinner,After,Dinner,1610.625,1,Tuesday
2025-10-29,232820,131,162,After_Dinner,After,Dinner,1437.1604938271605,2,Wednesday
2025-10-30,167320,84,101,After_Dinner,After,Dinner,1656.6336633663366,3,Thursday
2025-10-31,154000,80,104,After_Dinner,After,Dinner,1480.7692307692307,4,Friday
2025-11-01,239110,104,141,After_Dinner,After,Dinner,1695.8156028368794,5,Saturday
2025-11-02,232590,104,140,After_Dinner,After,Dinner,1661.357142857143,6,Sunday
2025-11-03,204020,93,123,After_Dinner,After,Dinner,1658.69918699187,0,Monday
2025-11-04,135300,63,82,After_Dinner,After,Dinner,1650.0,1,Tuesday
2025-11-05,114380,58,70,After_Dinner,After,Dinner,1634.0,2,Wednesday
2025-11-06,122690,67,75,After_Dinner,After,Dinner,1635.8666666666666,3,Thursday
2025-11-07,160190,84,98,After_Dinner,After,Dinner,1634.591836734694,4,Friday
2025-11-08,192100,87,113,After_Dinner,After,Dinner,1700.0,5,Saturday
2025-11-09,232690,126,149,After_Dinner,After,Dinner,1561.6778523489934,6,Sunday
2025-11-10,125130,62,75,After_Dinner,After,Dinner,1668.4,0,Monday
2025-11-11,119900,60,74,After_Dinner,After,Dinner,1620.2702702702702,1,Tuesday
2025-11-12,139080,64,84,After_Dinner,After,Dinner,1655.7142857142858,2,Wednesday
2025-11-13,134040,67,81,After_Dinner,After,Dinner,1654.8148148148148,3,Thursday
2025-11-14,139540,72,90,After_Dinner,After,Dinner,1550.4444444444443,4,Friday
2025-11-15,187820,85,118,After_Dinner,After,Dinner,1591.6949152542372,5,Saturday
2025-11-16,180530,91,115,After_Dinner,After,Dinner,1569.8260869565217,6,Sunday
2025-11-17,131160,69,83,After_Dinner,After,Dinner,1580.2409638554218,0,Monday
2025-11-18,98050,50,62,After_Dinner,After,Dinner,1581.4516129032259,1,Tuesday
2025-11-19,161600,81,101,After_Dinner,After,Dinner,1600.0,2,Wednesday
2025-11-20,145340,74,87,After_Dinner,After,Dinner,1670.5747126436781,3,Thursday
2025-11-21,169500,78,91,After_Dinner,After,Dinner,1862.6373626373627,4,Friday
2025-11-22,251920,110,139,After_Dinner,After,Dinner,1812.3741007194244,5,Saturday
2025-11-23,213510,91,123,After_Dinner,After,Dinner,1735.8536585365853,6,Sunday
2025-11-24,194470,87,106,After_Dinner,After,Dinner,1834.622641509434,0,Monday
