2026/01/28 23:00 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダー日時"
"No:202600100050310","2026/01/03","土","2026/01/03 11:00:56","2026/01/03 11:15:24","1","1694","1","EAT IN","アラカルト","00000001439:ハラミ L","定食セット(並盛)x1","1540","2026/01/03 11:00:56"
"No:202600100050311","2026/01/03","土","2026/01/03 11:01:36","2026/01/03 11:26:41","1","1837","2","EAT IN","アラカルト","00000001453:トリプル","定食セット(並盛)x1","1540","2026/01/03 11:01:36"
"No:202600100050311","2026/01/03","土","2026/01/03 11:01:36","2026/01/03 11:26:41","1","1837","2","EAT IN","ソフトドリンク","00000001510:メロンソーダ","","130","2026/01/03 11:01:36"
"No:202600100050312","2026/01/03","土","2026/01/03 11:12:08","2026/01/03 11:33:18","1","1364","1","EAT IN","アラカルト","00000001447:ビフチキ","定食セット(並盛)x1","1240","2026/01/03 11:12:08"
"No:202600100050313","2026/01/03","土","2026/01/03 11:15:13","2026/01/03 11:32:21","1","2244","1","EAT IN","アラカルト","00000001436:ビフテキ L","ポテト(大盛)x1","2040","2026/01/03 11:15:13"
"No:202600100050314","2026/01/03","土","2026/01/03 11:19:33","2026/01/03 11:34:55","1","1749","1","EAT IN","アラカルト","00000001436:ビフテキ L","定食セット(並盛)x1","1590","2026/01/03 11:19:33"
"No:202600100050315","2026/01/03","土","2026/01/03 11:25:00","2026/01/03 11:40:01","1","2189","2","EAT IN","アラカルト","00000001437:ビフテキ LL","定食セット(大盛)x1","1990","2026/01/03 11:25:00"
"No:202600100050315","2026/01/03","土","2026/01/03 11:25:00","2026/01/03 11:40:01","1","2189","2","EAT IN","追い肉","00000001476:無料【追い肉】ビフテキ","","0","2026/01/03 11:25:00"
"No:202600100050316","2026/01/03","土","2026/01/03 11:33:59","2026/01/03 11:56:51","1","3311","6","EAT IN","アラカルト","00000001489:【単品】ハラミ","","690","2026/01/03 11:33:59"
"No:202600100050316","2026/01/03","土","2026/01/03 11:33:59","2026/01/03 11:56:51","1","3311","6","EAT IN","トッピング","00000001480:半熟玉子焼","","100","2026/01/03 11:33:59"
"No:202600100050316","2026/01/03","土","2026/01/03 11:33:59","2026/01/03 11:56:51","1","3311","6","EAT IN","アラカルト","00000001498:オニオンリング","","450","2026/01/03 11:33:59"
"No:202600100050316","2026/01/03","土","2026/01/03 11:33:59","2026/01/03 11:56:51","1","3311","6","EAT IN","アルコール","00000001518:ほぼ倍ハイボール","","590","2026/01/03 11:33:59"
"No:202600100050316","2026/01/03","土","2026/01/03 11:33:59","2026/01/03 11:56:51","1","3311","6","EAT IN","アルコール","00000001526:ほぼ倍レモンサワー","","590","2026/01/03 11:37:43"
"No:202600100050316","2026/01/03","土","2026/01/03 11:33:59","2026/01/03 11:56:51","1","3311","6","EAT IN","アルコール","00000001526:ほぼ倍レモンサワー","","590","2026/01/03 11:49:16"
"No:202600100050317","2026/01/03","土","2026/01/03 11:36:15","2026/01/03 11:52:48","1","1694","1","EAT IN","アラカルト","00000001453:トリプル","定食セット(並盛)x1","1540","2026/01/03 11:36:15"
"No:202600100050318","2026/01/03","土","2026/01/03 11:40:45","2026/01/03 11:55:21","1","1694","1","EAT IN","アラカルト","00000001448:ビフハラ","定食セット(並盛)x1","1540","2026/01/03 11:40:45"
"No:202600100050319","2026/01/03","土","2026/01/03 11:48:41","2026/01/03 12:03:51","1","1940","1","シェアデリ","シェアデリ","00000001585:D ビフテキ M","並盛x1","1940","2026/01/03 11:48:41"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","アラカルト","00000001442:チキテキ L","","890","2026/01/03 11:54:07"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","アラカルト","00000001439:ハラミ L","定食セット(大盛)x1","1690","2026/01/03 11:54:07"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","アルコール","00000001515:ほぼ倍生ビール","","790","2026/01/03 11:54:07"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","トッピング","00000001481:どっさりチ―ズ","","100","2026/01/03 11:55:38"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","トッピング","00000001480:半熟玉子焼","","100","2026/01/03 11:55:38"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","トッピング","00000001480:半熟玉子焼","","100","2026/01/03 11:55:38"
"No:202600100050320","2026/01/03","土","2026/01/03 11:51:04","2026/01/03 12:38:19","2","4620","9","EAT IN","アルコール","00000001514:生ビール","","0","2026/01/03 12:21:36"
