date,daypart,total_sales,total_customers,slip_count,avg_unit_price,avg_customers_per_slip,alcohol_ratio,topping_ratio,soft_drink_ratio,unique_products,items_per_slip,peak_concentration,weekday,weekday_name,is_weekend,sales_category
2025-10-01,Dinner,132890,81,69,1640.6172839506173,1.173913043478261,0.04793438181955,0.0030100082775227632,0.0,41,1.8405797101449275,0.29001429753931823,2,Wednesday,0,Low
2025-10-02,Dinner,131820,84,67,1569.2857142857142,1.2537313432835822,0.018358367470793505,0.006068881808526779,0.0,43,1.9104477611940298,0.23350022758306782,3,Thursday,0,Low
2025-10-03,Dinner,163060,100,85,1630.6,1.1764705882352942,0.04378756286029682,0.005519440696676071,0.0,40,1.8941176470588235,0.21538084140807065,4,Friday,0,Middle
2025-10-04,Dinner,197510,119,87,1659.7478991596638,1.367816091954023,0.047238114525846794,0.004556731304744064,0.0,44,2.1954022988505746,0.16773834236241203,5,Saturday,1,High
2025-10-05,Dinner,210700,122,98,1727.049180327869,1.2448979591836735,0.06763170384432843,0.0014238253440911248,0.0011865211200759373,41,2.0,0.20237304224015187,6,Sunday,1,High
2025-10-06,Dinner,98990,62,53,1596.6129032258063,1.169811320754717,0.04697444186281442,0.0010102030508132135,0.0,35,1.830188679245283,0.24214567127992725,0,Monday,0,Low
2025-10-07,Dinner,118280,79,66,1497.2151898734178,1.196969696969697,0.026124450456543793,0.004227257355427798,0.0,37,1.7424242424242424,0.29244166384849507,1,Tuesday,0,Low
2025-10-08,Dinner,165390,98,73,1687.6530612244899,1.3424657534246576,0.0712255880041115,0.0036277888626881916,0.0015115786927867466,50,2.356164383561644,0.2865953201523671,2,Wednesday,0,Middle
2025-10-09,Dinner,178570,114,93,1566.4035087719299,1.2258064516129032,0.04340034720277762,0.008400067200537605,0.0,44,1.903225806451613,0.2564260514084113,3,Thursday,0,Middle
2025-10-10,Dinner,210230,125,103,1681.84,1.2135922330097086,0.04380916139466299,0.004281025543452409,0.0011891737620701136,53,1.9902912621359223,0.15188127289159492,4,Friday,0,High
2025-10-11,Dinner,186750,110,83,1697.7272727272727,1.3253012048192772,0.0664524765729585,0.005890227576974565,0.0,49,2.3493975903614457,0.271004016064257,5,Saturday,1,Middle
2025-10-12,Dinner,217200,128,87,1696.875,1.471264367816092,0.04659300184162063,0.004604051565377533,0.0,47,2.4367816091954024,0.2965009208103131,6,Sunday,1,High
2025-10-13,Dinner,193530,117,94,1654.1025641025642,1.2446808510638299,0.04784787888182711,0.008784167829277115,0.0,51,2.148936170212766,0.24099622797499096,0,Monday,0,Middle
2025-10-14,Dinner,74690,49,40,1524.2857142857142,1.225,0.04190654706118624,0.0013388673182487616,0.0,37,1.8,0.2009639844691391,1,Tuesday,0,Low
2025-10-15,Dinner,93450,60,48,1557.5,1.25,0.02557517388978063,0.006420545746388443,0.005350454788657036,37,2.0,0.3258426966292135,2,Wednesday,0,Low
