月,曜日,2025_営業日数,2025_日当たり客数,2026_営業日数,2026_日当たり客数,差分_日当たり客数,曜日順
1,月,,,4.0,51.0,,0
1,火,,,4.0,45.25,,1
1,水,,,4.0,39.25,,2
1,木,,,3.0,41.0,,3
1,金,,,3.0,73.33333333333333,,4
1,土,,,3.0,78.66666666666667,,5
1,日,,,3.0,70.0,,6
3,月,1.0,114.0,,,,0
3,木,1.0,118.0,,,,3
3,金,1.0,122.0,,,,4
3,土,1.0,152.0,,,,5
3,日,1.0,144.0,,,,6
4,月,4.0,84.75,,,,0
4,火,5.0,78.4,,,,1
4,水,5.0,76.6,,,,2
4,木,4.0,71.5,,,,3
4,金,4.0,65.0,,,,4
4,土,4.0,101.25,,,,5
4,日,4.0,96.0,,,,6
5,月,4.0,55.75,,,,0
5,火,4.0,44.75,,,,1
5,水,4.0,52.75,,,,2
5,木,5.0,57.0,,,,3
5,金,5.0,55.4,,,,4
5,土,5.0,81.4,,,,5
5,日,4.0,83.75,,,,6
6,月,5.0,51.0,,,,0
6,火,4.0,44.0,,,,1
6,水,4.0,55.75,,,,2
6,木,4.0,50.75,,,,3
6,金,4.0,74.5,,,,4
6,土,4.0,98.0,,,,5
6,日,5.0,94.2,,,,6
7,月,4.0,47.25,,,,0
7,火,5.0,52.4,,,,1
7,水,5.0,51.0,,,,2
7,木,5.0,49.2,,,,3
7,金,4.0,68.75,,,,4
7,土,4.0,94.0,,,,5
7,日,4.0,99.75,,,,6
8,月,4.0,67.0,,,,0
8,火,4.0,54.75,,,,1
8,水,4.0,52.0,,,,2
8,木,4.0,57.25,,,,3
8,金,5.0,67.2,,,,4
8,土,5.0,74.4,,,,5
8,日,5.0,69.6,,,,6
9,月,5.0,57.4,,,,0
9,火,5.0,61.0,,,,1
9,水,4.0,46.5,,,,2
9,木,4.0,44.25,,,,3
9,金,4.0,56.25,,,,4
9,土,4.0,75.5,,,,5
9,日,4.0,78.5,,,,6
10,月,4.0,49.0,,,,0
10,火,4.0,44.75,,,,1
10,水,5.0,48.6,,,,2
10,木,5.0,37.0,,,,3
10,金,5.0,68.2,,,,4
10,土,4.0,73.25,,,,5
10,日,4.0,75.5,,,,6
11,月,4.0,52.75,,,,0
11,火,4.0,33.25,,,,1
11,水,4.0,44.25,,,,2
11,木,4.0,47.25,,,,3
11,金,4.0,53.5,,,,4
11,土,5.0,76.4,,,,5
11,日,5.0,74.2,,,,6
12,月,5.0,48.4,,,,0
12,火,5.0,56.2,,,,1
12,水,4.0,40.5,,,,2
12,木,4.0,43.0,,,,3
12,金,4.0,62.75,,,,4
12,土,4.0,72.5,,,,5
12,日,4.0,76.0,,,,6
