月,時間帯,2025_営業日数,2025_日当たり客数,2026_営業日数,2026_日当たり客数,差分_日当たり客数,時間帯順
1,ランチ(11-15時),,,20.0,13.3,,0
1,アイドル(15-17時),,,9.0,6.888888888888889,,1
1,ディナー(17-22時),,,23.0,43.56521739130435,,2
1,その他,,,1.0,1.0,,3
3,ランチ(11-15時),4.0,3.5,,,,0
3,アイドル(15-17時),4.0,10.25,,,,1
3,ディナー(17-22時),5.0,112.6,,,,2
3,その他,4.0,8.0,,,,3
4,ランチ(11-15時),4.0,4.5,,,,0
4,アイドル(15-17時),7.0,13.571428571428571,,,,1
4,ディナー(17-22時),30.0,72.76666666666667,,,,2
4,その他,15.0,10.2,,,,3
5,ランチ(11-15時),7.0,4.571428571428571,,,,0
5,アイドル(15-17時),8.0,10.375,,,,1
5,ディナー(17-22時),31.0,56.96774193548387,,,,2
5,その他,9.0,4.0,,,,3
6,ランチ(11-15時),9.0,19.333333333333332,,,,0
6,アイドル(15-17時),9.0,5.888888888888889,,,,1
6,ディナー(17-22時),30.0,59.166666666666664,,,,2
6,その他,7.0,2.2857142857142856,,,,3
7,ランチ(11-15時),16.0,12.4375,,,,0
7,アイドル(15-17時),9.0,4.888888888888889,,,,1
7,ディナー(17-22時),31.0,56.354838709677416,,,,2
7,その他,5.0,2.4,,,,3
8,ランチ(11-15時),30.0,8.866666666666667,,,,0
8,アイドル(15-17時),11.0,3.1818181818181817,,,,1
8,ディナー(17-22時),31.0,53.774193548387096,,,,2
8,その他,5.0,2.4,,,,3
9,ランチ(11-15時),28.0,7.714285714285714,,,,0
9,アイドル(15-17時),8.0,3.0,,,,1
9,ディナー(17-22時),30.0,50.53333333333333,,,,2
9,その他,2.0,20.0,,,,3
10,ランチ(11-15時),28.0,7.107142857142857,,,,0
10,アイドル(15-17時),8.0,3.125,,,,1
10,ディナー(17-22時),31.0,48.41935483870968,,,,2
10,その他,6.0,2.3333333333333335,,,,3
11,ランチ(11-15時),24.0,9.583333333333334,,,,0
11,アイドル(15-17時),7.0,3.0,,,,1
11,ディナー(17-22時),30.0,46.766666666666666,,,,2
11,その他,6.0,3.8333333333333335,,,,3
12,ランチ(11-15時),25.0,11.48,,,,0
12,アイドル(15-17時),9.0,4.777777777777778,,,,1
12,ディナー(17-22時),30.0,45.1,,,,2
12,その他,5.0,3.8,,,,3
