date,daypart,total_sales,total_customers,slip_count,avg_unit_price,avg_customers_per_slip,alcohol_ratio,topping_ratio,soft_drink_ratio,unique_products,items_per_slip,peak_concentration,weekday,weekday_name,is_weekend,sales_category
2025-11-30,Lunch,93402,28,13,3335.785714285714,2.1538461538461537,0.0,0.0,0.013864799468962121,72,12.846153846153847,0.0,6,Sunday,1,High
2025-11-29,Lunch,26147,7,5,3735.285714285714,1.4,0.0,0.0,0.016407236011779555,54,12.4,0.0,5,Saturday,1,Middle
2025-11-28,Lunch,20218,7,4,2888.285714285714,1.75,0.0,0.0,0.0,24,8.75,0.09630032644178455,4,Friday,0,Middle
2025-11-27,Lunch,10513,4,3,2628.25,1.3333333333333333,0.0,0.0,0.010272995339103967,21,8.0,0.0,3,Thursday,0,Middle
2025-11-25,Lunch,63071,17,5,3710.0588235294117,3.4,0.0,0.0,0.06343644464175295,43,14.0,0.5025764614482091,1,Tuesday,0,High
2025-11-24,Lunch,39341,12,6,3278.4166666666665,2.0,0.0,0.0,0.03284105640426019,39,12.166666666666666,0.12015454614778476,0,Monday,0,High
2025-11-23,Lunch,54264,18,8,3014.6666666666665,2.25,0.0,0.0,0.009988205808639246,53,12.5,0.0,6,Sunday,1,High
2025-11-22,Lunch,86729,29,14,2990.655172413793,2.0714285714285716,0.0,0.0,0.02499740571204557,69,9.857142857142858,0.0,5,Saturday,1,High
2025-11-20,Lunch,23637,8,3,2954.625,2.6666666666666665,0.0,0.0,0.022718619114100773,31,12.333333333333334,0.0,3,Thursday,0,Middle
2025-11-19,Lunch,33594,10,5,3359.4,2.0,0.0,0.0,0.016133833422634993,57,14.6,0.0,2,Wednesday,0,Middle
2025-11-17,Lunch,13449,6,4,2241.5,1.5,0.0,0.0,0.008030336828016953,21,6.25,0.0,0,Monday,0,Middle
2025-11-16,Lunch,28066,12,6,2338.8333333333335,2.0,0.0,0.0,0.011579847502315969,38,8.166666666666666,0.0,6,Sunday,1,Middle
2025-11-15,Lunch,25643,9,5,2849.222222222222,1.8,0.0,0.0,0.016885699801115314,40,10.0,0.0,5,Saturday,1,Middle
2025-11-14,Lunch,2035,2,1,1017.5,2.0,0.0,0.0,0.0,7,7.0,0.0,4,Friday,0,Low
2025-11-13,Lunch,20463,7,5,2923.285714285714,1.4,0.0,0.0,0.01593119288471876,33,9.6,0.12632556321165028,3,Thursday,0,Middle
2025-11-12,Lunch,2924,1,1,2924.0,1.0,0.0,0.0,0.036935704514363885,5,5.0,0.0,2,Wednesday,0,Low
2025-11-11,Lunch,2033,1,1,2033.0,1.0,0.0,0.0,0.05312346286276439,7,7.0,0.0,1,Tuesday,0,Low
2025-11-10,Lunch,1186,1,1,1186.0,1.0,0.0,0.0,0.09106239460370995,3,3.0,0.0,0,Monday,0,Low
2025-11-09,Lunch,29857,12,5,2488.0833333333335,2.4,0.0,0.0,0.007267977358743343,51,12.0,0.0,6,Sunday,1,Middle
2025-11-08,Lunch,49325,19,7,2596.0526315789475,2.7142857142857144,0.0,0.0,0.02838317283324886,49,12.142857142857142,0.0,5,Saturday,1,High
2025-11-06,Lunch,3683,2,1,1841.5,2.0,0.0,0.0,0.02932392071680695,5,5.0,0.0,3,Thursday,0,Low
2025-11-04,Lunch,5696,2,1,2848.0,2.0,0.0,0.0,0.018960674157303372,10,10.0,0.0,1,Tuesday,0,Low
2025-11-03,Lunch,45183,17,8,2657.823529411765,2.125,0.0,0.0,0.00719297080760463,43,8.25,0.0,0,Monday,0,High
2025-11-02,Lunch,31549,12,7,2629.0833333333335,1.7142857142857142,0.0,0.0,0.027354274303464453,41,8.0,0.0,6,Sunday,1,Middle
2025-11-01,Lunch,22693,7,4,3241.8571428571427,1.75,0.0,0.0,0.0,33,10.75,0.0,5,Saturday,1,Middle
2025-10-31,Lunch,10239,2,2,5119.5,1.0,0.0,0.0,0.0,16,9.0,0.0,4,Friday,0,Middle
2025-10-30,Lunch,10450,4,2,2612.5,2.0,0.0,0.0,0.0,15,9.0,0.0,3,Thursday,0,Middle
2025-10-29,Lunch,9152,4,2,2288.0,2.0,0.0,0.0,0.0,16,9.0,0.0,2,Wednesday,0,Middle
2025-10-28,Lunch,20135,6,4,3355.8333333333335,1.5,0.0,0.0,0.01619071268934691,27,9.0,0.0,1,Tuesday,0,Middle
2025-10-27,Lunch,12009,5,3,2401.8,1.6666666666666667,0.0,0.0,0.018069780997585144,15,5.333333333333333,0.0,0,Monday,0,Middle
2025-10-26,Lunch,21462,6,3,3577.0,2.0,0.0,0.0,0.020221787345075015,34,13.666666666666666,0.0,6,Sunday,1,Middle
2025-10-25,Lunch,59320,21,9,2824.7619047619046,2.3333333333333335,0.0,0.0,0.01638570465273095,58,11.11111111111111,0.0,5,Saturday,1,High
2025-10-24,Lunch,7854,3,2,2618.0,1.5,0.0,0.0,0.0,13,7.5,0.0,4,Friday,0,Low
2025-10-23,Lunch,3476,1,1,3476.0,1.0,0.0,0.0,0.0,5,5.0,0.0,3,Thursday,0,Low
2025-10-22,Lunch,3663,2,1,1831.5,2.0,0.0,0.0,0.0,6,6.0,0.0,2,Wednesday,0,Low
2025-10-21,Lunch,11734,3,2,3911.3333333333335,1.5,0.0,0.0,0.018493267427987046,22,11.5,0.0,1,Tuesday,0,Middle
2025-10-19,Lunch,86377,34,14,2540.5,2.4285714285714284,0.0,0.0,0.03753313960892367,91,12.357142857142858,0.0,6,Sunday,1,High
2025-10-18,Lunch,39799,14,5,2842.785714285714,2.8,0.0,0.0,0.008166034322470414,46,11.8,0.0,5,Saturday,1,High
2025-10-17,Lunch,18755,5,3,3751.0,1.6666666666666667,0.0,0.0,0.0,22,8.333333333333334,0.0,4,Friday,0,Middle
2025-10-16,Lunch,9918,2,1,4959.0,2.0,0.0,0.0,0.10838878806210929,18,18.0,0.0,3,Thursday,0,Middle
2025-10-15,Lunch,2574,2,1,1287.0,2.0,0.0,0.0,0.0,5,5.0,0.0,2,Wednesday,0,Low
2025-10-14,Lunch,5929,2,1,2964.5,2.0,0.0,0.0,0.0,12,12.0,0.0,1,Tuesday,0,Low
2025-10-13,Lunch,55507,20,9,2775.35,2.2222222222222223,0.0,0.0,0.019366926693930496,54,11.222222222222221,0.0,0,Monday,0,High
2025-10-12,Lunch,34203,12,6,2850.25,2.0,0.0,0.0,0.006344472707072479,43,10.333333333333334,0.0,6,Sunday,1,Middle
2025-10-11,Lunch,44025,12,4,3668.75,3.0,0.0,0.0,0.02205565019875071,51,18.25,0.0,5,Saturday,1,High
2025-10-10,Lunch,4957,2,1,2478.5,2.0,0.0,0.0,0.06576558402259432,11,11.0,0.0,4,Friday,0,Low
2025-10-09,Lunch,5819,2,1,2909.5,2.0,0.0,0.0,0.0,10,15.0,0.0,3,Thursday,0,Low
2025-10-08,Lunch,7676,4,3,1919.0,1.3333333333333333,0.0,0.0,0.014069828035435123,18,6.0,0.0,2,Wednesday,0,Low
2025-10-07,Lunch,2585,1,1,2585.0,1.0,0.0,0.0,0.0,4,4.0,0.0,1,Tuesday,0,Low
2025-10-06,Lunch,17547,6,3,2924.5,2.0,0.0,0.0,0.037100359035732604,29,11.666666666666666,0.0,0,Monday,0,Middle
2025-10-05,Lunch,43267,14,8,3090.5,1.75,0.0,0.0,0.002496128689301315,51,9.625,0.0,6,Sunday,1,High
2025-10-04,Lunch,16064,7,4,2294.8571428571427,1.75,0.0,0.0,0.033802290836653384,25,7.0,0.0,5,Saturday,1,Middle
2025-10-02,Lunch,12395,4,2,3098.75,2.0,0.0,0.0,0.008713190802743041,21,11.5,0.0,3,Thursday,0,Middle
2025-10-01,Lunch,17708,6,4,2951.3333333333335,1.5,0.0,0.0,0.0,21,7.0,0.0,2,Wednesday,0,Middle
2025-09-30,Lunch,5716,2,1,2858.0,2.0,0.0,0.0,0.01906927921623513,13,13.0,0.0,1,Tuesday,0,Low
2025-09-29,Lunch,2053,2,1,1026.5,2.0,0.0,0.0,0.0,5,7.0,0.0,0,Monday,0,Low
2025-09-28,Lunch,36705,16,6,2294.0625,2.6666666666666665,0.0,0.0,0.017599782046042775,50,11.833333333333334,0.0,6,Sunday,1,Middle
2025-09-27,Lunch,12214,4,2,3053.5,2.0,0.0,0.0,0.008924185361061078,23,12.0,0.0,5,Saturday,1,Middle
2025-09-26,Lunch,8740,4,3,2185.0,1.3333333333333333,0.0,0.0,0.0,17,6.666666666666667,0.0,4,Friday,0,Middle
2025-09-25,Lunch,2682,1,1,2682.0,1.0,0.0,0.0,0.0,7,7.0,0.0,3,Thursday,0,Low
2025-09-24,Lunch,3775,4,2,943.75,2.0,0.0,0.0,0.0,10,6.0,0.0,2,Wednesday,0,Low
2025-09-23,Lunch,76650,29,14,2643.103448275862,2.0714285714285716,0.0,0.0,0.01968688845401174,61,10.642857142857142,0.0,1,Tuesday,0,High
2025-09-22,Lunch,13488,8,4,1686.0,2.0,0.0,0.0,0.024169632265717673,21,6.5,0.3047153024911032,0,Monday,0,Middle
2025-09-21,Lunch,52937,18,7,2940.9444444444443,2.5714285714285716,0.0,0.0,0.016302397189111584,48,11.857142857142858,0.0,6,Sunday,1,High
2025-09-20,Lunch,35849,9,5,3983.222222222222,1.8,0.0,0.0,0.006053167452369662,42,13.2,0.0,5,Saturday,1,Middle
2025-09-19,Lunch,3011,1,1,3011.0,1.0,0.0,0.0,0.0,8,8.0,0.0,4,Friday,0,Low
2025-09-18,Lunch,7791,4,2,1947.75,2.0,0.0,0.0,0.06982415607752535,14,7.0,0.0,3,Thursday,0,Low
2025-09-17,Lunch,14480,5,3,2896.0,1.6666666666666667,0.0,0.0,0.04509668508287293,30,12.333333333333334,0.0,2,Wednesday,0,Middle
2025-09-16,Lunch,22038,7,4,3148.285714285714,1.75,0.0,0.0,0.0,27,9.0,0.0,1,Tuesday,0,Middle
2025-09-15,Lunch,35309,14,7,2522.0714285714284,2.0,0.0,0.0,0.0365912373615792,44,10.571428571428571,0.0,0,Monday,0,Middle
2025-09-14,Lunch,73725,29,14,2542.2413793103447,2.0714285714285716,0.0,0.0,0.022027806035944387,75,11.285714285714286,0.0,6,Sunday,1,High
2025-09-13,Lunch,31630,10,5,3163.0,2.0,0.0,0.0,0.04792918115712931,45,11.8,0.0,5,Saturday,1,Middle
2025-09-12,Lunch,7015,2,1,3507.5,2.0,0.0,0.0,0.0,12,13.0,0.0,4,Friday,0,Low
2025-09-11,Lunch,23380,8,5,2922.5,1.6,0.0,0.0,0.009281437125748504,42,11.8,0.0,3,Thursday,0,Middle
2025-09-10,Lunch,12938,3,2,4312.666666666667,1.5,0.0,0.0,0.0,26,13.5,0.0,2,Wednesday,0,Middle
2025-09-09,Lunch,3901,3,2,1300.3333333333333,1.5,0.0,0.0,0.0,8,4.0,0.0,1,Tuesday,0,Low
2025-09-08,Lunch,11830,3,1,3943.3333333333335,3.0,0.0,0.0,0.01842772612003381,13,13.0,0.0,0,Monday,0,Middle
2025-09-07,Lunch,27388,8,4,3423.5,2.0,0.0,0.0,0.01960712720899664,42,14.5,0.0,6,Sunday,1,Middle
2025-09-06,Lunch,29468,9,5,3274.222222222222,1.8,0.0,0.0,0.011062847834939596,42,11.0,0.0,5,Saturday,1,Middle
2025-09-05,Lunch,3696,1,1,3696.0,1.0,0.0,0.0,0.0,4,6.0,0.0,4,Friday,0,Low
2025-09-02,Lunch,8496,4,2,2124.0,2.0,0.0,0.0,0.025659133709981168,16,9.0,0.0,1,Tuesday,0,Middle
2025-09-01,Lunch,12854,4,2,3213.5,2.0,0.0,0.0,0.0,19,10.0,0.0,0,Monday,0,Middle
2025-08-31,Lunch,69351,26,9,2667.346153846154,2.888888888888889,0.0,0.0,0.04051852172283024,64,14.444444444444445,0.0,6,Sunday,1,High
2025-08-30,Lunch,18488,7,4,2641.1428571428573,1.75,0.0,0.0,0.03521202942449156,28,8.0,0.0,5,Saturday,1,Middle
2025-08-29,Lunch,54913,19,10,2890.157894736842,1.9,0.0,0.0,0.007903410849889827,73,12.5,0.0,4,Friday,0,High
2025-08-28,Lunch,8344,5,2,1668.8,2.5,0.0,0.0,0.0,10,5.0,0.0,3,Thursday,0,Middle
2025-08-27,Lunch,3790,2,1,1895.0,2.0,0.0,0.0,0.05725593667546174,9,9.0,0.0,2,Wednesday,0,Low
2025-08-26,Lunch,4774,2,1,2387.0,2.0,0.0,0.0,0.0,6,6.0,0.0,1,Tuesday,0,Low
2025-08-25,Lunch,10700,2,1,5350.0,2.0,0.0,0.0,0.0,19,19.0,0.0,0,Monday,0,Middle
2025-08-24,Lunch,30392,11,6,2762.909090909091,1.8333333333333333,0.0,0.0,0.02480916030534351,44,10.666666666666666,0.0,6,Sunday,1,Middle
2025-08-23,Lunch,48475,15,6,3231.6666666666665,2.5,0.0,0.0,0.013450232078390923,40,11.5,0.08253739040742651,5,Saturday,1,High
2025-08-22,Lunch,18900,12,5,1575.0,2.4,0.0,0.0,0.028412698412698414,19,4.6,0.0,4,Friday,0,Middle
2025-08-21,Lunch,6683,2,1,3341.5,2.0,0.0,0.0,0.0,14,14.0,0.0,3,Thursday,0,Low
2025-08-20,Lunch,6806,4,2,1701.5,2.0,0.0,0.0,0.03188363208933294,21,10.5,0.0,2,Wednesday,0,Low
2025-08-19,Lunch,5266,3,2,1755.3333333333333,1.5,0.0,0.0,0.0,10,5.5,0.0,1,Tuesday,0,Low
2025-08-18,Lunch,26000,9,5,2888.8888888888887,1.8,0.0,0.0,0.0,41,12.4,0.0,0,Monday,0,Middle
2025-08-17,Lunch,59931,23,10,2605.695652173913,2.3,0.0,0.0,0.019872853781849126,52,11.3,0.0,6,Sunday,1,High
2025-08-16,Lunch,14376,8,4,1797.0,2.0,0.0,0.0,0.022746243739565943,29,8.5,0.0,5,Saturday,1,Middle
2025-08-15,Lunch,12846,7,4,1835.142857142857,1.75,0.0,0.0,0.0,22,6.75,0.3099797602366495,4,Friday,0,Middle
2025-08-14,Lunch,22228,11,5,2020.7272727272727,2.2,0.0,0.0,0.004903725031491812,36,9.0,0.0,3,Thursday,0,Middle
2025-08-13,Lunch,43866,12,7,3655.5,1.7142857142857142,0.0,0.0,0.017188711074636393,44,10.857142857142858,0.0,2,Wednesday,0,High
2025-08-12,Lunch,20328,10,3,2032.8,3.3333333333333335,0.0,0.0,0.08441558441558442,21,8.666666666666666,0.0,1,Tuesday,0,Middle
2025-08-11,Lunch,62646,22,10,2847.5454545454545,2.2,0.0,0.0,0.012131660441209335,67,13.2,0.0,0,Monday,0,High
2025-08-10,Lunch,12726,4,3,3181.5,1.3333333333333333,0.0,0.0,0.017051705170517052,24,9.666666666666666,0.0,6,Sunday,1,Middle
2025-08-09,Lunch,7526,3,2,2508.6666666666665,1.5,0.0,0.0,0.0,16,10.0,0.0,5,Saturday,1,Low
2025-08-08,Lunch,12756,3,2,4252.0,1.5,0.0,0.0,0.05918783317654437,18,10.5,0.0,4,Friday,0,Middle
2025-08-07,Lunch,4111,2,1,2055.5,2.0,0.0,0.0,0.052785210411092194,8,8.0,0.0,3,Thursday,0,Low
2025-08-06,Lunch,12509,4,1,3127.25,4.0,0.0,0.0,0.0696298664961228,17,19.0,0.0,2,Wednesday,0,Middle
2025-08-05,Lunch,3023,2,1,1511.5,2.0,0.0,0.0,0.1419120079391333,7,7.0,0.0,1,Tuesday,0,Low
