date,total_sales,slip_count,total_customers,segment,period,daypart,avg_spend_per_customer,weekday,weekday_name
2025-04-01,122534,20,47,After_Dinner,After,Dinner,2607.1063829787236,1,Tuesday
2025-04-02,205648,45,105,After_Dinner,After,Dinner,1958.5523809523809,2,Wednesday
2025-04-03,213879,44,101,After_Dinner,After,Dinner,2117.6138613861385,3,Thursday
2025-04-04,217129,42,97,After_Dinner,After,Dinner,2238.443298969072,4,Friday
2025-04-05,330002,56,119,After_Dinner,After,Dinner,2773.126050420168,5,Saturday
2025-04-06,313993,52,123,After_Dinner,After,Dinner,2552.788617886179,6,Sunday
2025-04-07,222405,41,103,After_Dinner,After,Dinner,2159.2718446601943,0,Monday
2025-04-08,301444,41,98,After_Dinner,After,Dinner,3075.9591836734694,1,Tuesday
2025-04-09,197076,42,101,After_Dinner,After,Dinner,1951.2475247524753,2,Wednesday
2025-04-10,159932,33,68,After_Dinner,After,Dinner,2351.9411764705883,3,Thursday
2025-04-11,110940,17,39,After_Dinner,After,Dinner,2844.6153846153848,4,Friday
2025-04-12,195369,39,104,After_Dinner,After,Dinner,1878.548076923077,5,Saturday
2025-04-13,183852,32,78,After_Dinner,After,Dinner,2357.076923076923,6,Sunday
2025-04-14,203149,35,102,After_Dinner,After,Dinner,1991.6568627450981,0,Monday
2025-04-15,127937,24,59,After_Dinner,After,Dinner,2168.423728813559,1,Tuesday
2025-04-16,172636,32,80,After_Dinner,After,Dinner,2157.95,2,Wednesday
2025-04-17,143252,25,60,After_Dinner,After,Dinner,2387.5333333333333,3,Thursday
2025-04-18,169212,30,66,After_Dinner,After,Dinner,2563.818181818182,4,Friday
2025-04-19,211322,43,102,After_Dinner,After,Dinner,2071.7843137254904,5,Saturday
2025-04-20,226629,42,100,After_Dinner,After,Dinner,2266.29,6,Sunday
2025-04-21,138395,22,50,After_Dinner,After,Dinner,2767.9,0,Monday
2025-04-22,143059,30,76,After_Dinner,After,Dinner,1882.3552631578948,1,Tuesday
2025-04-23,106727,17,36,After_Dinner,After,Dinner,2964.6388888888887,2,Wednesday
2025-04-24,155893,25,57,After_Dinner,After,Dinner,2734.964912280702,3,Thursday
2025-04-25,264158,11,56,After_Dinner,After,Dinner,4717.107142857143,4,Friday
2025-04-26,190516,32,75,After_Dinner,After,Dinner,2540.213333333333,5,Saturday
2025-04-27,232443,30,82,After_Dinner,After,Dinner,2834.670731707317,6,Sunday
2025-04-28,210232,22,84,After_Dinner,After,Dinner,2502.7619047619046,0,Monday
2025-04-29,186290,41,100,After_Dinner,After,Dinner,1862.9,1,Tuesday
2025-04-30,170686,29,61,After_Dinner,After,Dinner,2798.1311475409834,2,Wednesday
2025-05-01,189806,27,81,After_Dinner,After,Dinner,2343.283950617284,3,Thursday
2025-05-02,140048,23,56,After_Dinner,After,Dinner,2500.8571428571427,4,Friday
2025-05-03,186121,33,75,After_Dinner,After,Dinner,2481.6133333333332,5,Saturday
2025-05-04,201392,31,84,After_Dinner,After,Dinner,2397.5238095238096,6,Sunday
2025-05-05,176728,35,87,After_Dinner,After,Dinner,2031.3563218390805,0,Monday
2025-05-06,111985,20,46,After_Dinner,After,Dinner,2434.4565217391305,1,Tuesday
2025-05-07,117502,16,41,After_Dinner,After,Dinner,2865.9024390243903,2,Wednesday
2025-05-08,111037,19,45,After_Dinner,After,Dinner,2467.488888888889,3,Thursday
2025-05-09,253126,16,49,After_Dinner,After,Dinner,5165.836734693878,4,Friday
2025-05-10,168066,28,65,After_Dinner,After,Dinner,2585.630769230769,5,Saturday
2025-05-11,202146,32,72,After_Dinner,After,Dinner,2807.5833333333335,6,Sunday
2025-05-12,102287,17,44,After_Dinner,After,Dinner,2324.7045454545455,0,Monday
2025-05-13,242732,9,24,After_Dinner,After,Dinner,10113.833333333334,1,Tuesday
2025-05-14,148060,22,54,After_Dinner,After,Dinner,2741.8518518518517,2,Wednesday
2025-05-15,142624,19,44,After_Dinner,After,Dinner,3241.4545454545455,3,Thursday
2025-05-16,183676,26,62,After_Dinner,After,Dinner,2962.516129032258,4,Friday
2025-05-17,195083,27,67,After_Dinner,After,Dinner,2911.686567164179,5,Saturday
2025-05-18,242439,32,102,After_Dinner,After,Dinner,2376.8529411764707,6,Sunday
