business_date,day_sales_total,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_category
2025/03/27,267394,79.49659863945578,2149.5846695821183,2.4081632653061225,49,高売上日
2025/03/28,271670,94.4898148148148,2240.3533950617284,2.259259259259259,54,高売上日
2025/03/29,422638,101.29666666666667,1066.96,4.3428571428571425,35,高売上日
2025/03/30,472765,76.18820512820513,2528.0487179487177,2.2153846153846155,65,高売上日
2025/03/31,226045,77.17411347517731,1966.6659574468085,2.425531914893617,47,高売上日
2025/04/01,122534,91.30916666666667,2618.4375,2.35,20,低売上日
2025/04/02,205648,73.40074074074074,1988.1255555555554,2.3333333333333335,45,高売上日
2025/04/03,213879,74.09507575757576,2211.350378787879,2.2954545454545454,44,高売上日
2025/04/04,223129,80.0939393939394,2450.842803030303,2.25,44,高売上日
2025/04/05,330002,69.58065476190477,3415.6892857142857,2.125,56,高売上日
2025/04/06,313993,74.6900641025641,2767.092216117216,2.3653846153846154,52,高売上日
2025/04/07,222405,79.82723577235772,2152.5601045296166,2.5121951219512195,41,高売上日
2025/04/08,301444,75.58983739837399,2691.2650406504067,2.3902439024390243,41,高売上日
2025/04/09,197076,78.19722222222222,2080.8996598639455,2.4047619047619047,42,高売上日
2025/04/10,159932,87.53585858585859,2331.184343434343,2.0606060606060606,33,低売上日
2025/04/11,110940,105.48823529411764,2867.8186274509803,2.2941176470588234,17,低売上日
2025/04/12,195369,78.15897435897435,2243.6581196581196,2.6666666666666665,39,高売上日
2025/04/13,183852,79.9671875,2423.0125,2.4375,32,低売上日
2025/04/14,203149,89.71380952380953,2331.8552380952383,2.914285714285714,35,高売上日
2025/04/15,127937,91.56527777777778,2223.329861111111,2.4583333333333335,24,低売上日
2025/04/16,172636,80.31510416666667,2230.0354166666666,2.5,32,低売上日
2025/04/17,143252,84.89533333333333,2609.7053333333333,2.4,25,低売上日
2025/04/18,169212,81.23722222222223,2568.2477777777776,2.2,30,低売上日
2025/04/19,211322,66.96434108527131,2243.295542635659,2.372093023255814,43,高売上日
2025/04/20,226629,87.06468253968254,2259.5476190476193,2.380952380952381,42,高売上日
2025/04/21,138395,92.26439393939394,2742.6886363636363,2.272727272727273,22,低売上日
2025/04/22,143059,67.795,2259.5632275132275,2.533333333333333,30,低売上日
2025/04/23,106727,97.0343137254902,3034.6421568627447,2.1176470588235294,17,低売上日
2025/04/24,155893,103.51266666666666,2845.503333333333,2.28,25,低売上日
