business_date,entry_16_bucket,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_total,day_sales_category
2025/03/27,16時以降入店,78.95777777777778,2199.7810846560847,2.422222222222222,45,267394,高売上日
2025/03/27,16時前入店,85.55833333333334,1584.875,2.25,4,267394,高売上日
2025/03/28,16時以降入店,74.00633333333333,2019.2616666666665,2.36,50,271670,高売上日
2025/03/28,16時前入店,350.5333333333333,5004.0,1.0,4,271670,高売上日
2025/03/29,16時以降入店,82.21600000000001,1493.744,5.04,25,422638,高売上日
2025/03/29,16時前入店,148.99833333333333,0.0,2.6,10,422638,高売上日
2025/03/30,16時以降入店,73.76747311827957,2121.8790322580644,2.1774193548387095,62,472765,高売上日
2025/03/30,16時前入店,126.21666666666665,10922.222222222223,3.0,3,472765,高売上日
2025/03/31,16時以降入店,74.63297101449275,1961.5934782608697,2.4565217391304346,46,226045,高売上日
2025/03/31,16時前入店,194.06666666666666,2200.0,1.0,1,226045,高売上日
2025/04/01,16時以降入店,91.30916666666667,2618.4375,2.35,20,122534,低売上日
2025/04/02,16時以降入店,73.40074074074074,1988.1255555555554,2.3333333333333335,45,205648,高売上日
2025/04/03,16時以降入店,74.09507575757576,2211.350378787879,2.2954545454545454,44,213879,高売上日
2025/04/04,16時以降入店,79.90833333333333,2424.6924603174602,2.3095238095238093,42,223129,高売上日
2025/04/04,16時前入店,83.99166666666667,3000.0,1.0,2,223129,高売上日
2025/04/05,16時以降入店,69.58065476190477,3415.6892857142857,2.125,56,330002,高売上日
2025/04/06,16時以降入店,74.6900641025641,2767.092216117216,2.3653846153846154,52,313993,高売上日
2025/04/07,16時以降入店,79.82723577235772,2152.5601045296166,2.5121951219512195,41,222405,高売上日
2025/04/08,16時以降入店,75.58983739837399,2691.2650406504067,2.3902439024390243,41,301444,高売上日
2025/04/09,16時以降入店,78.19722222222222,2080.8996598639455,2.4047619047619047,42,197076,高売上日
2025/04/10,16時以降入店,87.53585858585859,2331.184343434343,2.0606060606060606,33,159932,低売上日
2025/04/11,16時以降入店,105.48823529411764,2867.8186274509803,2.2941176470588234,17,110940,低売上日
2025/04/12,16時以降入店,78.15897435897435,2243.6581196581196,2.6666666666666665,39,195369,高売上日
2025/04/13,16時以降入店,79.9671875,2423.0125,2.4375,32,183852,低売上日
2025/04/14,16時以降入店,89.71380952380953,2331.8552380952383,2.914285714285714,35,203149,高売上日
2025/04/15,16時以降入店,91.56527777777778,2223.329861111111,2.4583333333333335,24,127937,低売上日
2025/04/16,16時以降入店,80.31510416666667,2230.0354166666666,2.5,32,172636,低売上日
2025/04/17,16時以降入店,84.89533333333333,2609.7053333333333,2.4,25,143252,低売上日
2025/04/18,16時以降入店,81.23722222222223,2568.2477777777776,2.2,30,169212,低売上日
2025/04/19,16時以降入店,66.96434108527131,2243.295542635659,2.372093023255814,43,211322,高売上日
2025/04/20,16時以降入店,86.18243243243244,2295.7567567567567,2.4324324324324325,37,226629,高売上日
2025/04/20,16時前入店,93.59333333333333,1991.6,2.0,5,226629,高売上日
2025/04/21,16時以降入店,92.26439393939394,2742.6886363636363,2.272727272727273,22,138395,低売上日
2025/04/22,16時以降入店,67.795,2259.5632275132275,2.533333333333333,30,143059,低売上日
2025/04/23,16時以降入店,97.0343137254902,3034.6421568627447,2.1176470588235294,17,106727,低売上日
2025/04/24,16時以降入店,103.51266666666666,2845.503333333333,2.28,25,155893,低売上日
2025/04/25,16時以降入店,96.62727272727274,6118.636363636364,5.090909090909091,11,264158,高売上日
2025/04/26,16時以降入店,97.02956989247312,2546.793548387097,2.3548387096774195,31,193316,低売上日
2025/04/26,16時前入店,35.955555555555556,605.5555555555555,2.3333333333333335,3,193316,低売上日
2025/04/27,16時以降入店,100.94444444444444,2763.1533333333336,2.7333333333333334,30,233743,高売上日
2025/04/27,16時前入店,69.95,1300.0,1.0,1,233743,高売上日
2025/04/28,16時以降入店,99.53636363636365,2628.3300685425684,3.8181818181818183,22,210232,高売上日
2025/04/29,16時以降入店,74.6351851851852,2019.3180555555555,2.4722222222222223,36,201730,高売上日
2025/04/29,16時前入店,56.24848484848485,1353.3333333333335,2.090909090909091,11,201730,高売上日
2025/04/30,16時以降入店,90.74597701149425,2742.747126436782,2.103448275862069,29,170686,低売上日
2025/05/01,16時以降入店,93.82098765432099,2391.4783950617284,3.0,27,189806,低売上日
2025/05/02,16時以降入店,97.12318840579711,2594.336956521739,2.4347826086956523,23,140048,低売上日
2025/05/03,16時以降入店,88.78392857142856,2678.7029761904764,2.2857142857142856,28,196761,高売上日
2025/05/03,16時前入店,51.172916666666666,1404.5833333333333,2.125,8,196761,高売上日
2025/05/04,16時以降入店,97.44569892473118,2493.3693548387096,2.7096774193548385,31,201392,高売上日
2025/05/05,16時以降入店,91.71458333333334,2123.366666666667,2.53125,32,176728,低売上日
2025/05/05,16時前入店,35.894444444444446,1383.3333333333333,2.0,3,176728,低売上日
2025/05/06,16時以降入店,93.57083333333334,2514.991666666667,2.3,20,111985,低売上日
2025/05/07,16時以降入店,95.215625,3011.389583333333,2.5625,16,117502,低売上日
2025/05/08,16時以降入店,102.92280701754386,2399.1973684210525,2.3684210526315788,19,111037,低売上日
2025/05/09,16時以降入店,106.99166666666667,4207.613888888889,3.0625,16,253126,高売上日
