H.伝票番号,H.集計対象営業年月日,entry_dt,exit_dt,stay_minutes,H.客数（合計）,H.小計
No:3100,2025/07/06,2025-07-06 20:24:59,2025-07-07 15:09:58,1124.9833333333333,2,4958
No:155,2025/03/28,2025-03-28 11:43:54,2025-03-28 23:06:17,682.3833333333333,1,11516
No:156,2025/03/28,2025-03-28 11:48:09,2025-03-28 23:06:27,678.3,1,5800
No:256,2025/03/30,2025-03-30 16:14:33,2025-03-30 23:06:39,412.1,1,4600
No:4025,2025/08/10,2025-08-10 14:06:10,2025-08-10 20:00:32,354.3666666666667,4,19640
No:2296,2025/06/07,2025-06-07 17:16:19,2025-06-07 22:39:19,323.0,5,31156
No:7625,2026/01/13,2026-01-13 17:07:53,2026-01-13 22:30:49,322.93333333333334,4,29852
No:3479,2025/07/20,2025-07-20 17:20:17,2025-07-20 22:42:56,322.65,2,14390
No:6733,2025/11/30,2025-11-30 17:02:04,2025-11-30 22:23:51,321.78333333333336,2,13337
No:5949,2025/10/27,2025-10-27 17:00:06,2025-10-27 22:21:46,321.6666666666667,5,22044
No:194,2025/03/30,2025-03-30 10:54:35,2025-03-30 16:10:46,316.18333333333334,6,187600
No:739,2025/04/11,2025-04-11 17:20:34,2025-04-11 22:31:28,310.9,2,13686
No:1729,2025/05/18,2025-05-18 14:16:00,2025-05-18 19:19:35,303.5833333333333,8,19586
No:6284,2025/11/12,2025-11-12 17:25:09,2025-11-12 22:14:50,289.68333333333334,10,55000
No:2299,2025/06/07,2025-06-07 18:05:17,2025-06-07 22:53:17,288.0,4,15783
No:2670,2025/06/21,2025-06-21 17:01:58,2025-06-21 21:49:03,287.0833333333333,5,21001
No:1643,2025/05/14,2025-05-14 18:12:12,2025-05-14 22:55:59,283.78333333333336,2,6352
No:6614,2025/11/25,2025-11-25 17:27:15,2025-11-25 22:10:44,283.48333333333335,5,75952
No:5382,2025/10/03,2025-10-03 17:54:54,2025-10-03 22:34:19,279.4166666666667,7,41505
No:869,2025/04/15,2025-04-15 17:39:35,2025-04-15 22:18:35,279.0,2,6710
No:7525,2026/01/09,2026-01-09 13:55:04,2026-01-09 18:32:13,277.15,34,175000
No:1479,2025/05/06,2025-05-06 17:01:37,2025-05-06 21:36:22,274.75,4,6872
No:4668,2025/09/05,2025-09-05 17:31:08,2025-09-05 22:04:22,273.23333333333335,2,10456
No:2480,2025/06/14,2025-06-14 18:24:13,2025-06-14 22:54:13,270.0,2,7014
No:2926,2025/06/30,2025-06-30 18:19:18,2025-06-30 22:49:07,269.81666666666666,4,13652
No:5823,2025/10/20,2025-10-20 18:00:46,2025-10-20 22:30:24,269.6333333333333,1,27423
No:1622,2025/05/13,2025-05-13 18:32:22,2025-05-13 23:00:51,268.48333333333335,4,11170
No:6983,2025/12/13,2025-12-13 16:57:03,2025-12-13 21:22:36,265.55,24,535323
No:2947,2025/07/01,2025-07-01 17:44:52,2025-07-01 22:09:21,264.48333333333335,3,14133
No:4188,2025/08/16,2025-08-16 17:05:19,2025-08-16 21:28:57,263.6333333333333,2,6250
