No,タイトル,フック,解決策,エンド,処理済み
1,食品消費税ゼロが飲食店にもたらす影響,食料品消費税ゼロの法案ちゃんと確認してますか？,正解は3つだけ。これ以外やらんでいいです,①食品ゼロが“0%課税か非課税か”を前提確認 → ②POSの区分設定確認 → ③課税売上割合と控除方式を税理士と再計算。,
2,人件費を真っ先に削ると人を失います,人件費削った瞬間から閉店までの一歩踏み出してますよ,稼働設計の見直しをして人件費は結果で下げる,シフトと客数の重なりを1時間単位で見直してください,
3,儲かりやすいが潰れやすい、儲かりにくいが潰れにくい,"日常食は潰れにくいけど、ほぼ儲からないですが
特別食は儲かりやすいけど、普通にやれば潰れます",日常食は回転率と再現性、特別食は単価と演出をそれぞれ前提にしてください,自分は潰れにくさを取るのか、稼ぎやすさを取るのかをまず決めてから始めてください,
4,居抜き物件を選んだら失敗,居抜き物件を選んだ時点で、もう失敗は始まっています,何が省略できて、何が省略できないかを決めないまま選んでいることです,業態、客単、オペレーションがマッチしないなら選んではいけません,
5,接客は相手の情景を代弁する,「接客」は相手の情景を代弁するお仕事です,相手が言葉にできていない「情景」を代わりに言語化する行為です,"相手の頭の中を先に整理してあげること
目の前の人が「何に迷っているか」を言語化してから話し始めてみてください",
6,あなたのお店の看板商品、1日に何食売れば儲かるのか（限界利益）,あなたのお店の看板商品、1日に何食売れたら儲かるか即答できますか？,1食売れたときにいくら残るか、要は限界利益が大事です,看板商品の「売価 − 変動費」を今すぐ紙に書き出してください,
7,高級店と安いお店,高級店が値下げするとお客様が離れ、大衆店がしつらえや演出を盛ると重くなります,毎回価格帯で失敗するのではなく、目指しているゴールの場所が間違ってるんです,しっかりと来てほしいお客様の像をイメージできるまでは始めないでください,
8,写真やデザインをケチったらあかん,味やサービス云々の前から負けてますよ,このお店はどういう場でどう過ごしてほしいかを一瞬で伝えるためにも写真やデザインをケチったらあかん,誰かに看板を見せて「何のお店か3秒で伝わる？」と聞いてみてください,
9,社長自ら集客する覚悟がないなら飲食業は向かん,あなた自らチラシの一枚でも配りましたか？,"社長は数字責任を負うべきです
お店が暇なら損益分岐点の客数は社長が自分で埋めに行く覚悟は必要です",「あと何人で黒字か」を毎日直視して行動で示してください,
10,当たり前のことをしても感謝されない,当たり前のことをしても感謝はされません,お客様が普通と思っているラインを正確に理解して、その期待値を超えていますか？,あなたが今までに受けたサービスで感動した点をぜひコメントで教えてください,
11,料理人のいない飲食現場が最近増えてる,料理人がいる前提のお店づくりはもう成り立ちません,既製品の賢い使い方とオペレーション重視のメニュー設計がお店を守ります,"人が入れ替わってもお店が回りますか？誰が作っても同じものが出て来ますか？
ここを確認してヒヤッとしたなら連絡ください",
12,GWの集客もう手を打ってますか？,このままやとまた今年のGWも暇で終わりますよ,"Googleや食べログに下書きは作りましたか？
POPの準備とか人員配置、告知期間はあっという間になくなりますよ","GW用に「やらないこと」を先に決めておくことです
普段やらない業務に集中するため選択は必要です",
