No,カテゴリ,テーマ,フック,解決策,エンド
1,,クレーム対応の極意,クレーム対応の極意公開しちゃいます,"この5つです
・クレームは3種類しかない。事実ベースの不具合、期待値ズレ、感情的攻撃・理不尽
・「共感」と「同意」を絶対に混同しない
・対応スピードは「解決速度」ではなく「謝罪速度」
・現場で解決しようとするな
・正しさを押し付けない","クレームをいただいたネクストアクションはリスクマネジメントです
クレーム分類表を作成し、対応マニュアルを作成しておきましょう"
2,,賄いは課税対象,賄い無料で出してるからええか、じゃなくて申告してへんだけで課税対象です,"課税にならない条件はこの2つを両方満たす必要があります
①従業員が材料費の半分以上を負担している
②店の負担が1食あたり350円以下","これはあくまで法律です
ちゃんと正していきましょう"
3,,集客コストに毎月50万以上使ってたら要注意です,回収できてへんまま集客コストに毎月50万以上使ってたら要注意です,"集客費 ÷ 新規来店数 ＝ 1人あたり集客単価
この数字が
客単の30％超 → 危険
客単の50％超 → 即停止レベル",他にも再来店人数が取れていないと結局赤字の積み上げになります
4,,あなたのお店を一言で表すと？,あなたのお店を一言で言うと何ですか？,メニュー数が多かったり、ペルソナ絞らずにスタートしてませんか？,基本お客様は店名で覚えず、このコンセプトで覚えます
5,,ネギ塩タンの焼き方〜みたいにお客様が見たいもの発信してください,SNSは最近よく見る「ネギ塩タンの焼き方〜」みたいにお客様が見たいもの発信してください,見てる人が知った瞬間に得をした気分になるだけで集客効果は生み出せます,ショート動画で集客したい人は「この動画は来店前のお客様のどんな不安を1つ消す動画か？」をテーマにしてみてください
6,,採用の時見るべきポイント,面接で能力ばっかり見てるお店は組織崩壊起きますよ,スキルは養えても人柄はそう簡単には変えれません,前職の退職理由は？などと聞くと人柄が垣間見えますよ
7,,物価上昇、賃金UP、変えられない事にフォーカスしてたら経営失敗します,変えられへん数字に時間を使いすぎてませんか？,経営の数字は定数と変数でできています,"今日からできる思考トレーニングは紙やノートを縦半分に線を引いて
左：今月変えられない数字
右：今月変えられる数字
右側から1つだけ選び、今週中に数字を動かしてみてください"
8,,身体を必ずお客様の方に向ける意識,身体がお客様の方を向いてへんお店でええお店は見たことない,来店や注文にも気付かんしお客様に集中が行ってない表れですよ,接客は態度や気持ちも大事ですが、まずは身体の向きから落とし込みましょう
9,,休みの日のLINE,休みの日のLINEは労基法違反になるかもしれません,返信を強制させたりするのは完全にアウトです,"「休みの日のLINEは、返信しなくて大丈夫です。
判断が必要な話は、出勤日にします。」この一文で回避できます"
10,,卸価格の値付けの仕方,卸しの依頼が来て値付けに困ったことないですか？,包財などを含む原価 ＜ 卸値 ≤ 卸先売価 × 上限率,卸だけで月商が立つか、人件費を1個単位で入れているか、最低ロットを数字で決めているか、値引きなしで継続できるかなどまだ気にしないといけないことは山積みです
11,,デリバリーフードやるべきかどうか,売上だけ上げたいからって安易にデリバリーに手を出すと忙しいのに手残りのないお店になりますよ,手数料がどこも高い上に包財費用や管理にもコストがかかります,通常オーダーの妨げにならないようなオペレーションスキルも求められるので計画的に始めましょう
12,,新入社員OJT→GW明けに辞める,新人採用できてた会社さん、GW明けが怖いですよね,初日から現場に放り込むのだけはやめましょう,教育担当を決めてできたかどうかを細かく確認してあげてください
13,,主導線と副動線,商圏リサーチを人口でやってる人は時代遅れです,足を使った商圏リサーチで、必ず見るポイントはこれだけです。,"主導線やからって目的地の決まったところに行く人がほとんどなのでなかなかお店の前で足を止めてもらいづらいです。
もし副導線を選ぶ際は主導線から8歩以内だけは守ってください"
14,,タイミーの使い方,タイミーさん呼んでも毎回皿洗いしかさせてへんなぁって感じてたら結構やばいです,マニュアルを整備してないお店がタイミーを使うのは人件費の無駄遣いです,"シンプルでいいので
①作業名
②やる順番
③終わりの基準
みたいに分けると指示が楽ですよ"
15,,子供の行きたいが一番の集客効果,子供こそ一番最強のインフルエンサー,子供が楽しめて、また行きたい！となるお店は親は必然的に通ってくれます,ファミリー層を取れるお店であればしっかりと子供が楽しめる空間を作りましょう
16,,バックヤードが汚い店舗は大体うまくいってない,バックヤードが汚いお店で上手く行ってるのを見たことない,散らかったバックヤードは「探す・避ける・我慢する」といった行動が日常化しみえないストレスとして蓄積します,床に物を置かないなど当たり前のことからルール化していきましょう
17,,労基法　休憩,その休憩の取らせ方労基引っかかりますよ,"労働時間が6時間超：45分以上、労働時間が8時間超：1時間以上
途中付与
（原則、労働時間の途中に与える　※始業前・終業後は不可）
一斉付与
（原則、全員同時　※労使協定があれば例外可）
自由利用
（休憩中は業務から完全に解放されること）",休憩中の電話対応や30分休憩を二回とか、忙しい日は休憩無しなどは全部アウトです
18,,新任マネジャーがやりがちなミス,この春マネージャーになる方、この一点だけ気をつけておいてください,自分の存在価値を証明しようといきなり色々変え始めると大体揉めます,現場の安心感を壊さないように現場が普通に回る状態を維持することが直近の仕事です
19,,単価率上がるメニュー表の作り方,お客様のたった１秒のストレスがオーダーに繋がらんくなりますよ,お客さんが迷わず選べる状態のメニュー表を作ること,"単価率が上がらないメニュー表は、だいたい全部を平等に扱ってしまってます
選ばせたいなら選ばなくていい物を決めることから始めましょう"
20,,看板商品を定着させるスケジュールの公開,うちは看板商品無いねん、って嘆いてるお店は看板化させる流れを知らんだけです,看板商品の認識を完成品から育てる物と捉えてください,メニューの試作、写真撮り、レジ登録、媒体やSNS更新、と流れを理解して取り掛かりましょう
21,,SNS伸ばし方ありますかって言われるけど,SNS伸ばし方ありますかって言われるけど包み隠さず全て話します,すごいテクニックはなくまずは100本ショート動画を投稿してください,だいたいこの100本上げるまでに心折れてやめていく人がほとんどなので上げ続けさえすれば勝ちです
22,,予約が増える店舗情報の最適化（NAP情報）,Googleってあんまり効果出やんって嘆く前に一個だけ確認してほしいんです,例えばTokyo Coffeeって名前のカフェやとしたら大文字小文字の並びや間のスペースが半角か全角かを全媒体合わせてください,あとはプロファイル強度をマックスにするためにGoogleビジネスプロフィールに入ってプロフィール編集から全項目に回答してください
23,,リールで集客できない店の共通点：導線設計が間違ってます,リールで集客できないお店は動画の内容が問題ではなく見た後に「何すればいいんか」が分からんからです,興味や関心まで引けても来店に繋がらんなら媒体やGoogleに飛んでもらう導線設計が必要です,SNSで直接集客ではなく、きっかけを作るトリガーと思って取り組んでください
24,,営業電話が鳴り響く季節,営業の電話が鳴り響く季節ですねー,"外部の営業に雑な店ほどスタッフへの扱いも雑
人によって態度が変わる経営は現場に必ず伝染します","新卒の営業マンって正直まだ下手でおぼつかないですよね
だからこそどう接するかであなたの器が出ます
外部との関わり方は社内教育の無言の教材で誰にどう接しているかをスタッフはちゃんと見ています"
25,,損益分岐点の計算方法,なんぼ儲けたらええんかを即答できんのはかなりやばいで,"計算はこれだけ覚えてください
損益分岐点売上 ＝ 固定費 ÷（1 − 変動費率）
変動比率は変動費 ÷ 売上 ＝ 変動費率
固定費は
家賃
正社員人件費
社会保険料
水道光熱の基本分
通信費
減価償却
借入返済（※元本＋利息）
を足してください","飲食店は毎月1日に赤字額が決まるビジネスです
何日で回収するかを計画に含まないのは目隠し経営まっしぐらです"
26,,物件を決める前にするエリアリサーチ方法（コンビニのレジと雑誌）,物件を決める前に難しいエリア分析はやらんでいいよ,見るのは近くのコンビニのレジと雑誌棚,"・コンビニでピーク時間がわかる
レジの数＝時間帯別需要
レジ2台
→ 夜17時以降がピーク
→ 仕事帰り需要
レジ3台以上
→ 昼ピーク
→ 昼150人以上来るエリア
→ ランチ勝負が成立

・コンビニの雑誌でターゲットがわかる
女性誌が多い
→ 女性比率高い
ビジネス誌が多い
→ 男性・昼利用多い"
27,,"金曜19:30、ホール2人欠勤
回らない瞬間の捨てる業務","金曜19:30、ホール2人欠勤
もう今日回らんと思ったら全部やろうしないでください",回らんとわかった瞬間の捨てる業務を決めましょう,ピーク帯は付加価値を足す時間じゃないからこそ最低限のクオリティを落とさず維持することに徹しましょう
28,,締め作業で毎晩1時間バイトを使ってる店長へ,まさか締め作業でバイト全員使ってないですよね？,"人を使うのはなんの解決でもないです
垂れ流すコストにシビアにならんと経営はうまくいかないです",締め作業5分削るには？を常に考えお店にとっての最適化を探しましょう
29,,新人がピークで固まる瞬間：最初に覚えさせる“3フレーズ”だけ,新人がピークで固まる瞬間って仕事が分からない時じゃないんです,"最初に覚えさせる「3フレーズ」を決めればあとは自信持って動けます
「少々お待ちください」「確認してきます」「ありがとうございます」です","ピーク帯で新人に求めるのは場を止めず事故を起こさないこと
そのために新人に逃げ道を用意してあげるのは上司のあなたの仕事です"
30,,客単価が上がらない店の2杯目注文が止まるオーダータイミング,"料理が来てないのに聞く。話盛り上がってる最中に割り込む。空いたグラスを見逃す。
ドリンクオーダーの最悪手トリオです",二杯目が出ずに客単価伸び悩んでるお店はオーダーが来ないのではなく間が最悪なんです,ドリンク単価は偶然でも提案力でもなく観察力の点数です
31,,「今日は暇やわ」が口癖の飲食店オーナー,「今日は暇やわ」って言うてる時点で脳死状態の経営です,他責は楽やけど責任を引き取った瞬間からしか改善は始まらないですよ,経営をあなたの手中でコントロールできるようにならないと潰れる要因数え出したらキリないですよ
