No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,クレーム対応の極意,クレーム対応、まだ「誠心誠意」とか言うてます？それ、火に油注いでるだけかもしれませんよ。,「なんでこっちがこんな言われなあかんねん…」って、心が折れそうになる時、ありますよね。,とりあえず謝って、値引きして、はよ帰ってもらおう…って、ついやりがちちゃいます？,でもそれ、その場しのぎで根本解決にはなってへんのです。,これを放置してると、SNSで悪評書かれて、じわじわ客足が遠のいて…ほんま最悪ですわ。,正直、クレームの種類によって対応変えるとか、そこまで頭回ってへん…ちゃいます？,ほんまは、お客様にも納得してもらって、お店のファンでいてほしいんですよね。,こっちだって一生懸命やってんのに…って悔しい気持ち、僕もめっちゃ分かりまっせ。,その気持ちは大事です。でも、感情論だけやとお店は守られへんのです。,このリールでは、クレームを“敵”やのうて“お店を強くするヒント”に変える5つの鉄則、公開します。,ただ謝るだけの店と、次につなげる対応ができる店。お客様の最後の印象、全然ちゃいますよ。,クレーム対応って、火事の初期消火と一緒なんです。最初の数秒の動きで、被害が天と地ほど変わるんですわ。,クレーム対応のゴールは「正しさの証明」やない。「お客様の感情の鎮火」です。,まずクレームは3種類しかないと知る。次に「共感」と「同意」は別物。対応は「謝罪速度」が命です。,そして現場で全部解決しようとせんと、こっちの正しさを押し付けない。この5つ、絶対覚えてください。,もう「またクレーム来たらどうしよ…」って、ビクビクしながら営業せんでええんです。,クレームはリスク管理の第一歩。対応マニュアル作っとくだけで、現場の安心感が全然ちゃいますよ。,お客様の怒りや渇望→マーケ;ゾーニング;集客の相談より「人」に関する問い合わせが一番多い;人時売上高;googleマップの口コミ=顧客体験（小手先で上げれるものではない）
2,賄いは課税対象,賄い無料で出してるからええか、じゃなくて申告してへんだけで課税対象です。,「スタッフへの感謝やし、これくらいええやろ」って、優しさでやってませんか？,毎日頑張ってくれてるから、タダで美味しいもん食べさせてあげたい…その気持ち、めっちゃわかります。,でも、その優しさが、実は法律違反になってるかもしれへんのです。,このままやと、税務調査でガッツリ指摘されて、過去数年分の追徴課税…なんてこともありえます。,「たかが賄いやん」「バレへんかったらええわ」って、心のどこかで軽く考えてません？,人件費もカツカツやし、福利厚生としてやってあげたい気持ち、痛いほどわかります。,ほんまは「スタッフにケチやと思われたくない」って気持ち、ありますよね。,その想いは大事です。でも、ルールを知らんままだと、逆にお店とスタッフを危険に晒すことになるんです。,今日は、スタッフにも喜ばれて、税務署にも怒られへん、正しい賄いのルールを解説します。,「全部タダ」はアウト。「ルール通り」ならセーフ。この差はめちゃくちゃ大きいんです。,賄いって、お店の隠れたコストです。レシピの原価計算と同じで、ちゃんと管理せなアカン部分なんですわ。,正解は、課税されないための条件をきっちり満たすこと。ちゃんと抜け道はあるんです。,課税にならない条件は2つ。①従業員が材料費の半分以上を負担していること。②店の負担が1食あたり350円以下であること。この両方を満たす必要があります。,例えば、給与から天引きで月額の食事代をもらうとか、ルールをちゃんと作って書面で残しましょう。,これはケチなんじゃなくて、お店とスタッフ、両方を守るための大事なルールなんです。,これはあくまで法律です。知らんかったでは済まされへんから、ちゃんと正していきましょう。,ネット情報の統一化;飲食経営に感情は要るのか？やりがいだけでは勝てない時代;飲食店がキッチンカー参入で儲からない理由;あなたの店、SNSやる前に現場の空気が整ってますか？;集客に即効性を求めてはいけない
3,集客コストに毎月50万以上使ってたら要注意です,回収できてへんまま集客コストに毎月50万以上使ってたら、それもう穴の空いたバケツに水入れてるだけですよ。,「お客さんさえ来てくれたらなんとかなる」って、祈るような気持ちで広告費払ってません？,とりあえずグルメサイトの上位プラン契約して、あとは効果測定もせんと神頼みになってへん？,それ、集客やなくてただの浪費ですわ。,気づいたら売上はそこそこ立ってるのに、手元には全然お金が残らん…なんてことになりますよ。,「この広告費、ほんまに何人お客さん連れてきてくれたんやろ…」って、月末に数字見てため息ついてません？,集客せなアカンのは分かってる。でも、どこにいくら使って、何人来たかまでちゃんと追えてへんのですよね。,ほんまは広告止めるの怖いだけちゃいます？お客さんがパッタリ来なくなるんちゃうかって。,その気持ちよう分かります。でも、その恐怖心につけ込まれてお金を垂れ流してるだけかもしれんで。,今日は、その広告費が『投資』になってるか『浪費』になってるか、一発で分かる計算式をお伝えします。,"客単価5,000円の店やったら、新規1人呼ぶのに1,500円まで。2,500円超えてたらもう赤信号ですわ。",これって、原価50%のメニューを看板にしてるようなもん。売れれば売れるほど、実はしんどくなるんです。,まず出すべきは『1人あたり集客単価』。これだけです。,計算は簡単。使った集客費 ÷ 新規で来てくれたお客さんの数。この数字が客単価の30%超えてたら危険信号です。,もし客単価の50%超えてたら、もう即停止レベル。すぐにその広告は見直してください。,勇気いるけど、この数字と向き合わんと、いつまで経ってもお店に利益は残りませんよ。,まずは自店の集客単価を計算してみて。ほんで、新規だけじゃなく再来店に繋がってるかも大事ですよ。,歩留計算の仕方;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;試食の仕方　ワンポーション食わんかい;ネット情報の統一化
4,あなたのお店を一言で表すと？,あなたのお店、一言で言えますか？もし言えへんかったら、かなりヤバいですよ。,いやいや、うちはいろんなこだわりがあるし、一言でなんて無理やわ…って思いますよね。,あれもこれも美味しいって言われたいから、ついついメニュー増やしてまう。,でもそれ、お客さんからしたら「結局、何屋さんなん？」ってなってる証拠なんです。,そのままでいると誰の記憶にも残らんくて、いつの間にか忘れられるお店になってまいますよ。,「いろんなお客さんに来てほしいから、間口は広くしとかんと」って、ほんまは思ってません？,一人でも多くの人に喜んでほしいっていう、その気持ちは痛いほど分かります。,でも心のどこかで、お客さんを絞るのが怖かったり、メニューを削るのがもったいないって感じてません？,その優しさが、逆にお店の強みをぼやけさせて、誰にも刺さってない状態を作ってるんです。,このあと、お客さんの記憶にガツンと残る「一言で言える店」になるための、シンプルな考え方をお伝えしますね。,「なんでも美味しい店」と「〇〇が日本一うまい店」、1年後も覚えてるのはどっちやと思いますか？,百貨店みたいに何でもあるけど特徴がない店より、一つのジャンルを極めた専門店の方がわざわざ行きたくなりますやん。,答えは一つです。「やらないこと」を決めて、お店の輪郭をハッキリさせること。,まず「誰に」、次に「何を」届けたいか。この2つをとことんまで絞り込むんです。,今あるメニューの中で、「これだけは誰にも負けへん」って胸張って言える看板商品を一つ、決めてみてください。,何かを捨てるのって勇気がいるし、めっちゃ怖いですよね。でも、それがお店の「核」を作る作業なんです。,お客さんは店名で覚えません。「あの〇〇が美味い店」で覚えるんです。あなたのお店は何て呼ばれたいですか？,竹矢匠吾が思う飲食店経営のやりがい;焼肉屋の仕込みの壁を超える仕組みとは;オーナーしか作れない属人料理;限界利益;閉業率が高く絶対に選ばない3つの業態
5,ネギ塩タンの焼き方〜みたいにお客様が見たいもの発信してください,SNSは最近よく見る「ネギ塩タンの焼き方〜」みたいにお客様が見たいもの発信してください。,でも正直、「そんなん撮るの面倒くさいわ…」って思ってません？,「今日のオススメ！」とか「元気に営業中！」とか、こっちが言いたいことばっかり投稿してません？,それ、お客さんからしたら正直どうでもええんですわ。,このままやと、頑張って投稿しても誰にも響かへん“自己満アカウント”になってまいますよ。,「バズらなあかん」とか「映えなあかん」とか、難しく考えすぎて手が止まってません？,ほんまは、もっと楽に、でもちゃんとお客さんに届く発信がしたいんですよね？,本音を言えば、「いいね」の数ばっかり気にして、肝心のお客さんの顔、見えてへんかったりしません？,その気持ちめっちゃ分かります。でも、お客さんが知りたいこと考えんと、ただの独り言で終わってまいますよ。,でも大丈夫です。お客さんが「これ知りたかった！」って思う投稿、実はめっちゃ簡単につくれるんです。,「うちのこだわり」を語る店と、「あなたの食べ方を最高にする」店。どっちに行きたいですか？,焼肉屋のこだわりを1分語られるより、「このネギ塩タン、こう焼いたら絶対うまい！」って15秒で見せられた方が、よだれ出ません？,SNS発信の答えはたった一つ。お客さんが「得した！」って思う情報を届けるだけなんです。,見てる人が知った瞬間に「得した！」って思えるだけで、集客効果はちゃんと生まれるんです。,例えば「テイクアウトの唐揚げ、家で温め直すならトースターで3分が最強」とか。そんなんでええんです。,「この店、私のこと分かってくれてる！」って思われたら、もう勝ちですやん。,ショート動画で集客したい人は「この動画は来店前のお客様のどんな不安を1つ消す動画か？」をテーマにしてみてください。,バイトの意識が劇変する現場研修のやり方とは;アルバイトの定着;PLは％で見れるように;SNSなんて正直めんどい　でも伝える努力をやめへん理由;売上が下がったときは割引じゃなく販路を増やせ
6,採用の時見るべきポイント,面接で能力ばっかり見てるお店、組織崩壊起きますよ。,「即戦力が欲しい！」って、ついスキル重視で選んでしまいますよね？,経歴書見て「お、この子ようできるやん」って、すぐ採用決めてませんか？,でもそれ、お店の空気を壊す一番の原因かもしれへんで。,仕事はできても挨拶せえへん、チームで動けへん。そんな人が一人おるだけで、ええスタッフから辞めていきますよ。,ほんまは人柄が大事って分かってるけど、教育する余裕ないから即戦力に逃げてるんちゃいます？,忙しい現場やから、すぐ動ける人が欲しい気持ち、めっちゃ分かります。,でも心のどこかで「この子、うちの店に合うんかな…」って不安もありません？,その直感、大事にした方がええですよ。スキルで選んだ採用は、後で人間関係のコストがかかります。,この後、スキルよりも100倍大事な“たった一つの採用基準”についてお話します。,スキルが高いだけの人は“自分のため”に働きます。でも人柄がええ人は“お店のため”に働いてくれるんです。,どんなにええ食材があっても、作る人の気持ちが乗ってへんかったら、美味しい料理にはならんでしょ？採用も一緒ですわ。,結論、スキルは後からなんぼでも教えられます。でも、人柄はそう簡単には変えられへんのです。,大事なんは「素直さ」「感謝が言えるか」「人のせいにせえへんか」。この3つだけ見てください。,面接で「前職の退職理由」を聞いてみてください。周りの愚痴や他責ばっかりやったら要注意です。,「あ、あの時採用した子、そうやったな…」って、今、心当たりあるんちゃいます？,ええお店は、ええ人が作ります。採用はスキルより人柄、これだけは忘れんといてください。,一見客で回す飲食はいつか潰れる;飲食店は立地で決まる？;SNSなんて正直めんどい　でも伝える努力をやめへん理由;なぜ新入社員のエンゲージメントが3年で低下するのか;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え
7,物価上昇、賃金UP、変えられない事にフォーカスしてたら経営失敗します,物価高とか賃金UPとか、変えられへん数字ばっかり見てる店、潰れますよ。,「また仕入れ値上がった…」「給料上げなあかんし…」って、毎月頭抱えてません？,ニュース見てはため息ついて、どうにもできひんコストの計算ばっかりしてしまうんですよね。,その時間、マジでもったいないです。,変えられへん数字に囚われてるうちに、変えられるはずの利益を取りこぼして、気づいたら手遅れになってまうんです。,「でも、コストが上がってるのは事実やし…」って、思考が停止しかけてません？,分かりますよ。家賃とか人件費とか、固定費が重くのしかかってくる感覚、しんどいですよね。,ほんまは「自分の努力でコントロールできる部分」に集中したいって思ってるはずなんです。,その気持ち、めっちゃ大事。でも、どこに力を注ぐか見えてへんと、空回りするだけなんですわ。,このあと、悩む時間が「行動する時間」に変わる、数字のシンプルな分け方をお伝えします。,悩む経営者は「変えられへん数字」を見て、伸びる経営者は「変えられる数字」だけを見てます。,天気予報見て「雨や…」って嘆くより、傘を何本用意するか考える方が大事でしょ？経営もそれと一緒です。,結論、経営数字は「定数」と「変数」に分けて考える。これだけです。,定数は家賃や減価償却費。変数は客単価、回転率、リピート率、メニューの原価率です。,今日からできる思考トレーニングは、紙を一枚用意して、縦に線を引くこと。左に「今月変えられない数字」、右に「今月変えられる数字」を書き出すんです。,右側に書いたものを見た瞬間、「あ、まだやれることあるやん」って、視界がパッと開けるはずです。,そしたら右側から1個だけ選んで、今週中にその数字を動かしにいってみてください。,売上が下がったときは割引じゃなく販路を増やせ;飲食店は立地で決まる？;ABC分析;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など
8,身体を必ずお客様の方に向ける意識,身体がお客様の方を向いてへんお店で、ええお店は見たことないです。,「なんか最近、店の雰囲気悪いな…」って感じてませんか？,スタッフが背中向けて作業してて、お客さんの呼びかけに気づかんとか。,それ、ただの癖ちゃいますよ。,その積み重ねが、お客様が二度と来なくなる静かな理由になるんです。,「忙しいんやから仕方ない」って、どこかで自分に言い訳してません？,わかるんです。作業に集中したい気持ちも、ほんまにようわかります。,でも心の奥では「これじゃアカン」って、気づいてるはずなんです。,そのモヤモヤ、気のせいやないです。変えるべきサインですよ。,このあと、たった一つ意識を変えるだけで、お店の空気がガラッと変わる方法、お伝えしますね。,背中を向けてる店と、常にお客様を見てる店。売上だけやなく、お客様の笑顔の数も全然違います。,身体の向きって、お店のアンテナみたいなもん。お客様の「ちょっといいですか？」をキャッチできるかどうか、そこで決まるんです。,答えはシンプル。スタッフ全員が、身体を必ずお客様の方に向けること。これだけです。,身体が向いてへんのは、来店や注文に気づかんサイン。お客様に集中できてない証拠なんです。,まずは「カウンターの中では常におへそをお客様に向ける」っていうルールを一つだけ作ってみてください。,「見てくれてる」っていう安心感、お客様はちゃんと感じ取ってくれますよ。,接客は気持ちも大事ですけど、まずは身体の向きから。これが基本のキです。,バイトの意識が劇変する現場研修のやり方とは;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;家族経営の強み;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;人気店は「やりたくないこと」も決めてる
9,休みの日のLINE,その休みの日のLINE、労基法違反になるかもしれませんよ。,「ちょっとした連絡」のつもりが、スタッフの休みを奪ってません？,「明日、〇〇の在庫あったっけ？」とか、つい送ってしまいますよね。,でもそれ、完全にアウトです。,このままやと、「休みの日も休まらへん店」って思われて、ええ子から辞めていきますよ。,「いや、別に返信は強制してへんし…」って思いました？,店のこと気になって、すぐ確認したい気持ち、めっちゃ分かります。,ほんまは、「自分がいないと店が回らんのちゃうか」って不安なんですよね。,その責任感は大事です。でも、それがスタッフの負担になってたら本末転倒ですわ。,このあと、スタッフも自分も守れる「休日の連絡ルール」の作り方、お伝えします。,ルールがない店は信頼を失って、ルールがある店はチームが強なります。,休みの日の連絡って、営業中にプライベートの電話するようなもん。店の空気が悪なります。,休みの日のLINEで、返信を強制したり、急かしたりするのは完全にアウトです。,緊急時以外の業務連絡はNG。返信がなくても催促しない。これが大前提です。,「休みの日のLINEは、返信しなくて大丈夫です。判断が必要な話は、出勤日にします。」この一文を共有するだけで変わります。,ちゃんと休ませてくれる店やって思われたら、スタッフはもっと頑張ってくれますよ。,良い店づくりは、良い休み方から。まずはその一言から始めてみてください。,マクドナルドから真似すべき戦法;財務三表の説明;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;人気店は「やりたくないこと」も決めてる;FL比率
10,卸価格の値付けの仕方,その卸しの値付け、お店の利益をタダであげてるようなもんですよ。,卸しの依頼が来て嬉しいけど、“で、いくらにしたらええんやろ…”って固まったことないですか？,とりあえず原価の2倍くらいかな？って、どんぶり勘定で値段決めてません？,それ、めっちゃ危ないです。,そのままだと、卸せば卸すほど忙しいだけで利益が出ず、気づいたらお店が回らんようになってます。,“せっかくの話やし、安くせな”って、相手の顔色うかがってませんか？,僕も昔、初めての卸し依頼で舞い上がって、利益度外視の値段で出してました。,でもあれ、相手のためじゃなくて、ただ自分の店の価値を安く見積もってただけなんです。,その優しさ、経営では命取りになりますよ。,今から、卸先にも感謝されて、自分のお店もしっかり儲かる値付けの“絶対公式”をお伝えします。,これを知る前は卸しの売上が人件費に消えてましたが、知ってからは卸し事業だけで月商が立つようになりました。,卸しの値付けを間違えるのって、コース料理の値段を食材費だけで決めるようなもん。そら赤字になりますよね。,結論、卸値は“原価以上、卸先売価の一定割合以下”に設定すること。これが絶対ルールです。,まず、材料費だけやなく包材費やシール代まで全部足したのが“本当の原価”です。,その原価に利益を乗せた金額が、卸先の想定売価の6〜7割に収まるか。ここが交渉のスタートラインです。,ちゃんと計算して出した価格には、自信が宿ります。“これだけの価値がある”って胸を張って言えるようになりますよ。,値付け以外にも最低ロットとか考えることは山積みです。まずは1個あたりの人件費、ちゃんと計算してみてください。,アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;やりがいじゃなく仕掛けマネジメント;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;始めるより、撤退が上手い店が勝つ;予約ゼロ→満席に変えた価格の順番　値下げより設計が先
