No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,肉の仕入れ見て、なかったことにしたいって思う日何回もありますよね（焼肉）,肉の仕入れ見て、なかったことにしたいって思う日正直何回もありますよね。,伝票の数字見て、「うわ…」って声に出そうな日、ありますやんか。,でも結局、お客さんの顔が浮かんだら、値上げできひんまま…みたいな。,それ、もう限界きてますよ。,このままやと、売れてるのに儲からん…ってなって、好きやった肉が嫌いになりますわ。,「タンとハラミばっかり出ても、利益残らへんねん…」って、夜中に一人で計算してません？,分かります。主役の肉ほど相場は荒れるし、歩留まり考えたら頭痛なりますもんね。,ほんまは「ええ肉食べさせたい」気持ちと、「店守らなアカン」って現実で、心臓ギューってなってません？,その気持ち、めっちゃ大事です。でも、見えてへんロスを放置するのが一番あかんのです。,今日は、高原価の花形メニューに頼り切らんと、店全体でしっかり利益を出す売り方、お伝えします。,タンとハラミだけで勝負する店と、ホルモンとか脇役も輝かせる店。10年後、笑ってんのはどっちやと思います？,焼肉屋のメニューって、野球の打順みたいなもん。4番ばっかりじゃ勝てへん。つなぐ選手も必要でしょ？,結論、高原価肉と低原価肉はセットで売る。これしかないです。,具体的には、人気のタンやハラミに、食感のええホルモン系を組み合わせるんです。,例えば「本日のええとこ盛り」みたいに名前をつけて、お得感と限定感を出すだけで注文率変わりますよ。,お客さんが「このホルモンも美味いな！」って新しい発見してくれたら、めっちゃ嬉しないですか？,組み合わせで利益は作れます。まずはメニューブック、見直してみてください。,人が辞めないチームの作り方　給与より信じたくなる空気があるか;無意識のクセが命取り（所作は人格、ふるまいはブランド）;売上目標の決め方;物価高の今やるべきこと;世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない
2,1号店は順調、2号店だけ数字が出ない,1号店の成功、ちゃんと分析してへん店は2号店100%失敗します。,1号店はあんなに順調やったのに、なんで2号店だけお客さん来えへんの？って思いません？,メニューも内装も全く同じ。なんなら1号店からエース級のスタッフも連れてきた。,でも、それじゃあかんのです。,このままやと2号店の赤字が1号店の利益を食い潰して、気づいたら両方閉店ですわ。,「場所が悪かったんかな」とか「店長の腕がちゃうんかな」とか、現場のせいにしてませんか？,2店舗目にかける期待が大きかった分、ほんま焦りますよね。僕もよう分かります。,ほんまは「自分のやり方は間違ってなかった」って、成功体験をなぞりたいだけちゃいます？,その気持ちは痛いほどわかる。でも過去の成功にすがってるだけやと、未来はないですよ。,このあと、1号店の成功を「再現できること」と「できひんこと」に分ける、超具体的な方法を話します。,例えば「創業メンバーの個性」や「たまたま当たった立地」は再現できひんけど、「看板メニューのレシピ」や「オペレーション」は再現できるんです。,1号店はエースピッチャーがおったから勝てた試合。2号店は、そのエース抜きで勝てる作戦を立てなあかんのですわ。,大事なんは、1号店の成功要因を分解して、2号店で『再現可能な武器』だけで戦うこと。,ポイントは『人・場所・タイミング』みたいな再現できひん要素と、『仕組み・味・コンセプト』みたいな再現できる要素をちゃんと分けること。,まず紙に1号店がうまくいった理由を全部書き出して、「再現可能」か「たまたま」かで仕分けしてみてください。すぐ見えてきますよ。,2号店がうまくいかへんのは、あなたの能力不足やない。ただ、成功の『分析』が足りてへんだけなんです。,2号店問題は現場の努力やない。1号店の成功を正しく理解できてるかの問題です。,開業してから考えるな　今いるお客さんの視点から逆算しろ;歩留計算の仕方;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;現場のスタッフ全員で生産者に会いに行け;POSレジの紹介
3,売上報告は出すが、決定権はない,店長に売上報告だけさせて、決定権渡してない店、絶対スケールせえへんですよ。,「なんで今月数字悪いんや！」って店長に詰めるけど、結局自分が全部決めなあかん状況、しんどないですか？,日報は出させる、でもメニュー変更や業者選定は全部社長の許可がいる、みたいな。,それ、店長のやる気、静かに削ってますわ。,このままだと、優秀な人から辞めていって、社長の指示がないと動けないスタッフだらけの店になりますよ。,「現場に任せたら店が潰れる」って、心のどこかで店長のこと信用しきれてへんのちゃいます？,僕も昔は自分が全部やらな気済まんかったんで、その気持ちは痛いほど分かります。,でもそれって、店を守ってるようで、実は社長自身のキャパシティが店の成長の上限になってるだけなんです。,そのやり方は、あくまで個人店の延長線上。多店舗展開の戦い方とはちゃいます。,このあと、社長がおらんでも現場が自走して、売上を伸ばし続ける「権限委譲」の正しいやり方、具体的にお話します。,報告だけさせられる店長は『作業員』。判断を任せられる店長は『経営者』の顔つきになります。,今の状態って、店長を運転席に座らせといて、アクセルとブレーキは社長が後ろの席から操作してるようなもんですよ。,多店舗経営を成功させる鍵は、ただの丸投げやない。『設計された権限委譲』だけです。,ポイントは3つ。権限と責任はセットで渡すこと。権限は一気に渡さんと段階で渡すこと。判断基準は人でなくルールで渡すこと。,まずは「月3万円までの販促費は店長判断でOK」みたいに、小さな予算と権限から渡してみてください。その結果を一緒に振り返るんです。,店長が自分で考えて出した結果で売上が上がった時、その喜びが本当の組織の力になりますから。,多店舗経営は社長の腕で回すんやない。判断が分散してもブレへん仕組みで回すんです。,リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;オーナーしか作れない属人料理;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな
4,めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？,めちゃくちゃ忙しい時間帯に限ってビール樽交換…アルバイトはできひんしって経験ないですか？,「うわ、今かよ…！」って心の中で叫んでますよね。,結局、一番わかってる店長が裏に走って、ホールが一瞬止まる…みたいなこと、ありません？,それ、お店の寿命縮めてますよ。,その数分でお客様の満足度は下がって、リピート率は確実に落ちてます。,「こんな単純作業、俺がやらんでも…」って、内心ずっと思ってません？,でもバイトに任せるのも怖いし、教える時間もない。その気持ち、めっちゃわかります。,結局「自分がやった方が早い」って結論になってまうんですよね。,でもその考え方が、お店の成長を止めてる一番の原因なんです。,今日は、ピークタイムに店長が雑務から解放される仕組みの話をします。,これを知らんままだと店長がボトルネック。知ればお店全体がスムーズに回るようになります。,店長はオーケストラの指揮者みたいなもん。指揮者がいきなり楽器弾き始めたら、演奏めちゃくちゃになりますやん？,一番大事なのは「判断がいらん作業」から、判断する人が抜けることです。,ビール樽交換、レジのロール紙交換、簡単な発注。こういうのは全部マニュアル化して、誰でもできるようにしとくんです。,まず暇な時間に、アルバイト全員に一回やらせてみる。失敗してもええから経験させることが大事なんです。,「俺がおらんと店が回らん」って状態、実はめちゃくちゃ危険なサインなんですよ。,判断がいらない作業まで店長がやるのをやめましょ。それが強いチームを作る第一歩です。,飲食店の店舗アカウントのプロフィール;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;ロードサイド型店舗の生き残り戦略;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;ゾーニング
5,新店舗、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね,焼肉屋さん、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね。,「ええ肉使えばお客さん来るやろ」って、ちょっと前まで思ってませんでした？,「A5ランクの〇〇牛！」って看板にデカデカと書いて、それで満足してたりとか。,それ、もうお客さんには響いてないかもしれませんよ。,そのままだと、価格競争に巻き込まれて、気づいたら利益ゼロの肉屋になってまいます。,「うちの肉は他とは違うのに…」って、内心悔しい気持ちありますよね？,高いお金出して仕入れてるのに、価値が伝わらんのはほんまにしんどいですよね。,結局、お客さんは「どこのブランド牛か」やなくて「誰と、どこで食べるか」で選んでるんです。,肉のスペックだけで戦う時代は、もう終わったって気づかなあきません。,このあと、お金をかけんでも真似されへん、強い焼肉屋さんの作り方、具体的にお伝えします。,ブランド牛で戦う店は「高い肉を売る店」。でも、これからは「忘れられへん時間を提供する店」にならなあかんのです。,例えば、お肉と一緒に最高の焼き方を教えてくれるスタッフがおるとか、記念日をめっちゃ盛り上げてくれるとか、そういうことです。,答えは「機能的価値」やなくて「情緒的価値」で勝負すること。これ一択です。,つまり、肉のスペックや性能やなくて、お店の体験や感動で差別化するんです。,まずは「うちでしかできひん体験って何やろ？」って紙に3つ書き出してみてください。それだけで見えてきます。,肉の質だけやない、あなたのお店の「人」や「雰囲気」も、他にはない立派な価値なんです。,焼肉店が生き残る鍵は体験設計。真似されへんお店作り、今日から始めましょ。,人が辞めないチームの作り方　給与より信じたくなる空気があるか;飲食店がキッチンカー参入で儲からない理由;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;一見客で回す飲食はいつか潰れる;価値を人に宿すと、集客が強くなる
6,炭火焼きのお店、焼き台に立てる人が増えない問題にぶち当たってませんか？,炭火焼きのお店の焼き場、人が育たんのは技術のせいとちゃいますよ。,「今日も自分が焼き場に立たんと回らん…」って、正直しんどくなってません？,新人に任せたら焦がすし、結局「俺がやった方が早いわ」ってなってしまう。,でもそれ、教え方が「職人」じゃなくて「属人化」を進めてるだけなんです。,このままやと、あなたが倒れたらお店の看板メニューが消える。そんな店、怖すぎません？,「うちの焼き方は特別やから、見て覚えなあかん」って、心のどこかで思ってますよね？,大事な技術やから、簡単に人に任せられへん気持ち、めっちゃ分かります。,でも本音は、自分がおらんでも店がちゃんと回る状態を作りたいんですよね？,そのこだわりがお店の強み。でも、そのこだわりが人の成長を止めてるかもしれへんのです。,「見て覚えろ」を卒業して、焼き場をチームの武器に変える方法、今からお伝えします。,一人の職人技に頼る店と、技術を分解してチームで守る店。10年後、強いのはどっちやと思います？,焼き場を聖域にせんと、誰でも一歩ずつ入れるキッチンに変えるんです。,答えはシンプル。「焼けるか、焼けないか」の二択で判断せんと、仕事を細かく分けることです。,例えば「炭の準備」「串の配置」「焼き加減のチェック」みたいに、作業を分解するんです。,まずは簡単な作業から任せて、一つできたらOKを出す。その小さな成功体験が人を育てるんですわ。,失敗を許せる環境こそが、次のエースを育てる一番の土壌になるんですよ。,焼き場の技術は一人で守るもんやない。チームで育てていくもんです。,人気店は「やりたくないこと」も決めてる;オーナーしか作れない属人料理;限界利益;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;加工品を賢く取り入れる
7,焼き鳥は安いもんってイメージのせいで単価取れてへんお店はしんどいですよね,焼き鳥屋の単価、安すぎるって気づいてますか？,ええ鶏使って、丁寧に串打ちして。ほんまはもっと価値あるはずやのに…って思いますよね。,周りの店見て『うちはこのくらいかな』って、なんとなく値段決めてませんか？,それ、自分の価値を自分で下げてるだけなんです。,このままやと、どんなにええ串打っても報われへん。疲弊してくだけの未来しか待ってませんよ。,『焼き鳥はしょせん焼き鳥や』って、心のどこかで諦めてません？,その気持ち、痛いほど分かります。市場の『安いもん』っていう固定観念、手強いですもんね。,ほんまは『この一本にこんだけ手間暇かけてんねん！』って叫びたいはずなんです。,でも、そのイメージに甘えてたら、一生このしんどさから抜け出せませんよ。,この話、最後まで聞いたら『焼き鳥は安い』っていう呪いから解放されるヒント、見つかります。,『安い焼き鳥屋』と『価値ある串を出す店』。やってることは同じでも、見られ方が全然ちゃいます。,例えば、寿司屋かて回転寿司もあれば、一貫数千円の店もある。焼き鳥も同じなんです。,問題は味やない。これはもう、業態が抱えるブランディングの問題なんです。,あなたの店の努力不足とかやなくて、市場の固定観念が強すぎるだけなんです。,まず決めることは一つ。『うちは焼き鳥を売る店か』それとも『焼き鳥で特別な時間を提供する店か』。このポジショニングの再定義から始めてください。,あなたのその一本には、値段以上の価値とストーリーが詰まってるはずです。,『焼き鳥屋』の看板を下ろす勇気が、未来を変えますよ。,こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;試食の仕方　ワンポーション食わんかい;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;ABC分析
8,パン屋は廃棄を減らすほど、お客の満足と単価が下がるジレンマ（ロスパン安い）,パン屋さんは、廃棄を減らそうとすればするほど、お客さんの満足度が下がるっていう、ほんまに残酷な罠があるんです。,もったいないからって始めたロスパンの安売り、いつの間にかそれ目当てのお客さんばっかりになってませんか？,夕方になったら“お得な詰め合わせ”作ってSNSで告知。すぐ売り切れてホッとしてる…とか。,それ、実は一番やったらあかんやつです。,お客さんは“夕方に行けば安く買える店”って覚えはるから、昼間のパンが全く売れへんようになって、結局もっと廃棄が増えるんです。,「廃棄するよりはマシやし…」って、自分に言い聞かせてますよね？,一生懸命作ったパンを捨てるなんて、ほんま心が痛い。その気持ち、めっちゃ分かります。,でも心のどこかで、「ほんまは定価で買ってほしいのにな…」って、ちょっと寂しくなりませんか？,その優しさが、自分のお店の首を絞めてるってことに、そろそろ気づかなあかんのです。,このあと、廃棄を“安売り”やなく“価値”に変えて、お客さんの満足度も単価も上げる方法、話しますね。,ロスパンを安売りする店と、そもそも売り切る店。利益が残るのは、圧倒的に後者です。,ロスパンの安売りって、毎日お店のブランド価値を自分で切り下げてるようなもんなんですよ。,結論、廃棄は価格で処理したらあかんのです。お客さんが正規の値段を“高い”と感じ始めたら、もう終わりなんで。,見直すポイントは3つ。そもそも作りすぎてないか、夕方のラインナップは適切か、予約販売はできへんか。,まずは1週間、時間帯ごとの売れ筋と廃棄を記録してみてください。そこに“減らすべきパン”と“売るべき時間”の答えが全部書いてあります。,「うちのパンは、安くせんでも価値がある」。そう胸を張って言えるお店に、絶対なれますから。,廃棄を減らすんは、安売りやない。売り方の設計です。まずはそこから見直しましょ。,売上が下がったときは割引じゃなく販路を増やせ;限界利益;人時売上高;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;集客に即効性を求めてはいけない
9,うちはイタリアンやからパスタ出したいけどオペレーションがどうしても,パスタメニュー、気合いで回してませんか？それ、現場が壊れる一番の近道ですわ。,ランチのピーク、パスタの注文が重なってキッチンが火の車…あのヒリヒリ感、ほんましんどいですよね。,「ソースは作り置きしてるし、茹で時間はタイマーで管理してる」って、色々工夫はしてるつもりやけど…。,でもそれ、根本的な解決にはなってへんのです。,結局ベテランしかパスタを触れんようになって、その人が休んだらもう出せへん…そんな店になりかねませんよ。,「うちの看板やからパスタは外されへん」って、ちょっと意地になってませんか？,美味しいパスタでお客さんを喜ばせたい、その気持ちは痛いほど分かります。,でも本音では「もっと楽に、誰でも安定して出せる方法はないんか」って、ずっと思ってますよね。,そのこだわり、大事です。でも、今のやり方にしがみついてたら、いつまでも現場は楽になりません。,実は、そのパスタのオペレーション問題を解決する選択肢って、「頑張って茹でる」以外にもあるんです。,乾麺にこだわって提供が遅れる店と、賢く選択肢を変えてスムーズに回す店。お客さんがリピートするのはどっちやと思います？,パスタって茹で時間もソースの絡め方も、実は職人技の塊。これを新人に任せるのって、免許取り立てでF1運転させるようなもんですわ。,もし本気でオペレーション改善したいなら、選択肢として「生麺」を検討するんはアリです。,理由はシンプル。茹で時間が圧倒的に短い。それに、技術への依存度が低いから誰が作っても味がブレにくいんです。,これで茹で時間、再現性、技術依存の問題を一気に解決できる可能性があるんです。,「うちは乾麺じゃないと」っていうそのこだわり、もしかしたら自分たちを苦しめてるだけのプライドかもしれませんよ。,ただ、変える前に「ピークの同時提供数」「鍋と火口の数」「新人でも作れるか」。この3つを整理してから判断してくださいね。,最強の戦略は凡事徹底;やりがいじゃなく仕掛けマネジメント;オーナーしか作れない属人料理;POPの意味;なぜこの店は夢を語ってるだけで予約が埋まるのか？
10,せっかく仕入れたワイン、抜栓しても売り切れんから困ってるビストロから相談いただくんですが,抜栓したワインが売れ残る店、致命的なミスしてます。,「ええワインやから、いつか誰か頼んでくれるやろ…」って思てません？,とりあえずグラスワインリストに載せて、あとはお客さん任せ。,それ、ただの放置ですわ。,酸化したワインは廃棄行き。仕入れ代がまるまる赤字になって、利益を圧迫し続けます。,「このワインの良さ、分かってくれる人だけ飲んでくれたらええ」って、ちょっとカッコつけてません？,ほんまは「ロス出すの怖いな…」「はよ売り切りたいな…」って焦ってるんですよね。,でも、お客さんに無理強いはしたくない。その優しい気持ちが、逆に自分の首絞めてるんです。,その気持ち、めっちゃ分かります。でも、売り方をデザインせんと、ええワインが泣いてますよ。,このあと、抜栓ワインを「狙って」売り切るための、超具体的な3つのチェックリストを話します。,売れ残る店は「開けてから」考える。売れる店は「開ける前」に売り方を決めてます。,これって、コース料理のメインを決めんと、とりあえず肉だけ焼いてるようなもん。そら売れませんわ。,結論、ワインは「ストーリー」で売るんです。値引きやない。,メニューか黒板で主役にする。スタッフ全員が一言で勧められる。そして、理由をつけて提案する。,「この肉料理のために開けました！」とか「あと2杯で終わりです！」って限定感を出すんです。お客さんは理由が欲しいだけ。,ちゃんと売り方を考えたら、お客さんも「ええの勧めてくれてありがとう」って喜んでくれますから。,抜栓ワインが残るのは、仕入れミスやない。売り方を決めずに開けてる、ただの設計ミスです。,マルチチャネル経営が必須;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;財務三表の説明;ネット情報の統一化;集客に即効性を求めてはいけない
