管理No,テーマ,タイトル,フック,解決策,エンド,ネタメモ,カテゴリ,元No
1,肉の仕入れ見て、なかったことにしたいって思う日何回もありますよね（焼肉）,肉の仕入れ見て、なかったことにしたいって思う日何回もありますよね（焼肉）,肉の仕入れ見て、なかったことにしたいって思う日正直何回もありますよね,"相場変動が激しい
高原料食材が主役
歩留計算をせずにロスが見えにくい",高原価肉（タン、ハラミなど）×低原価肉（ホルモン系）をセットで売りましょう,肉の仕入れ見て、なかったことにしたいって思う日何回もありますよね（焼肉）,過去に伸びたもの,1
2,1号店は順調、2号店だけ数字が出ない,1号店は順調、2号店だけ数字が出ない,1号店の成功要因を構造化できていないお店は2号店失敗します,"1号店の成功要因を「再現可能／不可」に分けて
2号店では再現可能な要素のみで成立する前提を再設計してください","2号店問題は、現場や努力の問題ではなく、１号店の成功をどう理解しているかの問題です
同じ店を作った＝同じ成果が出ると思っていると必ず閉店します",1号店は順調、2号店だけ数字が出ない,過去に伸びたもの,2
3,売上報告は出すが、決定権はない,売上報告は出すが、決定権はない,多店舗フェーズで、店舗管理者に売上報告は出させるが、決定権はない状態だと広げきれないですよ,権限と責任は必ずセットで渡すこと、権限は「一気に」渡さないで段階で渡すこと、判断基準は人に任せずルールで渡すこと、これを守ってから権限委譲して行きましょう,"多店舗経営は、社長が優秀でも回らないです
判断が分散され、それでもブレない設計がある時だけ回ります",売上報告は出すが、決定権はない,過去に伸びたもの,3
4,めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？,めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？,めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？,"判断力で指揮を取っている人が、一番単純な作業に縛られることが危険な状態ということに早く気づいてください
忙しい時に発生する作業は忙しい時に一番手が空いている人ができるようにしておくことです",暇な時に全員が一度は経験して教えていない・任せれないを無くして、判断がいらない作業まで、店長・社員がやらなくて済む準備をしましょう,めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？,過去に伸びたもの,4
5,新店舗、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね,新店舗、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね,焼肉屋さん、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね,提供価値が機能的価値（スペックや性能）になってしまっているためお金さえ払えば誰でも簡単に参入できてしまうんです,焼肉店が生き残る鍵は体験などの情緒的価値を先に設計し真似されにくいお店作りにすることです,新店舗、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね,今伸びてるもの,5
6,炭火焼きのお店、焼き台に立てる人が増えない問題にぶち当たってませんか？,炭火焼きのお店、焼き台に立てる人が増えない問題にぶち当たってませんか？,炭火焼きのお店の焼き場、いつも人手に困ってませんか？,"「技術職」なのは確かですが、教育の仕方がいまだに「見て覚えろ」止まりじゃないですか？
それって職人ではなく教育じたいが属人化させているんじゃないですか？","「焼ける／焼けない」で判断せずに、いきなり全部任せないように段階を切って段階ごとにOKラインを決めること
失敗も許容してあげながら少しずつ成功体験を積ませて行きましょう",炭火焼きのお店、焼き台に立てる人が増えない問題にぶち当たってませんか？,今伸びてるもの,6
7,焼き鳥は安いもんってイメージのせいで単価取れてへんお店はしんどいですよね,焼き鳥は安いもんってイメージのせいで単価取れてへんお店はしんどいですよね,焼き鳥は「安いもん」という市場イメージが強く単価を取り切れていない店が多いって知ってましたか？,これは個別店の努力不足ではなく市場側の固定観念が強すぎるため、業態が抱えるブランディング問題です,ポジショニングの再定義をし、「焼き鳥を売る店」なのか「焼き鳥が手段の店」なのかを決めると未来が見えますよ,焼き鳥は安いもんってイメージのせいで単価取れてへんお店はしんどいですよね,今伸びてるもの,7
8,パン屋は廃棄を減らすほど、お客の満足と単価が下がるジレンマ（ロスパン安い）,パン屋は廃棄を減らすほど、お客の満足と単価が下がるジレンマ（ロスパン安い）,パン屋は、廃棄を減らすほどお客様の満足度と単価が下がる、かなり残酷なジレンマがあります。,"廃棄を価格で処理するお店は長期的に必ず単価が落ちます
理由はシンプルでお客様は正規価格を高いと感じ始めるからです","廃棄を減らしたいなら安く売るのではなく、売り方・量・時間・ラインナップを
設計し直すことです",パン屋は廃棄を減らすほど、お客の満足と単価が下がるジレンマ（ロスパン安い）,今伸びてるもの,8
9,うちはイタリアンやからパスタ出したいけどオペレーションがどうしても,うちはイタリアンやからパスタ出したいけどオペレーションがどうしても,パスタは「頑張って回す」を選んで現場を壊します,"その条件なら生麺に変える判断ならアリです
理由はシンプルで茹で時間・再現性・技術依存を一気に下げられるから","・ピークの同時提供数
・鍋と火口の数
・新人でも作れるか
この3つを整理してから初めて選ぶ選択肢です
これを考えずに生麺にしてもたぶん何も解決しません",うちはイタリアンやからパスタ出したいけどオペレーションがどうしても,今伸びてるもの,9
10,せっかく仕入れたワイン、抜栓しても売り切れんから困ってるビストロから相談いただくんですが,せっかく仕入れたワイン、抜栓しても売り切れんから困ってるビストロから相談いただくんですが,"せっかく仕入れたワイン抜栓しても売り切れん
これビストロの相談でいちばん多い悩みです","・メニューor黒板で主役にした
・スタッフ全員が一言で勧められる
・値引きではなく理由付けで提案している
全部にチェックがつかないなら売れないのは当然です","もし抜栓ワインが残り続けてるならそれは仕入れの失敗ではなく売り方を決めずに
開けてる設計ミスです
次に抜栓する一本を何杯で・いつまでに売り切るかを決めてから開けてください",せっかく仕入れたワイン、抜栓しても売り切れんから困ってるビストロから相談いただくんですが,今伸びてるもの,10
