集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
20251201,26510,4,6627,9,2945,20,4950,21560,2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251202,130170,8,16271,20,6508,116,26580,103590,-6730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203,40920,4,10230,8,5115,33,15950,24970,3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,72400,4,18100,14,5171,51,10120,62280,6580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,243410,2,121705,41,5936,38,0,243410,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251206,139670,6,23278,35,3990,49,29920,109750,4830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251207,32830,5,6566,10,3283,29,9730,23100,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251208,59400,5,11880,14,4242,38,0,59400,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251209,181650,6,30275,44,4128,77,29700,151950,6150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251210,82780,5,16556,22,3762,28,8360,74420,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,195040,5,39008,27,7223,59,0,195040,5640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251212,225690,9,25076,33,6839,88,0,225690,5690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,198410,8,24801,21,9448,90,0,198410,15310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251214,40820,5,8164,9,4535,30,5500,35320,3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251215,64460,5,12892,11,5860,39,8140,56320,5860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251216,138540,7,19791,26,5328,63,4400,134140,2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251217,230300,10,23030,27,8529,149,0,230300,20930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251218,170360,4,42590,22,7743,28,4840,165520,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251219,368280,13,28329,58,6349,141,133700,234580,11540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,191930,12,15994,25,7677,112,45100,146830,11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251221,105940,5,21188,26,4074,53,13860,92080,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251222,159170,13,12243,37,4301,150,77300,81870,9470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251223,106670,9,11852,23,4637,78,0,106670,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,106790,14,7627,24,4449,104,-3000,109790,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251225,166340,10,16634,21,7920,97,64180,102160,14440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251226,206230,11,18748,30,6874,109,16500,189730,11130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251227,233090,10,23309,40,5827,167,51700,181390,10890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251228,80320,7,11474,16,5020,69,13090,67230,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251229,102300,8,12787,24,4262,73,11660,90640,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,78890,7,11270,17,4640,62,25850,53040,3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251231,146200,13,11246,31,4716,86,27860,118340,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,RB0120260101195600000,2026/01/01,20:28:53,8140,7400,740,0,8140,740,0,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,740,2,5,00:32:53,"5, 6",大泉,2533705EEB9A4A07BBE3EE9542EF3992,スナック,チーズ盛り合わせ,2200,1
,,,,,,,,,,RB0120260101195600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2533705EEB9A4A07BBE3EE9542EF3992,その他,tablecharge,500,2
,,,,,,,,,,RB0120260101195600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2533705EEB9A4A07BBE3EE9542EF3992,ジャパニーズカクテル,柚子と旨味のセッションサワー,2200,1
,,,,,,,,,,RB0120260101195600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2533705EEB9A4A07BBE3EE9542EF3992,オリジナルカクテル,Arrow Head,2000,1
,,,,,,,,,,RB0120260101202141000,2026/01/01,21:01:38,8250,7500,750,0,8250,750,0,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,750,2,5,00:39:57,"8, 9",橋本,28B99E63A2584CEDB4C2B00213985F43,その他,tablecharge,500,2
,,,,,,,,,,RB0120260101202141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28B99E63A2584CEDB4C2B00213985F43,ジャパニーズカクテル,柚子と旨味のセッションサワー,2200,1
