店舗ID,営業日,会計日時,オーダー日時,会計ID,分類ID,分類名称,メニューID,メニュー名称,主副区別,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,親メニューID,親メニュー名,消費税率区分,ユーザーID
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:39:54,2026/01/05 21:12:38,67128991,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:39:54,2026/01/05 20:51:13,67128991,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:39:54,2026/01/05 20:28:15,67128991,309679,松・飲み放題（コース内）,2734169,★飲放★　ジンジャーエール,0,0,0,30,28,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:39:54,2026/01/05 20:28:15,67128991,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:50:24,2026/01/05 20:14:40,67130706,302253,ソフトドリンク,2641905,とうもろこしひげ茶,0,630,573,41,38,1,630,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:50:24,2026/01/05 20:14:40,67130706,302253,ソフトドリンク,774611,HOT,1,0,0,0,0,1,0,,2641905,とうもろこしひげ茶,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:50:24,2026/01/05 20:14:40,67130706,302253,ソフトドリンク,2641633,黒烏龍茶,0,530,482,14,13,1,530,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:50:24,2026/01/05 20:14:40,67130706,302253,ソフトドリンク,774610,ICE,1,0,0,0,0,1,0,,2641633,黒烏龍茶,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:50:24,2026/01/05 20:14:40,67130706,302253,ソフトドリンク,2641905,とうもろこしひげ茶,0,630,573,41,38,1,630,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/01/05,2026/01/05 21:50:24,2026/01/05 20:14:40,67130706,302253,ソフトドリンク,774610,ICE,1,0,0,0,0,1,0,,2641905,とうもろこしひげ茶,10,
