取引No,元取引No,取引日,取引時間,来店日,来店時間,店舗番号,店舗名,取引種別,レジ番号,レジ担当者番号,レジ担当者名,商品名,バリエーション種別1,バリエーション種別2,販売単位,商品単価,販売分量,商品数,商品合計金額,割引・割増,個別割引・割増金額,単位,個別割引・割増数,個別割引・割増合計金額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額,小計数,小計,外税額,カスタム割引・割増,端数値引,割引調整,合計,内消費税,合計（10%標準）,内消費税（10%標準）,合計（8%標準）,内消費税（8%標準）,合計（8%軽減）,内消費税（8%軽減）,合計（非課税）,クレジットカード(Airペイ タッチ),クレジットカード(Airペイ),現金,iD(Airペイ),交通系電子マネー(Airペイ),UnionPay 銀聯(Airペイ),ポイント(ホットペッパーグルメ),QUICPay(Airペイ),QR決済(Airペイ QR),スマート支払い(ホットペッパーグルメ),QR決済(Airペイ),クレジットカード(オンライン決済),クレジットカード(モバイルオーダー 店外版),ポイント(Airペイ ポイント),クレジットカード/電子マネー(Square),Pontaポイント/リクルートポイント,Apple Pay(Airペイ),お預り金額,おつり金額
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,角ハイボール,角ハイボール,,,550,,4,2200,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,お通し,女性,,,300,,2,600,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,のりチーズ,,,,280,,1,280,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,アスパラ肉巻き,,,,280,,1,280,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,ミニトマト肉巻き,,,,240,,1,240,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,椎茸肉巻き,,,,280,,1,280,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103170253624,,2025/01/03,17:59:19,2025/01/03,17:02:18,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,ししゃも,,,,480,,1,480,,0,-,0,0,,0,0,0,0,11,4360,436,0,0,0,4796,436,4796,436,0,0,0,0,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,5210
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,生ビール,,,,500,,1,500,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,こだわり酒場のレモンサワー,通常,,,500,,2,1000,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
HD0020250103173729293,,2025/01/03,18:38:17,2025/01/03,17:36:27,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,お通し,女性,,,300,,2,600,,0,-,0,0,,0,0,0,0,13,4560,456,0,0,0,5016,456,5016,456,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,0
