menu_name,subtotal,quantity,構成比
その他CLPコース,409800.0,77,15.485187424425634
7000円飲み放題付（2時間制）,280000.0,40,10.580411124546554
tablecharge,167000.0,334,6.310459492140266
ガージェリー,72800.0,57,2.7509068923821043
山葵と梨のスマッシュ,59800.0,27,2.2596735187424426
ハウスハイボール,57200.0,44,2.1614268440145104
イベント費用,55000.0,1,2.0782950423216446
本わさびジンソニック,54000.0,31,2.040507859733978
Hojicha Negroni,40800.0,25,1.5417170495767836
"サングリア赤　1,800円",37800.0,21,1.4283555018137848
チーズ盛り合わせ,37400.0,17,1.4132406287787183
Niu Japonica,36800.0,23,1.3905683192261185
クラシックカクテル,35500.0,24,1.3414449818621523
Japanese High Tea,34200.0,20,1.2923216444981862
6500円飲み放題付（2時間制）,32500.0,5,1.2280834340991535
Tommy's Verde Margarita,32400.0,19,1.224304715840387
デバルド・ロッソ,32400.0,27,1.224304715840387
焙じ茶ジンソーダ,30800.0,22,1.163845223700121
ショートコース(食事のみ)+チャージ込み＋サ別,30000.0,3,1.133615477629988
Arrow Head,30000.0,16,1.133615477629988
ゴールデンタイムフィズ,28900.0,17,1.0920495767835552
ラザニア,28800.0,19,1.0882708585247884
"サングリア白　1,800円",25200.0,14,0.9522370012091899
ハートランド,25000.0,25,0.9446795646916566
生ハム盛り,22400.0,14,0.8464328899637243
ハイティー（ノンアルコール）,22000.0,4,0.8313180169286578
生チョコレート,22000.0,22,0.8313180169286578
Syndicate,21600.0,12,0.8162031438935914
パナメラ・カルベネ・ソーヴィニョン,20800.0,13,0.7859733978234582
デバルド・ビアンコ,20400.0,17,0.7708585247883918
Espresso Martini,19800.0,11,0.748186215235792
シャーリーテンプル,19500.0,16,0.7368500604594921
梅酒,19200.0,16,0.7255139056831923
プレミアムハウスハイボール,18000.0,9,0.6801692865779928
マルゲリータ,18000.0,11,0.6801692865779928
セイロンバックスフィズ,18000.0,12,0.6801692865779928
禁断パスタ,18000.0,11,0.6801692865779928
フレンチフライ,18000.0,18,0.6801692865779928
トマトのカプレーゼ,18000.0,13,0.6801692865779928
パナメラ シャルドネ,17600.0,2,0.6650544135429262
パナメラ カベルネ・ソーヴィニョン,17600.0,2,0.6650544135429262
本日のデザート,16800.0,15,0.6348246674727932
黒板メニュー　肉料理,16800.0,6,0.6348246674727932
鶏もものソテー,16200.0,10,0.6121523579201935
カルパッチョ,15300.0,9,0.5781438935912938
ラリエ,15000.0,1,0.566807738814994
ガーリックシュリンプ,15000.0,11,0.566807738814994
パナメラ・シャルドネ,14400.0,9,0.5441354292623942
テバルド・ビアンコ,13000.0,2,0.4912333736396614
イベントフード,13000.0,2,0.4912333736396614
テバルド・ロッソ,13000.0,2,0.4912333736396614
MIXローストナッツ,12800.0,16,0.48367593712212814
Cafe Oaxaca,12800.0,8,0.48367593712212814
タリスカー10年,12600.0,9,0.47611850060459493
ウイスキーボトル,12000.0,1,0.4534461910519952
グレンアラヒー8年,11200.0,7,0.42321644498186217
前菜の盛り合わせ,10400.0,6,0.3929866989117291
パ・フェネオン,10000.0,1,0.3778718258766627
招待日和コース(食事のみ)+チャージ別＋サ別,10000.0,1,0.3778718258766627
黒板メニュー　パスタ,9400.0,5,0.3551995163240629
唐揚げ,9100.0,7,0.34386336154776304
バレルエイジドジン,9000.0,5,0.3400846432889964
柚子と旨味のセッションサワー,8800.0,4,0.3325272067714631
ウーロン茶,8800.0,11,0.3325272067714631
竹鶴,8500.0,5,0.32119105199516323
作,8500.0,5,0.32119105199516323
ローター・トラウベンモスト,8400.0,7,0.3174123337363966
ウイスキー,8200.0,4,0.30985489721886333
ボウモア12年,8000.0,5,0.3022974607013301
ボロネーゼ,8000.0,5,0.3022974607013301
アードベック 10年,8000.0,5,0.3022974607013301
白州,7800.0,4,0.29474002418379686
ハーバルウォッカトニック,7200.0,4,0.2720677146311971
ロイヤルブラックラ 12年,7200.0,4,0.2720677146311971
牡蠣のレモンマリネ,7000.0,7,0.26451027811366384
ウルフクレイグ　14年,7000.0,3,0.26451027811366384
バーニャカウダ,7000.0,7,0.26451027811366384
