年月,カテゴリ,売上額,客数,客単価
2023-03,ランチ Eat-in,2257820,711,3176
2023-03,ランチ デリバリー,892442,55,16226
2023-03,アイドルタイム デリバリー,115702,11,10518
2023-03,ディナー Eat-in,2633732,307,8579
2023-03,ディナー デリバリー,744586,73,10200
2023-04,ランチ Eat-in,2000460,742,2696
2023-04,ランチ デリバリー,166190,46,3613
2023-04,アイドルタイム デリバリー,53200,6,8867
2023-04,ディナー Eat-in,2954760,358,8254
2023-04,ディナー デリバリー,625400,55,11371
2023-05,ランチ Eat-in,2426660,774,3135
2023-05,ランチ デリバリー,339470,63,5388
2023-05,アイドルタイム デリバリー,294170,22,13371
2023-05,ディナー Eat-in,3201605,365,8772
2023-05,ディナー デリバリー,573270,63,9100
2023-06,ランチ Eat-in,1360578,575,2366
2023-06,ランチ デリバリー,392570,67,5859
2023-06,アイドルタイム デリバリー,198120,16,12383
2023-06,ディナー Eat-in,3248962,381,8527
2023-06,ディナー デリバリー,844300,86,9817
2023-07,ランチ Eat-in,2631428,740,3556
2023-07,ランチ デリバリー,704590,92,7659
2023-07,アイドルタイム デリバリー,726430,53,13706
2023-07,ディナー Eat-in,5391861,610,8839
2023-07,ディナー デリバリー,2081400,149,13969
2023-08,ランチ Eat-in,2087000,693,3012
2023-08,ランチ デリバリー,633420,48,13196
2023-08,アイドルタイム デリバリー,201760,22,9171
2023-08,ディナー Eat-in,4391940,514,8545
2023-08,ディナー デリバリー,849750,89,9548
2023-09,ランチ Eat-in,1653030,620,2666
2023-09,ランチ デリバリー,604080,57,10598
2023-09,アイドルタイム デリバリー,106470,9,11830
2023-09,ディナー Eat-in,2901930,343,8460
2023-09,ディナー デリバリー,681170,69,9872
2023-10,ランチ Eat-in,1932280,717,2695
2023-10,ランチ デリバリー,339310,66,5141
2023-10,アイドルタイム デリバリー,84930,10,8493
2023-10,ディナー Eat-in,3026648,362,8361
2023-10,ディナー デリバリー,514700,60,8578
2023-11,ランチ Eat-in,1685910,650,2594
2023-11,ランチ デリバリー,366930,74,4959
2023-11,アイドルタイム デリバリー,122650,12,10221
2023-11,ディナー Eat-in,2943600,344,8557
2023-11,ディナー デリバリー,381310,48,7944
2023-12,ランチ Eat-in,2221860,703,3161
2023-12,ランチ デリバリー,852080,63,13525
2023-12,アイドルタイム デリバリー,169230,7,24176
2023-12,ディナー Eat-in,4507218,465,9693
2023-12,ディナー デリバリー,1086990,81,13420
2024-01,ランチ Eat-in,2371470,703,3373
2024-01,ランチ デリバリー,327820,42,7805
2024-01,アイドルタイム デリバリー,127610,11,11601
2024-01,ディナー Eat-in,3385326,371,9125
2024-01,ディナー デリバリー,849640,81,10489
2024-02,ランチ Eat-in,1508690,530,2847
2024-02,ランチ デリバリー,232610,44,5287
2024-02,アイドルタイム デリバリー,108650,10,10865
2024-02,ディナー Eat-in,2882925,328,8789
2024-02,ディナー デリバリー,598800,59,10149
2024-03,ランチ Eat-in,1619328,566,2861
2024-03,ランチ デリバリー,390440,93,4198
2024-03,アイドルタイム デリバリー,64250,9,7139
2024-03,ディナー Eat-in,3127630,332,9421
2024-03,ディナー デリバリー,703680,54,13031
2024-04,ランチ Eat-in,1966580,756,2601
2024-04,ランチ デリバリー,396900,84,4725
2024-04,アイドルタイム デリバリー,57800,4,14450
2024-04,ディナー Eat-in,2515926,300,8386
2024-04,ディナー デリバリー,561070,59,9510
2024-05,ランチ Eat-in,1959410,696,2815
2024-05,ランチ デリバリー,392920,62,6337
2024-05,アイドルタイム デリバリー,119050,9,13228
2024-05,ディナー Eat-in,3103800,396,7838
2024-05,ディナー デリバリー,760580,66,11524
2024-06,ランチ Eat-in,2362280,892,2648
2024-06,ランチ デリバリー,210420,32,6576
2024-06,アイドルタイム デリバリー,50030,6,8338
2024-06,ディナー Eat-in,3904970,457,8545
2024-06,ディナー デリバリー,503580,46,10947
2024-07,ランチ Eat-in,3022690,705,4288
2024-07,ランチ デリバリー,754760,86,8776
2024-07,アイドルタイム デリバリー,89800,9,9978
2024-07,ディナー Eat-in,5469980,610,8967
2024-07,ディナー デリバリー,1112830,92,12096
2024-08,ランチ Eat-in,2242170,611,3670
2024-08,ランチ デリバリー,195480,25,7819
2024-08,アイドルタイム デリバリー,124600,9,13844
2024-08,ディナー Eat-in,3695970,401,9217
2024-08,ディナー デリバリー,563580,48,11741
2024-09,ランチ Eat-in,1722450,616,2796
2024-09,ランチ デリバリー,325330,71,4582
2024-09,アイドルタイム デリバリー,37800,5,7560
2024-09,ディナー Eat-in,2750824,309,8902
2024-09,ディナー デリバリー,667160,44,15163
2024-10,ランチ Eat-in,1535350,628,2445
2024-10,ランチ デリバリー,237680,53,4485
2024-10,アイドルタイム デリバリー,20150,3,6717
2024-10,ディナー Eat-in,2516330,325,7743
2024-10,ディナー デリバリー,392370,43,9125
2024-11,ランチ Eat-in,2035030,653,3116
2024-11,ランチ デリバリー,146950,27,5443
2024-11,アイドルタイム デリバリー,8400,1,8400
2024-11,ディナー Eat-in,2860340,325,8801
2024-11,ディナー デリバリー,288800,30,9627
2024-12,ランチ Eat-in,2280570,699,3263
2024-12,ランチ デリバリー,220850,23,9602
2024-12,アイドルタイム デリバリー,91000,6,15167
2024-12,ディナー Eat-in,4106950,427,9618
2024-12,ディナー デリバリー,704360,49,14375
2025-01,ランチ Eat-in,2373720,725,3274
2025-01,ランチ デリバリー,68200,9,7578
2025-01,アイドルタイム デリバリー,14200,2,7100
2025-01,ディナー Eat-in,3239380,376,8615
2025-01,ディナー デリバリー,227020,36,6306
2025-02,ランチ Eat-in,1660120,613,2708
2025-02,ランチ デリバリー,170030,26,6540
2025-02,アイドルタイム デリバリー,6400,2,3200
2025-02,ディナー Eat-in,1936720,232,8348
2025-02,ディナー デリバリー,480250,47,10218
2025-03,ランチ Eat-in,1468290,529,2776
2025-03,ランチ デリバリー,226725,19,11933
2025-03,アイドルタイム デリバリー,47800,5,9560
2025-03,ディナー Eat-in,2223940,254,8756
2025-03,ディナー デリバリー,513350,42,12223
2025-04,ランチ Eat-in,1638170,661,2478
2025-04,ランチ デリバリー,177400,33,5376
2025-04,アイドルタイム デリバリー,11100,2,5550
2025-04,ディナー Eat-in,2576864,286,9010
2025-04,ディナー デリバリー,433050,35,12373
2025-05,ランチ Eat-in,1842720,691,2667
2025-05,ランチ デリバリー,102300,15,6820
2025-05,アイドルタイム デリバリー,6300,1,6300
2025-05,ディナー Eat-in,2476503,301,8228
2025-05,ディナー デリバリー,612880,47,13040
2025-06,ランチ Eat-in,1912070,662,2888
2025-06,ランチ デリバリー,163550,19,8608
2025-06,アイドルタイム デリバリー,45000,3,15000
2025-06,ディナー Eat-in,2588450,297,8715
2025-06,ディナー デリバリー,496400,46,10791
2025-07,ランチ Eat-in,2560720,754,3396
2025-07,ランチ デリバリー,638270,59,10818
2025-07,アイドルタイム デリバリー,235650,22,10711
2025-07,ディナー Eat-in,5296293,562,9424
2025-07,ディナー デリバリー,1088540,107,10173
2025-08,ランチ Eat-in,2006100,650,3086
2025-08,ランチ デリバリー,186910,23,8127
2025-08,アイドルタイム デリバリー,175850,13,13527
2025-08,ディナー Eat-in,3101780,356,8713
2025-08,ディナー デリバリー,711720,84,8473
2025-09,ランチ Eat-in,1282285,625,2052
2025-09,ランチ デリバリー,87840,18,4880
2025-09,アイドルタイム デリバリー,61750,10,6175
2025-09,ディナー Eat-in,1649375,216,7636
