旗の台店（shiki-001）,パターン1: 月別比率方式
,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ランチ Eat-in 売上,2082565,2231353,2104326,2593808,1969074,1916882,1867615,2145784,2091053,2427818,1614490,1726568,24771336
ランチ Eat-in 客数,804,777,799,692,605,765,749,791,702,773,601,588,8646
ランチ Eat-in 客単価,2592,2872,2634,3747,3256,2505,2493,2712,2979,3140,2686,2938,2865
ランチ デリバリー 売上,275037,285948,286261,661016,295698,371740,265550,290013,456293,222787,236879,460242,4107464
ランチ デリバリー 客数,60,46,41,73,30,56,41,51,48,33,43,43,565
ランチ デリバリー 客単価,4571,6182,7014,9084,9714,6687,6483,5646,9468,6744,5507,10786,7270
アイドルタイム デリバリー 売上,43960,136668,110017,318546,154749,84939,99170,102107,167575,103316,97216,71432,1489695
アイドルタイム デリバリー 客数,5,12,9,28,13,10,13,12,11,13,14,8,148
アイドルタイム デリバリー 客単価,9622,10966,11907,11465,12181,8522,7794,8812,15765,8259,6972,9072,10066
ディナー Eat-in 売上,2999621,3140776,3604297,5100708,3426531,2921039,2708131,3090921,3971418,3174285,2500081,2607775,39245583
ディナー Eat-in 客数,351,379,419,562,388,351,325,349,409,356,285,292,4466
ディナー Eat-in 客単価,8550,8279,8596,9077,8825,8333,8342,8869,9705,8918,8775,8919,8788
ディナー デリバリー 売上,598817,705255,695099,1325922,653948,705400,559534,571175,813661,571794,551334,633983,8385922
ディナー デリバリー 客数,54,63,66,110,66,57,60,67,73,79,66,54,815
ディナー デリバリー 客単価,11085,11221,10518,12079,9921,12345,9298,8577,11221,7230,8346,11818,10289


旗の台店（shiki-001）,パターン2: 7月除外平均比率方式
,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ランチ Eat-in 売上,1962028,2125530,2223632,2593808,2125530,1962028,1798526,2027429,2452535,2125530,1635023,1798526,24830125
ランチ Eat-in 客数,701,759,794,692,759,701,642,724,876,759,584,642,8633
ランチ Eat-in 客単価,2801,2801,2801,3747,2801,2801,2801,2801,2801,2801,2801,2801,2876
ランチ デリバリー 売上,305785,331267,346556,661016,331267,305785,280303,315978,382231,331267,254821,280303,4126579
ランチ デリバリー 客数,43,46,48,73,46,43,39,44,53,46,36,39,556
ランチ デリバリー 客単価,7164,7164,7164,9084,7164,7164,7164,7164,7164,7164,7164,7164,7422
アイドルタイム デリバリー 売上,102362,110893,116011,318546,110893,102362,93832,105775,127953,110893,85302,93832,1478654
アイドルタイム デリバリー 客数,10,11,12,28,11,10,9,11,13,11,9,9,144
アイドルタイム デリバリー 客単価,9988,9988,9988,11465,9988,9988,9988,9988,9988,9988,9988,9988,10268
ディナー Eat-in 売上,3005525,3255985,3406261,5100708,3255985,3005525,2755064,3105708,3756906,3255985,2504604,2755064,39163320
ディナー Eat-in 客数,344,373,390,562,373,344,315,355,430,373,287,315,4461
ディナー Eat-in 客単価,8737,8737,8737,9077,8737,8737,8737,8737,8737,8737,8737,8737,8779
ディナー デリバリー 売上,624300,676325,707540,1325922,676325,624300,572275,645110,780375,676325,520250,572275,8401322
ディナー デリバリー 客数,62,67,70,110,67,62,56,64,77,67,51,56,809
ディナー デリバリー 客単価,10144,10144,10144,12079,10144,10144,10144,10144,10144,10144,10144,10144,10385


本店（shiki-002）,パターン1: 月別比率方式
,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ランチ Eat-in 売上,940575,978719,983669,1345160,1062273,988291,879289,812843,903407,734563,696779,813576,11139144
ランチ Eat-in 客数,201,199,211,243,179,196,179,165,181,138,152,192,2236
ランチ Eat-in 客単価,4672,4922,4661,5525,5936,5042,4912,4912,4993,5309,4588,4246,4982
ランチ デリバリー 売上,540319,598338,586821,1046935,580926,462541,474915,446133,436487,452975,354596,376241,6357227
ランチ デリバリー 客数,39,47,52,82,50,41,37,30,38,37,32,35,520
