period,biz_date,曜日,売上,客数,組数,客単価,組単価
After (4/1-4/23),2026-04-01,水,52430,8,5,6554,10486
After (4/1-4/23),2026-04-02,木,70900,12,5,5908,14180
After (4/1-4/23),2026-04-03,金,227900,30,3,7597,75967
After (4/1-4/23),2026-04-04,土,75000,18,9,4167,8333
After (4/1-4/23),2026-04-05,日,18100,4,2,4525,9050
After (4/1-4/23),2026-04-06,月,64810,14,6,4629,10802
After (4/1-4/23),2026-04-07,火,25400,7,4,3629,6350
After (4/1-4/23),2026-04-09,木,20100,4,2,5025,10050
After (4/1-4/23),2026-04-10,金,106340,29,8,3667,13292
After (4/1-4/23),2026-04-11,土,100860,27,7,3736,14409
After (4/1-4/23),2026-04-12,日,91500,20,6,4575,15250
After (4/1-4/23),2026-04-13,月,33260,8,4,4158,8315
After (4/1-4/23),2026-04-14,火,173470,21,5,8260,34694
After (4/1-4/23),2026-04-15,水,173880,24,3,7245,57960
After (4/1-4/23),2026-04-16,木,48490,10,4,4849,12122
After (4/1-4/23),2026-04-17,金,240910,43,9,5603,26768
After (4/1-4/23),2026-04-18,土,41170,11,6,3743,6862
After (4/1-4/23),2026-04-20,月,57200,12,6,4767,9533
After (4/1-4/23),2026-04-21,火,55600,14,5,3971,11120
After (4/1-4/23),2026-04-23,木,32370,9,4,3597,8092
Before同窓 (3/1-3/23),2026-03-01,日,92920,13,7,7148,13274
Before同窓 (3/1-3/23),2026-03-02,月,81560,8,4,10195,20390
Before同窓 (3/1-3/23),2026-03-03,火,23980,3,2,7993,11990
Before同窓 (3/1-3/23),2026-03-04,水,60410,9,3,6712,20137
Before同窓 (3/1-3/23),2026-03-05,木,72330,16,9,4521,8037
Before同窓 (3/1-3/23),2026-03-06,金,121700,13,4,9362,30425
Before同窓 (3/1-3/23),2026-03-07,土,35970,11,5,3270,7194
Before同窓 (3/1-3/23),2026-03-08,日,19250,8,3,2406,6417
Before同窓 (3/1-3/23),2026-03-09,月,70480,6,4,11747,17620
Before同窓 (3/1-3/23),2026-03-10,火,16930,5,3,3386,5643
Before同窓 (3/1-3/23),2026-03-11,水,33420,8,6,4178,5570
Before同窓 (3/1-3/23),2026-03-12,木,52720,10,5,5272,10544
Before同窓 (3/1-3/23),2026-03-13,金,189990,27,8,7037,23749
Before同窓 (3/1-3/23),2026-03-14,土,132640,21,9,6316,14738
Before同窓 (3/1-3/23),2026-03-15,日,78750,16,8,4922,9844
Before同窓 (3/1-3/23),2026-03-16,月,172860,16,9,10804,19207
Before同窓 (3/1-3/23),2026-03-17,火,130170,23,5,5660,26034
Before同窓 (3/1-3/23),2026-03-18,水,78430,17,6,4614,13072
Before同窓 (3/1-3/23),2026-03-19,木,217680,40,12,5442,18140
Before同窓 (3/1-3/23),2026-03-20,金,213530,42,4,5084,53382
Before同窓 (3/1-3/23),2026-03-21,土,109830,21,9,5230,12203
Before同窓 (3/1-3/23),2026-03-22,日,114050,46,7,2479,16293
Before同窓 (3/1-3/23),2026-03-23,月,61330,12,6,5111,10222
Before月 (3/1-3/31),2026-03-01,日,92920,13,7,7148,13274
Before月 (3/1-3/31),2026-03-02,月,81560,8,4,10195,20390
Before月 (3/1-3/31),2026-03-03,火,23980,3,2,7993,11990
Before月 (3/1-3/31),2026-03-04,水,60410,9,3,6712,20137
Before月 (3/1-3/31),2026-03-05,木,72330,16,9,4521,8037
Before月 (3/1-3/31),2026-03-06,金,121700,13,4,9362,30425
Before月 (3/1-3/31),2026-03-07,土,35970,11,5,3270,7194
Before月 (3/1-3/31),2026-03-08,日,19250,8,3,2406,6417
Before月 (3/1-3/31),2026-03-09,月,70480,6,4,11747,17620
Before月 (3/1-3/31),2026-03-10,火,16930,5,3,3386,5643
Before月 (3/1-3/31),2026-03-11,水,33420,8,6,4178,5570
Before月 (3/1-3/31),2026-03-12,木,52720,10,5,5272,10544
Before月 (3/1-3/31),2026-03-13,金,189990,27,8,7037,23749
Before月 (3/1-3/31),2026-03-14,土,132640,21,9,6316,14738
Before月 (3/1-3/31),2026-03-15,日,78750,16,8,4922,9844
Before月 (3/1-3/31),2026-03-16,月,172860,16,9,10804,19207
Before月 (3/1-3/31),2026-03-17,火,130170,23,5,5660,26034
Before月 (3/1-3/31),2026-03-18,水,78430,17,6,4614,13072
Before月 (3/1-3/31),2026-03-19,木,217680,40,12,5442,18140
Before月 (3/1-3/31),2026-03-20,金,213530,42,4,5084,53382
Before月 (3/1-3/31),2026-03-21,土,109830,21,9,5230,12203
Before月 (3/1-3/31),2026-03-22,日,114050,46,7,2479,16293
Before月 (3/1-3/31),2026-03-23,月,61330,12,6,5111,10222
Before月 (3/1-3/31),2026-03-24,火,45210,9,4,5023,11302
Before月 (3/1-3/31),2026-03-25,水,68640,11,3,6240,22880
Before月 (3/1-3/31),2026-03-26,木,151140,16,6,9446,25190
Before月 (3/1-3/31),2026-03-27,金,121880,28,15,4353,8125
Before月 (3/1-3/31),2026-03-28,土,103460,19,7,5445,14780
Before月 (3/1-3/31),2026-03-29,日,53130,8,4,6641,13282
Before月 (3/1-3/31),2026-03-30,月,111240,26,9,4278,12360
Before月 (3/1-3/31),2026-03-31,火,86450,13,2,6650,43225
YoY (2025/4/1-4/23),2025-04-01,火,335070,35,4,9573,83768
YoY (2025/4/1-4/23),2025-04-02,水,45430,10,7,4543,6490
YoY (2025/4/1-4/23),2025-04-03,木,95920,22,8,4360,11990
YoY (2025/4/1-4/23),2025-04-04,金,252120,53,17,4757,14831
YoY (2025/4/1-4/23),2025-04-05,土,100800,30,13,3360,7754
YoY (2025/4/1-4/23),2025-04-06,日,54210,14,7,3872,7744
YoY (2025/4/1-4/23),2025-04-07,月,104720,18,8,5818,13090
