period,曜日,日数,日次売上,日次客数,日次組数,客単価
After (4/1-4/23),月,3,51757,11.3,5.3,4567
After (4/1-4/23),火,3,84823,14.0,4.7,6059
After (4/1-4/23),水,2,113155,16.0,4.0,7072
After (4/1-4/23),木,4,42965,8.8,3.8,4910
After (4/1-4/23),金,3,191717,34.0,6.7,5639
After (4/1-4/23),土,3,72343,18.7,7.3,3876
After (4/1-4/23),日,2,54800,12.0,4.0,4567
Before同窓 (3/1-3/23),月,4,96558,10.5,5.8,9196
Before同窓 (3/1-3/23),火,3,57027,10.3,3.3,5519
Before同窓 (3/1-3/23),水,3,57420,11.3,5.0,5066
Before同窓 (3/1-3/23),木,3,114243,22.0,8.7,5193
Before同窓 (3/1-3/23),金,3,175073,27.3,5.3,6405
Before同窓 (3/1-3/23),土,3,92813,17.7,7.7,5254
Before同窓 (3/1-3/23),日,4,76242,20.8,6.2,3674
Before月 (3/1-3/31),月,5,99494,13.6,6.4,7316
Before月 (3/1-3/31),火,5,60548,10.6,3.2,5712
Before月 (3/1-3/31),水,4,60225,11.2,4.5,5353
Before月 (3/1-3/31),木,4,123468,20.5,8.0,6023
Before月 (3/1-3/31),金,4,161775,27.5,7.8,5883
Before月 (3/1-3/31),土,4,95475,18.0,7.5,5304
Before月 (3/1-3/31),日,5,71620,18.2,5.8,3935
YoY (2025/4/1-4/23),月,3,122020,22.0,5.7,5546
YoY (2025/4/1-4/23),火,4,185192,29.8,8.8,6225
YoY (2025/4/1-4/23),水,4,61448,15.8,7.5,3901
YoY (2025/4/1-4/23),木,3,128537,26.3,12.7,4881
YoY (2025/4/1-4/23),金,3,187967,43.3,13.3,4338
YoY (2025/4/1-4/23),土,3,125310,31.0,15.3,4042
YoY (2025/4/1-4/23),日,3,48773,12.3,6.0,3955
