period,hour,日次平均売上,日次平均客数,伝票数
After (4/1-4/23),18,10060,1.8,6
After (4/1-4/23),19,1805,0.45,7
After (4/1-4/23),20,8553,1.45,13
After (4/1-4/23),21,15765,3.1,20
After (4/1-4/23),22,20702,4.4,23
After (4/1-4/23),23,8742,2.15,20
After (4/1-4/23),0,9940,1.9,9
After (4/1-4/23),1,2718,0.2,3
After (4/1-4/23),2,1696,0.2,1
After (4/1-4/23),3,0,0.0,0
After (4/1-4/23),4,5504,0.6,1
Before同窓 (3/1-3/23),18,7385,1.83,3
Before同窓 (3/1-3/23),19,3248,0.52,8
Before同窓 (3/1-3/23),20,13451,2.26,20
Before同窓 (3/1-3/23),21,18737,3.87,28
Before同窓 (3/1-3/23),22,18565,2.83,27
Before同窓 (3/1-3/23),23,15719,3.39,35
Before同窓 (3/1-3/23),0,11950,1.57,12
Before同窓 (3/1-3/23),1,1690,0.17,3
Before同窓 (3/1-3/23),2,4077,0.57,2
Before同窓 (3/1-3/23),3,0,0.0,0
Before同窓 (3/1-3/23),4,0,0.0,0
Before月 (3/1-3/31),18,5706,1.42,4
Before月 (3/1-3/31),19,3073,0.52,10
Before月 (3/1-3/31),20,20172,3.23,39
Before月 (3/1-3/31),21,15905,3.29,34
Before月 (3/1-3/31),22,16419,2.55,35
Before月 (3/1-3/31),23,18789,3.97,47
Before月 (3/1-3/31),0,9917,1.29,14
Before月 (3/1-3/31),1,1254,0.13,3
Before月 (3/1-3/31),2,3025,0.42,2
Before月 (3/1-3/31),3,0,0.0,0
Before月 (3/1-3/31),4,0,0.0,0
YoY (2025/4/1-4/23),18,717,0.35,4
YoY (2025/4/1-4/23),19,5816,1.3,24
YoY (2025/4/1-4/23),20,9136,2.57,26
YoY (2025/4/1-4/23),21,22212,4.0,32
YoY (2025/4/1-4/23),22,39407,6.52,46
YoY (2025/4/1-4/23),23,24706,6.17,46
YoY (2025/4/1-4/23),0,14430,3.52,33
YoY (2025/4/1-4/23),1,6376,1.09,13
YoY (2025/4/1-4/23),2,0,0.0,0
YoY (2025/4/1-4/23),3,0,0.0,0
YoY (2025/4/1-4/23),4,0,0.0,0
