period,時間帯,売上,客数,組数,売上構成比%,客数構成比%,日次平均売上,日次平均客数
After (4/1-4/18),18-20,228100,42,11,14.6,14.5,13418,2.5
After (4/1-4/18),20-22,414760,78,26,26.5,26.9,24398,4.6
After (4/1-4/18),22-24,534610,115,38,34.2,39.7,31448,6.8
After (4/1-4/18),24-26(深夜),387050,55,13,24.7,19.0,22768,3.2
Before同窓 (3/1-3/18),18-20,66070,10,6,4.5,4.3,3671,0.6
Before同窓 (3/1-3/18),20-22,478540,75,34,32.7,32.6,26586,4.2
Before同窓 (3/1-3/18),22-24,648470,110,50,44.3,47.8,36026,6.1
Before同窓 (3/1-3/18),24-26(深夜),271430,35,10,18.5,15.2,15079,1.9
Before月 (3/1-3/31),18-20,272170,60,14,9.3,11.5,8780,1.9
Before月 (3/1-3/31),20-22,1118400,202,73,38.3,38.8,36077,6.5
Before月 (3/1-3/31),22-24,1091450,202,82,37.4,38.8,35208,6.5
Before月 (3/1-3/31),24-26(深夜),440060,57,19,15.1,10.9,14195,1.8
YoY (2025/4/1-4/18),18-20,129250,30,23,5.2,6.0,7181,1.7
YoY (2025/4/1-4/18),20-22,672320,136,49,27.2,27.3,37351,7.6
YoY (2025/4/1-4/18),22-24,1278120,258,79,51.8,51.7,71007,14.3
YoY (2025/4/1-4/18),24-26(深夜),389780,75,36,15.8,15.0,21654,4.2
