#,menu_name,category,sales,qty,accts,構成比,累積構成比,ランク
1,7000円飲み放題付（3時間制）,未設定,182000.0,26,2,11.46,11.46,A
2,6500円飲み放題付（2時間制）,コース&セット,156000.0,24,1,9.83,21.29,A
3,その他CLPコース,コース&セット,137500.0,25,1,8.66,29.95,A
4,ハウスハイボール,ウイスキー（ハイボール・ボトル・オリジナル）,136800.0,114,8,8.62,38.57,A
5,tablecharge,その他,120500.0,203,71,7.59,46.16,A
6,森のジントニック,NEW CLASSIC COCKTAIL,96000.0,65,28,6.05,52.21,A
7,ガージェリー,ビール,36400.0,28,11,2.29,54.5,A
8,ドリンク,その他,36300.0,24,10,2.29,56.79,A
9,桜ブロッサム,JAPANESE COCKTAIL,32300.0,17,15,2.03,58.82,A
10,ゆずマティーニ,JAPANESE COCKTAIL,30500.0,15,10,1.92,60.74,A
11,焙煎ファッションド,JAPANESE COCKTAIL,28500.0,15,12,1.8,62.54,A
12,ワカモレチップス,COLD APPETIZERS,22800.0,19,13,1.44,63.98,A
13,カルヴァドスモヒート,NEW CLASSIC COCKTAIL,22500.0,15,12,1.42,65.4,A
14,ローズガーデン,FRUITS COCKTAIL,21000.0,14,12,1.32,66.72,A
15,ボロネーゼラザニア,MAIN DISHES,18900.0,9,7,1.19,67.91,A
16,BAR 専用チョコレート,BAR SNACKS ,18000.0,30,10,1.13,69.04,A
17,ミントのジェノベーゼ,MAIN DISHES,17100.0,9,8,1.08,70.12,B
18,撫子ネグローニ,JAPANESE COCKTAIL,17100.0,9,9,1.08,71.2,B
19,マティポテ,HOT APPETIZERS,16900.0,13,11,1.06,72.26,B
20,トロピカルヴェール,FRUITS COCKTAIL,16500.0,11,8,1.04,73.3,B
21,オーチャードマティーニ,NEW CLASSIC COCKTAIL,16500.0,11,10,1.04,74.34,B
22,ワイルドターキー8年,ウイスキー,15600.0,13,2,0.98,75.32,B
23,牛肉と季節のフルーツのカルパッチョ,COLD APPETIZERS,15000.0,10,8,0.94,76.26,B
24,オリエンタルアフタヌーン,NEW CLASSIC COCKTAIL,15000.0,10,8,0.94,77.2,B
25,シルキー麹サワー,JAPANESE COCKTAIL,13300.0,7,7,0.84,78.04,B
26,タリスカー10年,ウイスキー,12600.0,9,3,0.79,78.83,B
27,ティラミスロブロイ,DESSERT COCKTAIL,12000.0,8,8,0.76,79.59,B
28,ラ・ロスカ カヴァ ブリュット,ワイン,12000.0,2,2,0.76,80.35,B
29,サンセットソルティドッグ,NEW CLASSIC COCKTAIL,12000.0,8,8,0.76,81.11,B
30,グレンリベット12年,ウイスキー,11200.0,8,3,0.71,81.82,B
31,ロイヤルブラックラ 12年,ウイスキー,10800.0,6,1,0.68,82.5,B
32,余市,ジャパニーズウイスキー,10800.0,6,3,0.68,83.18,B
33,ベルガモットモスコミュール,NEW CLASSIC COCKTAIL,10500.0,7,7,0.66,83.84,B
34,5000円飲み放題付（2時間制）,コース&セット,10000.0,2,1,0.63,84.47,B
35,キャンディピーカン,BAR SNACKS ,9100.0,13,12,0.57,85.04,B
36,イベント費用,イベント,9000.0,1,1,0.57,85.61,B
37,ウーロン茶,ソフトドリンク,8800.0,11,4,0.55,86.16,B
38,デイドリームレモネード,NEW CLASSIC COCKTAIL,8500.0,5,5,0.54,86.7,B
39,ダルモア 12年,ウイスキー,8500.0,5,2,0.54,87.24,B
40,鴨のパイ包み,MAIN DISHES,8400.0,4,1,0.53,87.77,B
41,パナメラ・カルベネ・ソーヴィニョン,ワイン（グラス）,8000.0,5,2,0.5,88.27,B
42,ケールとベリーのサラダ,COLD APPETIZERS,7800.0,6,5,0.49,88.76,B
43,キャラメルナッツキャデラック,DESSERT COCKTAIL,7500.0,5,5,0.47,89.23,B
44,フィーバーツリーソーダ,ソフトドリンク,7200.0,9,2,0.45,89.68,B
45,テキーラ,テキーラ,7200.0,6,1,0.45,90.13,C
46,黒板メニュー　その他,黒板メニュー,7100.0,9,3,0.45,90.58,C
47,BFAカプレーゼ,COLD APPETIZERS,6600.0,6,4,0.42,91.0,C
48,テバルド・ロッソ,ワイン,6500.0,1,1,0.41,91.41,C
49,テバルド・ビアンコ,ワイン,6500.0,1,1,0.41,91.82,C
50,マッシュルームサラダとコールドカット,COLD APPETIZERS,6500.0,5,5,0.41,92.23,C
51,ボウモア12年,ウイスキー,6400.0,4,2,0.4,92.63,C
52,ソイ抹茶アレキサンダー,DESSERT COCKTAIL,6000.0,4,4,0.38,93.01,C
53,黒板メニュー　前菜,黒板メニュー,5400.0,3,1,0.34,93.35,C
54,知多,ジャパニーズウイスキー,5100.0,3,1,0.32,93.67,C
55,ラフロイグ10年,ウイスキー,5100.0,3,2,0.32,93.99,C
56,オリーブ,BAR SNACKS ,4900.0,7,7,0.31,94.3,C
57,ビーツのフムス,BAR SNACKS ,4500.0,5,5,0.28,94.58,C
58,カマンベールフォンデュ,HOT APPETIZERS,4200.0,3,3,0.26,94.84,C
59,ハートランド,ビール,4000.0,4,3,0.25,95.09,C
60,ジンジャーエール,ソフトドリンク,4000.0,5,3,0.25,95.34,C
61,黒板メニュー　肉料理,黒板メニュー,3800.0,2,1,0.24,95.58,C
62,キャラメルバナナ,DESSERT,3600.0,3,3,0.23,95.81,C
63,梅酒,ドリンク,3600.0,3,2,0.23,96.04,C
64,山崎12年,ジャパニーズウイスキー,3500.0,1,1,0.22,96.26,C
65,作,日本酒,3400.0,2,1,0.21,96.47,C
66,コーラ,ソフトドリンク,3200.0,4,3,0.2,96.67,C
67,ロンサカパ23,ラム,3000.0,2,1,0.19,96.86,C
68,コーヒー,ソフトドリンク,3000.0,3,2,0.19,97.05,C
69,タンカレーNo10,ジン,2800.0,2,1,0.18,97.23,C
70,フィグバター＆ブリオッシュ,HOT APPETIZERS,2600.0,2,2,0.16,97.39,C
71,マッカランダブルカスク12年,ウイスキー,2500.0,1,1,0.16,97.55,C
72,スパークリング,ワイン（グラス）,2400.0,2,1,0.15,97.7,C
73,デバルド・ロッソ,ワイン（グラス）,2400.0,2,2,0.15,97.85,C
74,レモンジンフィズ,STANDARD COCKTAIL,2400.0,2,2,0.15,98.0,C
75,プンタレッラのサラダ,COLD APPETIZERS,2200.0,2,2,0.14,98.14,C
76,丸氷,その他,2000.0,20,11,0.13,98.27,C
77,ベンネヴィス 10年,ウイスキー,1900.0,1,1,0.12,98.39,C
78,スプリングバンク 10年,ウイスキー,1800.0,1,1,0.11,98.5,C
79,ハイランドパーク12年,ウイスキー,1700.0,1,1,0.11,98.61,C
80,グレンアラヒー8年,ウイスキー,1600.0,1,1,0.1,98.71,C
81,パナメラ・シャルドネ,ワイン（グラス）,1600.0,1,1,0.1,98.81,C
82,ソフトドリンク,ソフトドリンク,1600.0,2,2,0.1,98.91,C
83,フロールデカーニャ12年,ラム,1500.0,1,1,0.09,99.0,C
84,メーカーズマーク,ウイスキー,1400.0,1,1,0.09,99.09,C
85,イチローズモルト ホワイトラベル,ジャパニーズウイスキー,1400.0,1,1,0.09,99.18,C
86,ハイランドパーク10年,ウイスキー,1400.0,1,1,0.09,99.27,C
87,バスカー,ウイスキー,1300.0,1,1,0.08,99.35,C
88,ウイスキー,ウイスキー（ハイボール・ボトル・オリジナル）,1300.0,1,1,0.08,99.43,C
89,にんじんのソテー,HOT APPETIZERS,1300.0,1,1,0.08,99.51,C
90,デバルド・ビアンコ,ワイン（グラス）,1200.0,1,1,0.08,99.59,C
91,ロイヤルセンテナリオ12年,ラム,1200.0,1,1,0.08,99.67,C
92,バイオレットフィズ,STANDARD COCKTAIL,1200.0,1,1,0.08,99.75,C
93,ピーチフィズ,STANDARD COCKTAIL,1200.0,1,1,0.08,99.83,C
94,ハーパー,ウイスキー,1000.0,1,1,0.06,99.89,C
95,紅茶,ソフトドリンク,1000.0,1,1,0.06,99.95,C
96,オレンジジュース,ソフトドリンク,800.0,1,1,0.05,100.0,C
97,No charge,未設定,0.0,17,11,0.0,100.0,C
