#,menu_name,category,sales,qty,accts,構成比,累積構成比,ランク
1,その他CLPコース,コース&セット,428000.0,79,13,15.27,15.27,A
2,tablecharge,その他,180500.0,361,140,6.44,21.71,A
3,6500円飲み放題付（2時間制）,コース&セット,149500.0,23,5,5.33,27.04,A
4,ハウスハイボール,ウイスキー（ハイボール・ボトル・オリジナル）,128700.0,99,33,4.59,31.63,A
5,招待日和コース(食事のみ)+チャージ別＋サ別,コース&セット,120000.0,12,6,4.28,35.91,A
6,ガージェリー,ビール,107900.0,83,33,3.85,39.76,A
7,クラシックカクテル,カクテル,102100.0,63,32,3.64,43.4,A
8,山葵と梨のスマッシュ,ジャパニーズカクテル,55200.0,24,21,1.97,45.37,A
9,Japanese High Tea,ジャパニーズカクテル,52200.0,29,25,1.86,47.23,A
10,Hojicha Negroni,ジャパニーズカクテル,44200.0,26,24,1.58,48.81,A
11,WCIアードモア12年,ウイスキー（ハイボール・ボトル・オリジナル）,44000.0,20,3,1.57,50.38,A
12,イベント費用,イベント,42500.0,2,2,1.52,51.9,A
13,ゴールデンタイムフィズ,オリジナルカクテル,40800.0,24,17,1.46,53.36,A
14,ボトルワイン,ワイン,39500.0,5,4,1.41,54.77,A
15,ドリンク,その他,38100.0,27,13,1.36,56.13,A
16,Arrow Head,オリジナルカクテル,36000.0,18,18,1.28,57.41,A
17,セイロンバックスフィズ,オリジナルカクテル,34600.0,23,18,1.23,58.64,A
18,本わさびジンソニック,ジャパニーズカクテル,32400.0,18,16,1.16,59.8,A
19,余市,ジャパニーズウイスキー,32400.0,18,9,1.16,60.96,A
20,ハートランド,ビール,32000.0,32,16,1.14,62.1,A
21,チーズ盛り合わせ,スナック,30800.0,14,12,1.1,63.2,A
22,ラザニア,ご飯もの,28800.0,18,11,1.03,64.23,A
23,"サングリア赤　1,800円",ワイン（グラス）,28800.0,16,14,1.03,65.26,A
24,禁断パスタ,ご飯もの,28800.0,16,15,1.03,66.29,A
25,マルゲリータ,ご飯もの,28800.0,16,11,1.03,67.32,A
26,パナメラ・カルベネ・ソーヴィニョン,ワイン（グラス）,28800.0,18,9,1.03,68.35,A
27,Tommy's Verde Margarita,オリジナルカクテル,25200.0,14,8,0.9,69.25,A
28,Cafe Oaxaca,オリジナルカクテル,24000.0,15,11,0.86,70.11,B
29,鶏もものソテー,アラカルト,22600.0,13,8,0.81,70.92,B
30,焙じ茶ジンソーダ,ジャパニーズカクテル,22400.0,16,13,0.8,71.72,B
31,本日のデザート,デザート,21300.0,18,11,0.76,72.48,B
32,ボロネーゼ,ご飯もの,20800.0,13,8,0.74,73.22,B
33,ボウモア12年,ウイスキー,20800.0,13,7,0.74,73.96,B
34,前菜の盛り合わせ,アラカルト,19800.0,11,8,0.71,74.67,B
35,生チョコレート,スナック,18000.0,18,17,0.64,75.31,B
36,プレミアムハウスハイボール,ウイスキー（ハイボール・ボトル・オリジナル）,18000.0,9,5,0.64,75.95,B
37,アードベック 10年,ウイスキー,17600.0,11,7,0.63,76.58,B
38,フレンチフライ,アラカルト,17000.0,17,10,0.61,77.19,B
39,シャーリーテンプル,ノンアルコールカクテル,16900.0,13,10,0.6,77.79,B
