menu_name,Before月_ランク,After_ランク,変化
イベント費用,A,B,A→B
パナメラ・カルベネ・ソーヴィニョン,A,B,A→B
余市,A,B,A→B
ハートランド,A,C,A→C
Arrow Head,A,なし,A→なし
Hojicha Negroni,A,なし,A→なし
Japanese High Tea,A,なし,A→なし
Tommy's Verde Margarita,A,なし,A→なし
WCIアードモア12年,A,なし,A→なし
クラシックカクテル,A,なし,A→なし
ゴールデンタイムフィズ,A,なし,A→なし
"サングリア赤　1,800円",A,なし,A→なし
セイロンバックスフィズ,A,なし,A→なし
チーズ盛り合わせ,A,なし,A→なし
ボトルワイン,A,なし,A→なし
マルゲリータ,A,なし,A→なし
ラザニア,A,なし,A→なし
山葵と梨のスマッシュ,A,なし,A→なし
招待日和コース(食事のみ)+チャージ別＋サ別,A,なし,A→なし
本わさびジンソニック,A,なし,A→なし
禁断パスタ,A,なし,A→なし
ウイスキー,B,C,B→C
グレンアラヒー8年,B,C,B→C
スパークリング,B,C,B→C
テバルド・ビアンコ,B,C,B→C
テバルド・ロッソ,B,C,B→C
デバルド・ビアンコ,B,C,B→C
デバルド・ロッソ,B,C,B→C
パナメラ・シャルドネ,B,C,B→C
ボウモア12年,B,C,B→C
作,B,C,B→C
梅酒,B,C,B→C
知多,B,C,B→C
黒板メニュー　肉料理,B,C,B→C
Cafe Oaxaca,B,なし,B→なし
Espresso Martini,B,なし,B→なし
MIXローストナッツ,B,なし,B→なし
Syndicate,B,なし,B→なし
アードベック 10年,B,なし,B→なし
ウルフクレイグ　14年,B,なし,B→なし
カルパッチョ,B,なし,B→なし
グレングラント アルボラリス,B,なし,B→なし
シャーリーテンプル,B,なし,B→なし
シーザーサラダ フル,B,なし,B→なし
トマトのカプレーゼ,B,なし,B→なし
ドライフルーツ,B,なし,B→なし
バレルエイジドジン,B,なし,B→なし
パナメラ シャルドネ,B,なし,B→なし
フレンチフライ,B,なし,B→なし
プレミアムハウスハイボール,B,なし,B→なし
ボロネーゼ,B,なし,B→なし
前菜の盛り合わせ,B,なし,B→なし
唐揚げ,B,なし,B→なし
本日のデザート,B,なし,B→なし
焙じ茶ジンソーダ,B,なし,B→なし
生チョコレート,B,なし,B→なし
生ハム盛り,B,なし,B→なし
白州,B,なし,B→なし
鶏もものソテー,B,なし,B→なし
タリスカー10年,C,B,C→B
フィーバーツリーソーダ,C,B,C→B
ロイヤルブラックラ 12年,C,B,C→B
ワイルドターキー8年,C,B,C→B
BFAグレングラッサ8年,C,なし,C→なし
BFAジェームズベイ,C,なし,C→なし
Niu Japonica,C,なし,C→なし
【AL】ピニャコラーダ,C,なし,C→なし
いぶりがっこ,C,なし,C→なし
アベラワー 12年,C,なし,C→なし
アラン アマローネカスク,C,なし,C→なし
イーガンズ,C,なし,C→なし
ウッドフォードリザーブ,C,なし,C→なし
エンジン,C,なし,C→なし
オクトモア14.1,C,なし,C→なし
オーヘントッシャン 12年,C,なし,C→なし
カリラ12年,C,なし,C→なし
ガーリックブロッコリー,C,なし,C→なし
クラシックラディ-,C,なし,C→なし
グレンファークラス 12年,C,なし,C→なし
グレンモーレンジィ フォレスト,C,なし,C→なし
グレンリベット15年,C,なし,C→なし
グレンリベット18年,C,なし,C→なし
グレープフルーツジュース,C,なし,C→なし
"サングリア白　1,800円",C,なし,C→なし
シングルトン12年,C,なし,C→なし
シーザーサラダ ハーフ,C,なし,C→なし
ジョニーウォーカー ブラックラベル,C,なし,C→なし
ジョニーウォーカー ブラックルビー,C,なし,C→なし
ジン,C,なし,C→なし
タンカレー,C,なし,C→なし
デュワーズ 12年,C,なし,C→なし
ドンフリオ　ブランコ,C,なし,C→なし
ナヴィゲーター シャルドネ,C,なし,C→なし
ニッカ シングルカフェグレーン ウッディ＆メロウ,C,なし,C→なし
ニッカ シングルブランデー 弘前,C,なし,C→なし
ニッカ　セッション,C,なし,C→なし
ハーバルウォッカトニック,C,なし,C→なし
バランタイン 17年,C,なし,C→なし
バースデープレート,C,なし,C→なし
バーニャカウダ,C,なし,C→なし
パテドカンパーニュ,C,なし,C→なし
パプリカ詰めオリーブ,C,なし,C→なし
ビーフジャーキー,C,なし,C→なし
ピュアモルト(赤),C,なし,C→なし
フード,C,なし,C→なし
ブッシュミルズ12年,C,なし,C→なし
