#,menu_name,category,sales,qty,accts,構成比,累積構成比,ランク
1,イベント費用,イベント,358920.0,54,2,15.58,15.58,A
2,tablecharge,その他,206500.0,417,158,8.97,24.55,A
3,柚子のジン&トニック,オリジナルカクテル,85800.0,66,46,3.73,28.28,A
4,フォレスト・ファッションド,オリジナルカクテル,82800.0,46,31,3.6,31.88,A
5,バロン・ド・ロスチャイルド・ブリュット,ワイン,80000.0,4,1,3.47,35.35,A
6,ウイスキー,ウイスキー,78700.0,46,22,3.42,38.77,A
7,6500円飲み放題付（2時間制）,コース&セット,78000.0,12,4,3.39,42.16,A
8,陽気な楊貴妃,オリジナルカクテル,76500.0,51,44,3.32,45.48,A
9,クラシックカクテル,カクテル,71700.0,44,22,3.11,48.59,A
10,ハートランド,ビール,69000.0,69,35,3.0,51.59,A
11,飲む香水,オリジナルカクテル,61500.0,41,38,2.67,54.26,A
12,氷の華マティーニ,オリジナルカクテル,51000.0,34,28,2.21,56.47,A
13,ハウスハイボール,ウイスキー,48100.0,37,15,2.09,58.56,A
14,ふわもこコーヒーマティーニ,オリジナルカクテル,48000.0,30,22,2.08,60.64,A
15,ボトルワイン,ワイン,47800.0,7,2,2.08,62.72,A
16,ピスコのネグローニ,オリジナルカクテル,46500.0,31,26,2.02,64.74,A
17,ガージェリー,ビール,41600.0,32,16,1.81,66.55,A
18,ロートシルト・ファッションド,オリジナルカクテル,37800.0,21,20,1.64,68.19,A
19,山崎12年,ウイスキー,35000.0,10,5,1.52,69.71,A
20,黒板メニュー　その他,黒板メニュー,31000.0,23,14,1.35,71.06,B
21,デバルド・ビアンコ,ワイン,27400.0,14,12,1.19,72.25,B
22,マッカラン12年,ウイスキー,27000.0,11,6,1.17,73.42,B
23,チーズ盛り合わせ,アラカルト,24000.0,12,12,1.04,74.46,B
24,ラフロイグ10年,ウイスキー,23800.0,14,6,1.03,75.49,B
25,パナメラ・カルベネ・ソーヴィニョン,ワイン,23200.0,10,6,1.01,76.5,B
26,タパス,黒板メニュー,20800.0,28,24,0.9,77.4,B
27,知多,ウイスキー,20400.0,12,10,0.89,78.29,B
28,黒板メニュー　パスタ,黒板メニュー,20400.0,12,11,0.89,79.18,B
29,生チョコレート,バースナック,20000.0,20,12,0.87,80.05,B
30,ノンアルコールカクテル,カクテル,18500.0,15,11,0.8,80.85,B
31,チリピスコソーダ,オリジナルカクテル,18200.0,14,12,0.79,81.64,B
32,イベントドリンク,イベント,18000.0,6,1,0.78,82.42,B
33,生ハム盛り,アラカルト,17600.0,11,11,0.76,83.18,B
34,パナメラ・シャルドネ,ワイン,17600.0,11,6,0.76,83.94,B
35,ラリエ,ワイン,15000.0,1,1,0.65,84.59,B
36,デバルド・ロッソ,ワイン,14900.0,8,5,0.65,85.24,B
37,鶴,ウイスキー,14000.0,4,3,0.61,85.85,B
38,ソフトドリンク,カクテル,12700.0,17,12,0.55,86.4,B
39,響　ブレンダーズチョイス,ウイスキー,12000.0,4,3,0.52,86.92,B
40,その他CLPコース,コース&セット,11000.0,2,1,0.48,87.4,B
41,ドリンク,その他,10500.0,7,4,0.46,87.86,B
42,竹鶴,ウイスキー,10200.0,6,1,0.44,88.3,B
43,響　21年,ウイスキー,10000.0,1,1,0.43,88.73,B
44,イチローズモルト,ウイスキー,9800.0,7,5,0.43,89.16,B
45,グレンリベット12年,ウイスキー,9800.0,7,4,0.43,89.59,B
46,フレッシュトマトのカプレーゼ,アラカルト,9800.0,7,7,0.43,90.02,C
47,MIXローストナッツ,バースナック,9600.0,14,13,0.42,90.44,C
48,宮城峡,ウイスキー,9600.0,6,6,0.42,90.86,C
49,鶏もものソテー,アラカルト,9000.0,5,5,0.39,91.25,C
50,クラセアスール,テキーラ,9000.0,2,1,0.39,91.64,C
51,カルパッチョ,アラカルト,9000.0,6,6,0.39,92.03,C
52,本日のデザート,デザート,8400.0,7,6,0.36,92.39,C
53,スパークリング,ワイン,8400.0,7,3,0.36,92.75,C
54,ジュラ10年,ウイスキー,8000.0,2,1,0.35,93.1,C
55,カリラ12年,ウイスキー,8000.0,5,5,0.35,93.45,C
56,カニクリームコロッケ,アラカルト,7200.0,6,6,0.31,93.76,C
57,前菜の盛り合わせ,アラカルト,7200.0,4,4,0.31,94.07,C
58,パプリカ詰めオリーブ,バースナック,6400.0,8,7,0.28,94.35,C
59,色とりどりのドライフルーツ,バースナック,6400.0,8,7,0.28,94.63,C
60,プレミアムハウスハイボール,ウイスキー,6000.0,5,4,0.26,94.89,C
61,BFAグレングラッサ8年,ウイスキー,5600.0,2,1,0.24,95.13,C
62,白州,ウイスキー,5400.0,3,1,0.23,95.36,C
63,ピザ,黒板メニュー,5400.0,3,3,0.23,95.59,C
64,ハーパー,ウイスキー,5000.0,5,2,0.22,95.81,C
65,唐揚げ,アラカルト,5000.0,5,5,0.22,96.03,C
66,氷、ボトル割りもの,その他,5000.0,5,4,0.22,96.25,C
67,丸氷,バースナック,4900.0,50,28,0.21,96.46,C
68,本日のパスタ,アラカルト,4800.0,3,3,0.21,96.67,C
69,ブランデー,ブランデー,4500.0,1,1,0.2,96.87,C
70,余市　蒸留所限定,ウイスキー,4500.0,3,2,0.2,97.07,C
71,フレンチフライ,アラカルト,4500.0,5,5,0.2,97.27,C
72,本日のサラダ フル,サラダ,4200.0,3,3,0.18,97.45,C
73,ニッカ　セッション,ウイスキー,3900.0,3,3,0.17,97.62,C
74,宮城峡　蒸留所限定,ウイスキー,3600.0,2,1,0.16,97.78,C
75,フロールデカーニャ18年,ラム,3600.0,2,2,0.16,97.94,C
76,本日のカクテル,黒板メニュー,3200.0,2,1,0.14,98.08,C
77,マーテルコルドンブルー,ブランデー,3000.0,1,1,0.13,98.21,C
78,同業ハイボール,ウイスキー,3000.0,3,1,0.13,98.34,C
79,オクトモア14.2,ウイスキー,3000.0,1,1,0.13,98.47,C
80,季の美,ジン,2800.0,2,1,0.12,98.59,C
81,タリスカー10年,ウイスキー,2800.0,2,2,0.12,98.71,C
82,オクトモア14.1,ウイスキー,2800.0,1,1,0.12,98.83,C
83,桜尾ジン,ジン,2400.0,2,2,0.1,98.93,C
84,ポテサラ,サラダ,2000.0,2,2,0.09,99.02,C
85,ジョニーウォーカー,ウイスキー,2000.0,4,4,0.09,99.11,C
86,禁断パスタ,黒板メニュー,1800.0,1,1,0.08,99.19,C
87,黒板メニュー　肉料理,黒板メニュー,1800.0,1,1,0.08,99.27,C
88,ロードオブバーベス,ジン,1700.0,1,1,0.07,99.34,C
89,エンジン,ジン,1600.0,1,1,0.07,99.41,C
90,黒板メニュー　魚料理,黒板メニュー,1600.0,1,1,0.07,99.48,C
91,ビーフジャーキー,バースナック,1600.0,2,2,0.07,99.55,C
92,ボウモア12年,ウイスキー,1600.0,1,1,0.07,99.62,C
93,ボロネーゼ,黒板メニュー,1600.0,1,1,0.07,99.69,C
94,本日のサラダ ハーフ,サラダ,1600.0,2,2,0.07,99.76,C
95,バースデープレート,デザート,1500.0,1,1,0.07,99.83,C
96,ロンサカパ23,ラム,1500.0,1,1,0.07,99.9,C
97,黒板メニュー　前菜,黒板メニュー,1500.0,1,1,0.07,99.97,C
98,ワイルドターキー　8年,ウイスキー,1200.0,1,1,0.05,100.02,C
99,フード,その他,500.0,2,2,0.02,100.04,C
100,No charge,未設定,0.0,33,21,0.0,100.04,C
