category1,sales,qty,構成比%,period
BAR SNACKS ,38800.0,58,2.2,After (4/1-4/23)
COLD APPETIZERS,70900.0,56,4.1,After (4/1-4/23)
DESSERT,7200.0,6,0.4,After (4/1-4/23)
DESSERT COCKTAIL,30000.0,20,1.7,After (4/1-4/23)
FRUITS COCKTAIL,46500.0,31,2.7,After (4/1-4/23)
HOT APPETIZERS,30300.0,23,1.7,After (4/1-4/23)
JAPANESE COCKTAIL,133100.0,69,7.7,After (4/1-4/23)
MAIN DISHES,49900.0,25,2.9,After (4/1-4/23)
NEW CLASSIC COCKTAIL,199000.0,133,11.5,After (4/1-4/23)
STANDARD COCKTAIL,8400.0,7,0.5,After (4/1-4/23)
その他,179400.0,283,10.4,After (4/1-4/23)
イベント,9000.0,1,0.5,After (4/1-4/23)
ウイスキー,92600.0,62,5.3,After (4/1-4/23)
ウイスキー（ハイボール・ボトル・オリジナル）,148100.0,122,8.5,After (4/1-4/23)
コース&セット,303500.0,51,17.5,After (4/1-4/23)
ジャパニーズウイスキー,24600.0,13,1.4,After (4/1-4/23)
ジン,2800.0,2,0.2,After (4/1-4/23)
ソフトドリンク,37600.0,46,2.2,After (4/1-4/23)
テキーラ,7200.0,6,0.4,After (4/1-4/23)
ドリンク,3600.0,3,0.2,After (4/1-4/23)
ビール,54700.0,43,3.2,After (4/1-4/23)
ラム,5700.0,4,0.3,After (4/1-4/23)
ワイン,25000.0,4,1.4,After (4/1-4/23)
ワイン（グラス）,21200.0,15,1.2,After (4/1-4/23)
日本酒,5100.0,3,0.3,After (4/1-4/23)
未設定,182000.0,44,10.5,After (4/1-4/23)
黒板メニュー,16300.0,14,0.9,After (4/1-4/23)
ご飯もの,61200.0,35,2.9,Before同窓 (3/1-3/23)
その他,156800.0,315,7.4,Before同窓 (3/1-3/23)
アラカルト,64800.0,46,3.1,Before同窓 (3/1-3/23)
イベント,42500.0,2,2.0,Before同窓 (3/1-3/23)
ウイスキー,108850.0,69,5.2,Before同窓 (3/1-3/23)
ウイスキー（ハイボール・ボトル・オリジナル）,157100.0,102,7.4,Before同窓 (3/1-3/23)
オリジナルカクテル,149100.0,87,7.1,Before同窓 (3/1-3/23)
カクテル,82400.0,50,3.9,Before同窓 (3/1-3/23)
コース&セット,587000.0,94,27.8,Before同窓 (3/1-3/23)
サラダ,11400.0,9,0.5,Before同窓 (3/1-3/23)
ジャパニーズウイスキー,48300.0,25,2.3,Before同窓 (3/1-3/23)
ジャパニーズカクテル,163600.0,89,7.8,Before同窓 (3/1-3/23)
ジン,26700.0,17,1.3,Before同窓 (3/1-3/23)
スナック,79500.0,77,3.8,Before同窓 (3/1-3/23)
ソフトドリンク,27400.0,34,1.3,Before同窓 (3/1-3/23)
テキーラ,4500.0,3,0.2,Before同窓 (3/1-3/23)
デザート,17850.0,14,0.8,Before同窓 (3/1-3/23)
ドリンク,8400.0,7,0.4,Before同窓 (3/1-3/23)
ノンアルコールカクテル,10400.0,8,0.5,Before同窓 (3/1-3/23)
ビール,119300.0,98,5.7,Before同窓 (3/1-3/23)
ワイン,53900.0,7,2.6,Before同窓 (3/1-3/23)
ワイン（グラス）,100100.0,64,4.7,Before同窓 (3/1-3/23)
日本酒,10200.0,6,0.5,Before同窓 (3/1-3/23)
未設定,0.0,52,0.0,Before同窓 (3/1-3/23)
黒板メニュー,18600.0,9,0.9,Before同窓 (3/1-3/23)
ご飯もの,114600.0,67,4.1,Before月 (3/1-3/31)
その他,229700.0,454,8.2,Before月 (3/1-3/31)
アラカルト,99200.0,68,3.5,Before月 (3/1-3/31)
イベント,42500.0,2,1.5,Before月 (3/1-3/31)
ウイスキー,173350.0,109,6.2,Before月 (3/1-3/31)
ウイスキー（ハイボール・ボトル・オリジナル）,205500.0,135,7.3,Before月 (3/1-3/31)
オリジナルカクテル,194800.0,113,7.0,Before月 (3/1-3/31)
カクテル,102100.0,63,3.6,Before月 (3/1-3/31)
コース&セット,697500.0,114,24.9,Before月 (3/1-3/31)
サラダ,18800.0,14,0.7,Before月 (3/1-3/31)
ジャパニーズウイスキー,89200.0,47,3.2,Before月 (3/1-3/31)
