menu_name,category,sales,qty,accts
招待日和コース(食事のみ)+チャージ別＋サ別,コース&セット,120000.0,12,6
クラシックカクテル,カクテル,102100.0,63,32
山葵と梨のスマッシュ,ジャパニーズカクテル,55200.0,24,21
Japanese High Tea,ジャパニーズカクテル,52200.0,29,25
Hojicha Negroni,ジャパニーズカクテル,44200.0,26,24
WCIアードモア12年,ウイスキー（ハイボール・ボトル・オリジナル）,44000.0,20,3
ゴールデンタイムフィズ,オリジナルカクテル,40800.0,24,17
ボトルワイン,ワイン,39500.0,5,4
Arrow Head,オリジナルカクテル,36000.0,18,18
セイロンバックスフィズ,オリジナルカクテル,34600.0,23,18
本わさびジンソニック,ジャパニーズカクテル,32400.0,18,16
チーズ盛り合わせ,スナック,30800.0,14,12
禁断パスタ,ご飯もの,28800.0,16,15
"サングリア赤　1,800円",ワイン（グラス）,28800.0,16,14
マルゲリータ,ご飯もの,28800.0,16,11
ラザニア,ご飯もの,28800.0,18,11
Tommy's Verde Margarita,オリジナルカクテル,25200.0,14,8
Cafe Oaxaca,オリジナルカクテル,24000.0,15,11
鶏もものソテー,アラカルト,22600.0,13,8
焙じ茶ジンソーダ,ジャパニーズカクテル,22400.0,16,13
本日のデザート,デザート,21300.0,18,11
ボロネーゼ,ご飯もの,20800.0,13,8
前菜の盛り合わせ,アラカルト,19800.0,11,8
プレミアムハウスハイボール,ウイスキー（ハイボール・ボトル・オリジナル）,18000.0,9,5
生チョコレート,スナック,18000.0,18,17
アードベック 10年,ウイスキー,17600.0,11,7
フレンチフライ,アラカルト,17000.0,17,10
シャーリーテンプル,ノンアルコールカクテル,16900.0,13,10
Syndicate,オリジナルカクテル,16200.0,9,8
唐揚げ,アラカルト,15900.0,12,8
グレングラント アルボラリス,ウイスキー,15600.0,13,4
シーザーサラダ フル,サラダ,12800.0,8,4
白州,ジャパニーズウイスキー,12600.0,7,5
バレルエイジドジン,ジン,12600.0,7,1
Espresso Martini,オリジナルカクテル,12600.0,7,7
トマトのカプレーゼ,アラカルト,12000.0,8,8
カルパッチョ,アラカルト,11900.0,7,4
MIXローストナッツ,スナック,11200.0,14,12
ドライフルーツ,スナック,11000.0,11,8
パナメラ シャルドネ,ワイン,8800.0,1,1
ウルフクレイグ　14年,ウイスキー,8400.0,3,1
生ハム盛り,スナック,8000.0,5,5
本日のパスタ,ご飯もの,7400.0,4,1
季の美,ジン,7300.0,5,3
黒板メニュー　パスタ,黒板メニュー,7200.0,4,3
ナヴィゲーター シャルドネ,ワイン,6600.0,1,1
白州 12年,ジャパニーズウイスキー,6600.0,2,2
カリラ12年,ウイスキー,6400.0,4,3
Niu Japonica,ジャパニーズカクテル,6400.0,4,3
シーザーサラダ ハーフ,サラダ,6000.0,6,5
ウッドフォードリザーブ,ウイスキー,6000.0,4,1
ブルスケッタ,スナック,6000.0,6,6
"サングリア白　1,800円",ワイン（グラス）,5400.0,3,3
ハーバルウォッカトニック,オリジナルカクテル,5400.0,3,3
黒板メニュー　サラダ,黒板メニュー,5400.0,3,1
竹鶴,ジャパニーズウイスキー,5100.0,3,3
バーニャカウダ,スナック,5000.0,5,5
山崎,ジャパニーズウイスキー,5000.0,2,2
アベラワー 12年,ウイスキー,4800.0,3,3
鴨のスモーク,スナック,4800.0,6,6
ガーリックブロッコリー,スナック,4800.0,6,6
アラン アマローネカスク,ウイスキー,4800.0,3,2
バースデープレート,デザート,4650.0,3,3
ドンフリオ　ブランコ,テキーラ,4500.0,3,1
BFAジェームズベイ,ウイスキー（ハイボール・ボトル・オリジナル）,4000.0,2,2
パプリカ詰めオリーブ,スナック,4000.0,4,4
ニッカ シングルカフェグレーン ウッディ＆メロウ,ジャパニーズウイスキー,3800.0,2,2
ローター・トラウベンモスト,ワイン（グラス）,3600.0,3,3
鶴,ジャパニーズウイスキー,3500.0,1,1
バランタイン 17年,ウイスキー,3400.0,2,1
宮城峡,ジャパニーズウイスキー,3200.0,2,2
牡蠣のレモンマリネ,スナック,3000.0,3,3
マッカランシェリーカスク12年,ウイスキー,3000.0,1,1
氷、ボトル割りもの（割引対象外）,その他,3000.0,2,2
ビーフジャーキー,スナック,3000.0,3,3
オクトモア14.1,ウイスキー,2800.0,1,1
BFAグレングラッサ8年,ウイスキー（ハイボール・ボトル・オリジナル）,2800.0,1,1
グレンリベット18年,ウイスキー,2600.0,1,1
ラガヴーリン 16年,ウイスキー,2500.0,1,1
ヘンリーマッケナ,ウイスキー,2400.0,2,1
グレープフルーツジュース,ソフトドリンク,2400.0,3,3
いぶりがっこ,スナック,2400.0,8,7
ジョニーウォーカー ブラックラベル,ウイスキー,2400.0,2,1
タンカレー,ジン,2400.0,2,2
【AL】ピニャコラーダ,ノンアルコールカクテル,2000.0,1,1
グレンモーレンジィ フォレスト,ウイスキー,2000.0,1,1
嘉之助,ジャパニーズウイスキー,2000.0,1,1
ニッカ シングルブランデー 弘前,ジャパニーズウイスキー,1900.0,1,1
ロッホリー,ウイスキー,1800.0,1,1
グレンファークラス 12年,ウイスキー,1800.0,1,1
グレンリベット15年,ウイスキー,1800.0,1,1
ブラッドノックアリンタ,ウイスキー,1800.0,1,1
フード,その他,1800.0,1,1
ロードオブバーベス,ジン,1700.0,1,1
エンジン,ジン,1600.0,1,1
ピュアモルト(赤),ジャパニーズウイスキー,1600.0,1,1
ジョニーウォーカー ブラックルビー,ウイスキー,1500.0,1,1
クラシックラディ-,ウイスキー,1500.0,1,1
シングルトン12年,ウイスキー,1400.0,1,1
イーガンズ,ウイスキー,1400.0,1,1
ジン,ジン,1400.0,1,1
デュワーズ 12年,ウイスキー,1300.0,1,1
ヘーゼルナッツラテ,ノンアルコールカクテル,1300.0,1,1
オーヘントッシャン 12年,ウイスキー,1300.0,1,1
ニッカ　セッション,ジャパニーズウイスキー,1300.0,1,1
ブッシュミルズ12年,ウイスキー,1200.0,1,1
パテドカンパーニュ,スナック,1000.0,1,1
柿の種,スナック,900.0,3,3
