menu_name,category,sales,qty,accts,出現率%
7000円飲み放題付（3時間制）,未設定,182000.0,26,2,2.3
森のジントニック,NEW CLASSIC COCKTAIL,96000.0,65,28,31.8
桜ブロッサム,JAPANESE COCKTAIL,32300.0,17,15,17.0
ゆずマティーニ,JAPANESE COCKTAIL,30500.0,15,10,11.4
焙煎ファッションド,JAPANESE COCKTAIL,28500.0,15,12,13.6
ワカモレチップス,COLD APPETIZERS,22800.0,19,13,14.8
カルヴァドスモヒート,NEW CLASSIC COCKTAIL,22500.0,15,12,13.6
ローズガーデン,FRUITS COCKTAIL,21000.0,14,12,13.6
ボロネーゼラザニア,MAIN DISHES,18900.0,9,7,8.0
BAR 専用チョコレート,BAR SNACKS ,18000.0,30,10,11.4
ミントのジェノベーゼ,MAIN DISHES,17100.0,9,8,9.1
撫子ネグローニ,JAPANESE COCKTAIL,17100.0,9,9,10.2
マティポテ,HOT APPETIZERS,16900.0,13,11,12.5
オーチャードマティーニ,NEW CLASSIC COCKTAIL,16500.0,11,10,11.4
トロピカルヴェール,FRUITS COCKTAIL,16500.0,11,8,9.1
オリエンタルアフタヌーン,NEW CLASSIC COCKTAIL,15000.0,10,8,9.1
牛肉と季節のフルーツのカルパッチョ,COLD APPETIZERS,15000.0,10,8,9.1
シルキー麹サワー,JAPANESE COCKTAIL,13300.0,7,7,8.0
ラ・ロスカ カヴァ ブリュット,ワイン,12000.0,2,2,2.3
ティラミスロブロイ,DESSERT COCKTAIL,12000.0,8,8,9.1
サンセットソルティドッグ,NEW CLASSIC COCKTAIL,12000.0,8,8,9.1
グレンリベット12年,ウイスキー,11200.0,8,3,3.4
ベルガモットモスコミュール,NEW CLASSIC COCKTAIL,10500.0,7,7,8.0
5000円飲み放題付（2時間制）,コース&セット,10000.0,2,1,1.1
キャンディピーカン,BAR SNACKS ,9100.0,13,12,13.6
デイドリームレモネード,NEW CLASSIC COCKTAIL,8500.0,5,5,5.7
鴨のパイ包み,MAIN DISHES,8400.0,4,1,1.1
ケールとベリーのサラダ,COLD APPETIZERS,7800.0,6,5,5.7
キャラメルナッツキャデラック,DESSERT COCKTAIL,7500.0,5,5,5.7
テキーラ,テキーラ,7200.0,6,1,1.1
黒板メニュー　その他,黒板メニュー,7100.0,9,3,3.4
BFAカプレーゼ,COLD APPETIZERS,6600.0,6,4,4.5
マッシュルームサラダとコールドカット,COLD APPETIZERS,6500.0,5,5,5.7
ソイ抹茶アレキサンダー,DESSERT COCKTAIL,6000.0,4,4,4.5
黒板メニュー　前菜,黒板メニュー,5400.0,3,1,1.1
オリーブ,BAR SNACKS ,4900.0,7,7,8.0
ビーツのフムス,BAR SNACKS ,4500.0,5,5,5.7
カマンベールフォンデュ,HOT APPETIZERS,4200.0,3,3,3.4
キャラメルバナナ,DESSERT,3600.0,3,3,3.4
山崎12年,ジャパニーズウイスキー,3500.0,1,1,1.1
ロンサカパ23,ラム,3000.0,2,1,1.1
コーヒー,ソフトドリンク,3000.0,3,2,2.3
フィグバター＆ブリオッシュ,HOT APPETIZERS,2600.0,2,2,2.3
レモンジンフィズ,STANDARD COCKTAIL,2400.0,2,2,2.3
プンタレッラのサラダ,COLD APPETIZERS,2200.0,2,2,2.3
ベンネヴィス 10年,ウイスキー,1900.0,1,1,1.1
ハイランドパーク12年,ウイスキー,1700.0,1,1,1.1
フロールデカーニャ12年,ラム,1500.0,1,1,1.1
ハイランドパーク10年,ウイスキー,1400.0,1,1,1.1
イチローズモルト ホワイトラベル,ジャパニーズウイスキー,1400.0,1,1,1.1
にんじんのソテー,HOT APPETIZERS,1300.0,1,1,1.1
バイオレットフィズ,STANDARD COCKTAIL,1200.0,1,1,1.1
ロイヤルセンテナリオ12年,ラム,1200.0,1,1,1.1
ピーチフィズ,STANDARD COCKTAIL,1200.0,1,1,1.1
ハーパー,ウイスキー,1000.0,1,1,1.1
