menu_name,sales,qty,accts,period
5000円飲み放題付（2時間制）,10000.0,2,1,After (4/1-4/18)
6500円飲み放題付（2時間制）,156000.0,24,1,After (4/1-4/18)
7000円飲み放題付（3時間制）,182000.0,26,2,After (4/1-4/18)
BAR 専用チョコレート,18000.0,30,10,After (4/1-4/18)
BFAカプレーゼ,6600.0,6,4,After (4/1-4/18)
No charge,0.0,17,11,After (4/1-4/18)
tablecharge,120500.0,203,71,After (4/1-4/18)
その他CLPコース,137500.0,25,1,After (4/1-4/18)
にんじんのソテー,1300.0,1,1,After (4/1-4/18)
ゆずマティーニ,30500.0,15,10,After (4/1-4/18)
イチローズモルト ホワイトラベル,1400.0,1,1,After (4/1-4/18)
イベント費用,9000.0,1,1,After (4/1-4/18)
ウイスキー,1300.0,1,1,After (4/1-4/18)
ウーロン茶,8800.0,11,4,After (4/1-4/18)
オリエンタルアフタヌーン,15000.0,10,8,After (4/1-4/18)
オリーブ,4900.0,7,7,After (4/1-4/18)
オレンジジュース,800.0,1,1,After (4/1-4/18)
オーチャードマティーニ,16500.0,11,10,After (4/1-4/18)
カマンベールフォンデュ,4200.0,3,3,After (4/1-4/18)
カルヴァドスモヒート,22500.0,15,12,After (4/1-4/18)
ガージェリー,36400.0,28,11,After (4/1-4/18)
キャラメルナッツキャデラック,7500.0,5,5,After (4/1-4/18)
キャラメルバナナ,3600.0,3,3,After (4/1-4/18)
キャンディピーカン,9100.0,13,12,After (4/1-4/18)
グレンアラヒー8年,1600.0,1,1,After (4/1-4/18)
グレンリベット12年,11200.0,8,3,After (4/1-4/18)
ケールとベリーのサラダ,7800.0,6,5,After (4/1-4/18)
コーヒー,3000.0,3,2,After (4/1-4/18)
コーラ,3200.0,4,3,After (4/1-4/18)
サンセットソルティドッグ,12000.0,8,8,After (4/1-4/18)
シルキー麹サワー,13300.0,7,7,After (4/1-4/18)
ジンジャーエール,4000.0,5,3,After (4/1-4/18)
スパークリング,2400.0,2,1,After (4/1-4/18)
スプリングバンク 10年,1800.0,1,1,After (4/1-4/18)
ソイ抹茶アレキサンダー,6000.0,4,4,After (4/1-4/18)
ソフトドリンク,1600.0,2,2,After (4/1-4/18)
タリスカー10年,12600.0,9,3,After (4/1-4/18)
タンカレーNo10,2800.0,2,1,After (4/1-4/18)
ダルモア 12年,8500.0,5,2,After (4/1-4/18)
ティラミスロブロイ,12000.0,8,8,After (4/1-4/18)
テキーラ,7200.0,6,1,After (4/1-4/18)
テバルド・ビアンコ,6500.0,1,1,After (4/1-4/18)
テバルド・ロッソ,6500.0,1,1,After (4/1-4/18)
デイドリームレモネード,8500.0,5,5,After (4/1-4/18)
デバルド・ビアンコ,1200.0,1,1,After (4/1-4/18)
デバルド・ロッソ,2400.0,2,2,After (4/1-4/18)
トロピカルヴェール,16500.0,11,8,After (4/1-4/18)
ドリンク,36300.0,24,10,After (4/1-4/18)
ハイランドパーク10年,1400.0,1,1,After (4/1-4/18)
ハイランドパーク12年,1700.0,1,1,After (4/1-4/18)
ハウスハイボール,136800.0,114,8,After (4/1-4/18)
ハートランド,4000.0,4,3,After (4/1-4/18)
ハーパー,1000.0,1,1,After (4/1-4/18)
バイオレットフィズ,1200.0,1,1,After (4/1-4/18)
バスカー,1300.0,1,1,After (4/1-4/18)
パナメラ・カルベネ・ソーヴィニョン,8000.0,5,2,After (4/1-4/18)
パナメラ・シャルドネ,1600.0,1,1,After (4/1-4/18)
ビーツのフムス,4500.0,5,5,After (4/1-4/18)
ピーチフィズ,1200.0,1,1,After (4/1-4/18)
フィグバター＆ブリオッシュ,2600.0,2,2,After (4/1-4/18)
フィーバーツリーソーダ,7200.0,9,2,After (4/1-4/18)
フロールデカーニャ12年,1500.0,1,1,After (4/1-4/18)
プンタレッラのサラダ,2200.0,2,2,After (4/1-4/18)
ベルガモットモスコミュール,10500.0,7,7,After (4/1-4/18)
ベンネヴィス 10年,1900.0,1,1,After (4/1-4/18)
ボウモア12年,6400.0,4,2,After (4/1-4/18)
ボロネーゼラザニア,18900.0,9,7,After (4/1-4/18)
マッカランダブルカスク12年,2500.0,1,1,After (4/1-4/18)
マッシュルームサラダとコールドカット,6500.0,5,5,After (4/1-4/18)
マティポテ,16900.0,13,11,After (4/1-4/18)
ミントのジェノベーゼ,17100.0,9,8,After (4/1-4/18)
メーカーズマーク,1400.0,1,1,After (4/1-4/18)
ラフロイグ10年,5100.0,3,2,After (4/1-4/18)
