menu_name,category,sales,qty,accts,構成比%,出現率%,period
7000円飲み放題付（3時間制）,未設定,182000.0,26,2,11.46,2.3,After (4/1-4/18)
6500円飲み放題付（2時間制）,コース&セット,156000.0,24,1,9.83,1.1,After (4/1-4/18)
その他CLPコース,コース&セット,137500.0,25,1,8.66,1.1,After (4/1-4/18)
ハウスハイボール,ウイスキー（ハイボール・ボトル・オリジナル）,136800.0,114,8,8.62,9.1,After (4/1-4/18)
tablecharge,その他,120500.0,203,71,7.59,80.7,After (4/1-4/18)
森のジントニック,NEW CLASSIC COCKTAIL,96000.0,65,28,6.05,31.8,After (4/1-4/18)
ガージェリー,ビール,36400.0,28,11,2.29,12.5,After (4/1-4/18)
ドリンク,その他,36300.0,24,10,2.29,11.4,After (4/1-4/18)
桜ブロッサム,JAPANESE COCKTAIL,32300.0,17,15,2.03,17.0,After (4/1-4/18)
ゆずマティーニ,JAPANESE COCKTAIL,30500.0,15,10,1.92,11.4,After (4/1-4/18)
焙煎ファッションド,JAPANESE COCKTAIL,28500.0,15,12,1.8,13.6,After (4/1-4/18)
ワカモレチップス,COLD APPETIZERS,22800.0,19,13,1.44,14.8,After (4/1-4/18)
カルヴァドスモヒート,NEW CLASSIC COCKTAIL,22500.0,15,12,1.42,13.6,After (4/1-4/18)
ローズガーデン,FRUITS COCKTAIL,21000.0,14,12,1.32,13.6,After (4/1-4/18)
ボロネーゼラザニア,MAIN DISHES,18900.0,9,7,1.19,8.0,After (4/1-4/18)
BAR 専用チョコレート,BAR SNACKS ,18000.0,30,10,1.13,11.4,After (4/1-4/18)
ミントのジェノベーゼ,MAIN DISHES,17100.0,9,8,1.08,9.1,After (4/1-4/18)
撫子ネグローニ,JAPANESE COCKTAIL,17100.0,9,9,1.08,10.2,After (4/1-4/18)
マティポテ,HOT APPETIZERS,16900.0,13,11,1.06,12.5,After (4/1-4/18)
トロピカルヴェール,FRUITS COCKTAIL,16500.0,11,8,1.04,9.1,After (4/1-4/18)
オーチャードマティーニ,NEW CLASSIC COCKTAIL,16500.0,11,10,1.04,11.4,After (4/1-4/18)
ワイルドターキー8年,ウイスキー,15600.0,13,2,0.98,2.3,After (4/1-4/18)
牛肉と季節のフルーツのカルパッチョ,COLD APPETIZERS,15000.0,10,8,0.94,9.1,After (4/1-4/18)
