period,価格帯,組数,構成比%
After (4/1-4/23),"~¥2,000",3,3.0
After (4/1-4/23),"¥2,000-4,000",44,44.0
After (4/1-4/23),"¥4,000-6,000",28,28.0
After (4/1-4/23),"¥6,000-10,000",23,23.0
After (4/1-4/23),"¥10,000-20,000",2,2.0
After (4/1-4/23),"¥20,000~",0,0.0
Before同窓 (3/1-3/23),"~¥2,000",10,7.5
Before同窓 (3/1-3/23),"¥2,000-4,000",37,27.6
Before同窓 (3/1-3/23),"¥4,000-6,000",41,30.6
Before同窓 (3/1-3/23),"¥6,000-10,000",30,22.4
Before同窓 (3/1-3/23),"¥10,000-20,000",15,11.2
Before同窓 (3/1-3/23),"¥20,000~",1,0.7
Before月 (3/1-3/31),"~¥2,000",11,6.0
Before月 (3/1-3/31),"¥2,000-4,000",57,31.3
Before月 (3/1-3/31),"¥4,000-6,000",56,30.8
Before月 (3/1-3/31),"¥6,000-10,000",39,21.4
Before月 (3/1-3/31),"¥10,000-20,000",17,9.3
Before月 (3/1-3/31),"¥20,000~",2,1.1
YoY (2025/4/1-4/23),"~¥2,000",19,8.6
YoY (2025/4/1-4/23),"¥2,000-4,000",98,44.1
YoY (2025/4/1-4/23),"¥4,000-6,000",50,22.5
YoY (2025/4/1-4/23),"¥6,000-10,000",42,18.9
YoY (2025/4/1-4/23),"¥10,000-20,000",10,4.5
YoY (2025/4/1-4/23),"¥20,000~",2,0.9
